,,a,b,accuracy,,,a,b,accuracy,,,a,b,accuracy
,q7,1.245792667,-3.013234748,0.958058777,,q6,1.352633099,-2.983412471,0.964351022,,q33_5,-0.048974731,20.19181517,0.728759696
,q1,1.848508258,-2.321467958,0.954728733,,q5,1.165424468,-2.025679063,0.872096601,,q28,0.264103851,-11.83930925,0.963062685
,q2,0.608974742,-1.711548735,0.723634647,,q3,1.266597182,-1.721693359,0.846317498,,,,,
,q35_2,0.364304379,-5.030696266,0.856488015,,q34_4,0.127308617,-4.844893442,0.648937675,,,,,
,q32_6,1.287971093,-3.432863704,0.976450948,,q34_8,0.75399816,-4.509688357,0.959121632,,,,,
,q34_3,0.591287419,-3.339084387,0.864460314,,q34_2,0.782523949,-2.607088789,0.862249716,,,,,
,q35_1,0.699624477,-2.032812533,0.784327041,,q35_7,2.052163659,-2.449491545,0.969957097,,,,,
,q35_5,1.566866046,-1.908799971,0.899308171,,q33_4,0.987990178,-1.926711033,0.833589763,,,,,
,q33_7,0.838074097,-1.868868044,0.79794609,,q33_6,1.354363683,-1.812044341,0.868151127,,,,,
,q32_8,1.68117954,-1.741714629,0.886640564,,q35_4,1.251159555,-1.6533513,0.83480117,,,,,
,q35_8,1.110810875,-1.030138917,0.713350947,,q32_5,1.113116901,-1.553643071,0.802321304,,,,,
,q34_6,1.644737358,-0.697115419,0.680701308,,q34_1,0.508585119,-0.841367828,0.599151484,,,,,
3,q12,0.344115685,-6.369573077,0.91109154,2,q13,0.397789191,-8.019604793,0.86042111,,,,,
4,q21,0.672989376,-4.717112726,0.983530607,4,q25,0.582625921,-4.828930803,0.85828081,,,,,
2,q23,0.467941547,-4.856236791,0.912094267,2,q14,0.837304235,-4.924842314,0.982471731,,,,,
4,q30,0.582266172,-4.061674231,0.886644985,4,q26,0.87674599,-3.932889737,0.970703837,,,,,
2,q31,0.838204232,-3.985876642,0.91047611,4,q22,0.538554292,-3.899925086,0.848548433,,,,,
4,q19,0.804908953,-3.465816001,0.832597204,2,q16,1.232348146,-3.3352632,0.983069476,,,,,
4,q20,0.657909106,-3.399478963,0.919636383,3,q17,1.20423122,-3.301465676,0.974227971,,,,,
2,q11,0.614662196,-3.289108387,0.776095661,3,q18,0.856744348,-3.11138658,0.862042215,,,,,
4,q27,0.71138902,-3.266553373,0.903338533,4,q24,1.103072169,-2.130499562,0.814021996,,,,,
3,q15,1.054887385,-2.817110193,0.974283383,4,q29,1.21289114,-1.884408912,0.840138436,,,,,
