"Word","Length","Ortho_N","BG_Sum","BG_Mean","BG_Freq_By_Pos","NWI_Mean_RT","NWI_SD","NWI_Zscore","Obs","NWI_Mean_Accuracy"
"e","1","2","#","#","#","924.765","270.551","-0.379","17","0.531"
"aal","3","7","3,069","1,534.500","527","785.094","337.908","0.074","32","0.941"
"Aarod","5","1","5,648","1,412.000","1,311","893.783","346.112","-0.511","23","0.719"
"ahack","5","3","3,619","904.750","949","725.576","230.338","0.174","33","1.000"
"alacus","6","1","8,672","1,734.400","1,381","735.483","219.251","0.115","29","0.853"
"acandon","7","1","13,706","2,284.333","1,458","833.394","335.571","-0.149","33","0.971"
"adandoned","9","1","18,784","2,348.000","2,231","1,491.300","571.225","-1.042","10","0.303"
"abantoning","10","1","26,588","2,954.222","2,568","909.533","352.150","-0.447","30","0.882"
"apandonment","11","1","21,072","2,107.200","1,894","841.036","233.854","-0.301","28","0.875"
"abose","5","5","4,646","1,161.500","736","819.174","236.411","-0.225","23","0.676"
"afasement","9","1","13,729","1,716.125","1,856","694.310","240.127","0.352","29","0.906"
"adash","5","2","4,332","1,083.000","680","872.160","388.163","-0.264","25","0.781"
"abape","5","3","4,319","1,079.750","659","753.531","275.268","0.132","32","0.941"
"agated","6","1","14,459","2,891.800","1,791","954.333","263.998","-0.183","12","0.400"
"abbass","6","1","4,981","996.200","521","823.000","272.218","-0.027","28","0.824"
"abboy","5","2","2,084","521.000","242","821.000","212.702","-0.141","26","0.788"
"abbit","5","1","3,974","993.500","594","801.357","241.757","-0.243","28","0.848"
"abbreviane","10","1","14,423","1,602.556","1,510","918.840","257.695","-0.690","25","0.806"
"aggreviated","11","0","21,741","2,174.100","2,076","1,268.750","542.526","-1.836","4","0.133"
"accreviation","12","0","25,465","2,315.000","2,807","867.300","243.527","-0.602","30","0.968"
"addreviations","13","0","26,490","2,207.500","2,672","862.545","354.001","-0.514","22","0.733"
"apdicate","8","1","15,433","2,204.714","2,054","819.774","274.824","-0.026","31","0.969"
"addomen","7","1","8,619","1,436.500","1,104","848.542","246.531","-0.127","24","0.750"
"addominal","9","1","15,820","1,977.500","1,923","921.545","301.057","-0.824","22","0.688"
"athuct","6","0","7,377","1,475.400","418","669.250","206.518","0.317","32","0.970"
"abdaction","9","1","16,048","2,006.000","1,866","980.357","418.254","-0.664","28","0.903"
"Ebe","3","6","1,097","548.500","25","844.654","346.590","-0.090","26","0.788"
"afed","4","3","5,288","1,762.667","232","699.219","259.062","0.337","32","1.000"
"Abem","4","4","2,875","958.333","271","819.000","257.986","-0.021","30","0.909"
"Aber's","6","1","9,222","1,844.400","805","812.870","271.500","-0.142","23","0.742"
"averrant","8","1","18,635","2,662.143","1,898","975.571","426.733","-0.492","21","0.656"
"aderration","10","1","29,574","3,286.000","3,472","937.200","453.994","-0.440","25","0.806"
"agerrations","11","1","29,773","2,977.300","3,427","978.875","319.643","-0.800","24","0.800"
"afet","4","1","2,157","719.000","192","652.206","175.230","0.447","34","1.000"
"aretted","7","2","18,413","3,068.833","2,652","819.677","310.379","0.021","31","0.939"
"abeyonce","8","1","9,824","1,403.429","994","907.719","357.218","-0.232","32","1.000"
"abhar","5","1","5,124","1,281.000","500","785.844","238.168","-0.108","32","0.914"
"athorred","8","1","19,057","2,722.429","1,908","717.800","198.721","0.175","35","1.000"
"achorrent","9","1","18,883","2,360.375","1,990","880.125","330.663","-0.190","32","1.000"
"avide","5","3","4,597","1,149.250","560","924.966","310.879","-0.497","29","0.853"
"arides","6","4","13,775","2,755.000","2,022","898.737","309.664","-0.438","19","0.633"
"ahiding","7","2","14,691","2,448.500","2,552","780.933","303.069","0.107","30","0.909"
"Abigoul","7","0","5,511","918.500","665","917.963","383.528","-0.269","27","0.900"
"abilitied","9","1","18,494","2,311.750","2,570","1,102.667","405.959","-1.002","21","0.677"
"afility","7","2","8,091","1,348.500","1,152","847.815","392.751","-0.311","27","0.871"
"anject","6","2","6,123","1,224.600","773","774.212","353.469","-0.047","33","1.000"
"aglaze","6","1","3,847","769.400","312","830.333","369.711","-0.276","18","0.581"
"ablo","4","2","3,655","1,218.333","338","650.742","181.885","0.344","31","0.939"
"agly","4","3","2,764","921.333","130","725.032","178.281","0.244","31","0.939"
"annormal","8","1","12,729","1,818.429","1,591","868.185","236.717","-0.506","27","0.871"
"atnormalities","13","1","28,569","2,380.750","1,913","983.176","286.373","-0.677","34","1.000"
"abcormality","11","1","17,198","1,719.800","1,783","841.636","166.452","-0.299","33","0.971"
"adnormally","10","1","13,156","1,461.778","1,745","1,199.600","661.740","-1.194","10","0.323"
"aboars","6","1","6,624","1,324.800","723","801.593","326.197","-0.076","27","0.818"
"afode","5","2","3,958","989.500","568","754.455","210.254","0.124","33","0.943"
"avolish","7","1","8,739","1,456.500","1,124","805.061","198.669","-0.197","33","0.971"
"asolished","9","1","16,568","2,071.000","1,991","834.774","336.383","-0.118","31","0.912"
"alolition","9","1","22,647","2,830.875","2,815","853.903","221.880","-0.482","31","0.969"
"agolitionist","12","1","27,101","2,463.727","2,471","1,031.923","309.947","-0.918","26","0.867"
"abolitionashs","13","0","24,131","2,010.917","2,481","1,170.652","329.154","-1.270","23","0.793"
"abominacle","10","1","18,140","2,015.556","2,135","938.571","359.375","-0.730","28","0.875"
"arominate","9","1","24,595","3,074.375","3,922","855.000","299.870","-0.374","27","0.844"
"avoriginal","10","1","19,049","2,116.556","2,117","793.871","191.319","-0.069","31","0.939"
"aforigine","9","1","17,016","2,127.000","2,012","717.485","283.384","0.313","33","0.971"
"anorigines","10","1","24,965","2,773.889","2,679","906.107","299.707","-0.382","28","0.933"
"agort","5","1","4,902","1,225.500","574","790.812","212.933","0.004","32","0.970"
"ahortion","8","1","16,910","2,415.714","2,022","772.926","223.868","-0.065","27","0.818"
