,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
160,Acadeo,6,0,7161.0,1432.2,962.0,841.258,280.944,-0.182,31.0,0.912,0.6226989033863763,0.0024799999999999267
37120,spusts,6,0,7264.0,1452.8,1139.0,786.774,263.606,0.039,31.0,0.912,0.8401721095662257,0.0024799999999999267
671,Althan,6,0,9386.0,1877.2,1037.0,911.226,287.755,-0.312,31.0,0.912,0.633744088328935,0.0024799999999999267
229,attord,6,0,9601.0,1920.2,848.0,792.767,277.487,-0.033,30.0,0.909,0.42633310390015083,0.005479999999999929
1999,aprect,6,0,9200.0,1840.0,1187.0,705.267,187.829,0.022,30.0,0.909,0.7947265786018765,0.005479999999999929
32521,glirts,6,0,6002.0,1200.4,857.0,785.034,267.273,0.045,29.0,0.906,0.75302512865619,0.008479999999999932
24075,orrity,6,0,9085.0,1817.0,1023.0,704.0,188.666,0.394,29.0,0.906,0.5435188935791958,0.008479999999999932
34488,plymie,6,0,5088.0,1017.6,755.0,758.5,238.936,-0.226,30.0,0.938,0.8295779921546358,0.023519999999999985
36050,plirty,6,0,6039.0,1207.8,884.0,733.935,156.786,0.104,31.0,0.939,0.7811705138717053,0.024519999999999986
38902,Viviok,6,0,5154.0,1030.8,719.0,738.161,228.027,0.086,31.0,0.939,0.8003268767513967,0.024519999999999986
1389,allual,6,0,8763.0,1752.6,796.0,818.806,301.753,-0.078,31.0,0.939,0.157350056919131,0.024519999999999986
35913,fleirs,6,0,6477.0,1295.4,940.0,842.156,358.574,-0.004,32.0,0.941,0.7542126845767729,0.026519999999999988
24301,ollose,6,0,7260.0,1452.0,631.0,778.812,310.82,-0.026,32.0,0.941,0.42308473811962144,0.026519999999999988
30316,roifar,6,0,6389.0,1277.8,783.0,710.576,212.984,0.317,33.0,0.943,0.5605186791064463,0.02851999999999999
2073,affist,6,0,7759.0,1551.8,1172.0,814.091,292.016,0.019,33.0,0.943,0.768329526090043,0.02851999999999999
35895,smat's,6,0,7519.0,1503.8,657.0,740.939,178.084,0.18,33.0,0.943,0.32638698888430173,0.02851999999999999
15495,smeasy,6,0,5761.0,1152.2,705.0,836.967,223.497,-0.19,30.0,0.882,0.6760724026029317,0.03247999999999995
236,affost,6,0,5635.0,1127.0,872.0,730.733,253.482,0.238,30.0,0.882,0.8602063736384924,0.03247999999999995
2231,aggire,6,0,6952.0,1390.4,724.0,759.679,287.239,-0.027,28.0,0.875,0.3687887467972105,0.03947999999999996
