,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
2129,antringent,10,1,29922.0,3324.667,4077.0,933.16,256.854,-0.67,25.0,0.862,0.10841302567719861,0.013960000000000083
13419,fingerinks,10,1,29282.0,3253.556,3983.0,,340.333,-0.944,25.0,0.833,0.09294101744218113,0.015039999999999942
7406,pontinence,10,1,29492.0,3276.889,4679.0,959.208,447.031,-0.529,24.0,0.828,0.08046387661434184,0.020039999999999947
25845,hertinence,10,1,29707.0,3300.778,4054.0,,321.228,-0.762,28.0,0.824,0.09900987867230102,0.02403999999999995
18504,institotes,10,1,30440.0,3382.222,4199.0,878.036,306.486,-0.365,28.0,0.875,0.1158481327187077,0.026960000000000095
39443,gesterners,10,1,30201.0,3355.667,4147.0,903.607,434.52,-0.229,28.0,0.875,0.11143726665590567,0.026960000000000095
27295,creventing,10,1,30144.0,3349.333,4165.0,893.679,310.534,-0.409,28.0,0.875,0.10343610517939932,0.026960000000000095
29220,relationat,10,1,29975.0,3330.556,4119.0,,287.727,-0.771,28.0,0.875,0.1024269851838864,0.026960000000000095
14777,satherings,10,1,28112.0,3123.556,4551.0,846.704,243.956,-0.214,27.0,0.818,0.1233486598912432,0.030039999999999956
38702,peterinary,10,1,28369.0,3152.111,4488.0,880.913,234.884,-0.756,23.0,0.885,0.09142471540111052,0.036960000000000104
122,adstention,10,1,28151.0,3127.889,4212.0,974.538,363.572,-0.592,26.0,0.897,0.11771803228864347,0.048960000000000115
17596,inperilled,10,1,28639.0,3182.111,4347.0,,352.081,-0.708,27.0,0.794,0.05358559616667857,0.054039999999999866
7695,horonation,10,1,28196.0,3132.889,4001.0,809.483,283.096,-0.239,29.0,0.906,0.162878167319098,0.05796000000000012
18733,interprats,10,1,30394.0,3377.111,4638.0,957.448,366.839,-0.64,29.0,0.906,0.1325972639477382,0.05796000000000012
16175,barvesting,10,1,29505.0,3278.333,4687.0,878.862,301.584,-0.254,29.0,0.906,0.08317874524757386,0.05796000000000012
29750,vestrained,10,1,29337.0,3259.667,3698.0,907.346,276.951,-0.599,26.0,0.788,0.15515204743716063,0.06003999999999987
10305,bissenting,10,1,29402.0,3266.889,4327.0,833.5,325.084,-0.295,26.0,0.788,0.015812753525855015,0.06003999999999987
36530,sormenting,10,1,28285.0,3142.778,4160.0,749.167,196.717,-0.056,30.0,0.909,0.12046662087121851,0.060960000000000125
9553,getermines,10,1,28736.0,3192.889,4201.0,844.433,294.037,-0.352,30.0,0.909,0.0803427875604378,0.060960000000000125
3617,dolstering,10,1,30111.0,3345.667,3969.0,830.065,362.275,-0.131,31.0,0.912,0.14598612089313828,0.06396000000000013
18669,interloced,10,1,29003.0,3222.556,4482.0,,399.661,-1.08,24.0,0.774,0.04682241251068152,0.07403999999999988
6935,concocgion,10,1,,,4278.0,928.857,370.911,-0.381,28.0,0.933,0.022171423503674625,0.08496000000000015
7509,ronvention,10,1,27606.0,3067.333,4307.0,799.893,303.952,-0.16,28.0,0.933,0.1331659285581323,0.08496000000000015
20740,poneliness,10,1,27668.0,3074.222,4379.0,815.393,208.534,-0.203,28.0,0.933,0.11430971808594181,0.08496000000000015
31595,heparating,10,1,29368.0,3263.111,3804.0,867.567,340.889,-0.287,30.0,0.935,0.13303714931894517,0.08696000000000015
38609,hentilated,10,1,29872.0,3319.111,3986.0,800.931,230.205,-0.189,29.0,0.935,0.1258035230213093,0.08696000000000015
8913,pecoration,10,1,27374.0,3041.556,4280.0,975.867,447.734,-0.632,30.0,0.938,0.1551565545497072,0.08996000000000004
30871,satoration,10,1,28219.0,3135.444,4147.0,933.033,392.382,-0.729,30.0,0.938,0.12793861054098132,0.08996000000000004
6905,honcerning,10,1,27797.0,3088.556,4529.0,865.906,318.576,-0.219,32.0,0.941,0.13979906723318108,0.09296000000000004
7386,vontending,10,1,30554.0,3394.889,4131.0,814.281,229.418,0.01,32.0,0.941,0.13916443287167424,0.09296000000000004
7409,dontinents,10,1,29999.0,3333.222,4649.0,931.094,419.187,-0.466,32.0,0.941,0.10817755892913836,0.09296000000000004
6964,hondensing,10,1,28347.0,3149.667,4319.0,801.875,241.068,-0.025,32.0,0.941,0.07989612964800646,0.09296000000000004
28843,recrealing,10,1,29623.0,3291.444,4292.0,,361.713,-0.905,32.0,0.941,0.038881959179287724,0.09296000000000004
18543,insulition,10,1,27477.0,3053.0,4268.0,,482.426,-1.15,24.0,0.75,0.15087626269411408,0.0980399999999999
18573,integlated,10,1,30273.0,3363.667,4309.0,,281.018,-1.101,23.0,0.742,0.07931818429011933,0.10603999999999991
21564,lastermind,10,1,28205.0,3133.889,4190.0,935.533,413.517,-0.652,30.0,0.968,0.11906449211849224,0.11996000000000007
27222,breserving,10,1,29597.0,3288.556,4142.0,847.906,279.337,-0.283,32.0,0.97,0.07139507038302977,0.12196000000000007
7398,gontestant,10,1,28812.0,3201.333,4142.0,831.938,232.781,-0.201,32.0,0.97,0.0886464056168598,0.12196000000000007
19800,gaceration,10,1,29054.0,3228.222,4777.0,899.938,338.289,-0.459,32.0,0.97,0.11077362433096982,0.12196000000000007
21942,ressengers,10,1,29210.0,3245.556,4498.0,862.061,300.263,-0.389,33.0,0.971,0.03636479780945474,0.12296000000000007
39797,hintertime,10,1,29963.0,3329.222,4039.0,908.364,394.47,-0.344,33.0,0.971,0.11989424396182721,0.12296000000000007
29840,rethaining,10,1,28510.0,3167.778,4428.0,817.333,302.94,-0.276,33.0,0.971,0.06809593103408876,0.12296000000000007
2423,ballerinis,10,1,29082.0,3231.333,4758.0,,356.86,-0.64,32.0,1.0,0.10452155981916535,0.1519600000000001
7356,sontacting,10,1,28477.0,3164.111,4289.0,775.0,288.616,-0.067,36.0,1.0,0.07788906734162354,0.1519600000000001
29380,venderings,10,1,30213.0,3357.0,4744.0,800.091,211.075,-0.169,22.0,0.688,0.14448397520363526,0.16003999999999996
22705,moralestic,10,1,28431.0,3159.0,4356.0,898.263,351.861,-0.757,19.0,0.633,0.06571136363912375,0.2150399999999999
27070,predection,10,1,27304.0,3033.778,4268.0,,400.648,-1.284,15.0,0.467,0.1626725853908741,0.3810399999999999
18652,interfades,10,1,29188.0,3243.111,4304.0,,505.317,-1.006,14.0,0.452,0.025979375780479045,0.3960399999999999
18285,inhibating,10,1,29038.0,3226.444,3829.0,,425.341,-1.081,12.0,0.429,0.14477896639790516,0.4190399999999999
