,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
31244,chrutinized,11,0,22148.0,2214.8,2935.0,824.25,273.142,-0.289,32.0,0.914,0.4396359566253686,0.0024999999999998357
27205,stesentable,11,0,28793.0,2879.3,2886.0,863.742,386.91,-0.21,31.0,0.912,0.17438638798296327,0.0044999999999998375
732,attravation,11,0,26573.0,2657.3,3115.0,,438.994,-0.656,30.0,0.909,0.061296698647688067,0.00749999999999984
33728,prabilizing,11,0,21791.0,2179.1,3123.0,840.8,273.114,-0.281,30.0,0.909,0.41298295011314917,0.00749999999999984
1934,artillerasm,11,0,26460.0,2646.0,2256.0,,394.3,-0.599,29.0,0.906,0.34309177342890934,0.010499999999999843
36102,spreatening,11,0,33254.0,3325.4,3138.0,,288.568,-0.818,28.0,0.903,0.43642108146138237,0.013499999999999845
977,appeviating,11,0,25181.0,2518.1,3005.0,962.815,342.768,-0.715,27.0,0.931,0.1957079369634846,0.01450000000000018
33876,blartlingly,11,0,23129.0,2312.9,3486.0,945.481,303.613,-0.422,27.0,0.9,0.43198361211733,0.016499999999999848
1634,annortioned,11,0,27056.0,2705.6,2906.0,920.857,291.642,-0.669,28.0,0.933,0.09064422618905042,0.01650000000000018
19056,iffitations,11,0,23703.0,2370.3,3184.0,919.414,378.623,-0.321,29.0,0.935,0.2930032990020889,0.018500000000000183
2071,attimilated,11,0,28400.0,2840.0,2028.0,842.379,257.989,-0.42,29.0,0.935,0.42149050218102624,0.018500000000000183
170,aggelerator,11,0,24957.0,2495.7,3084.0,,478.365,-0.787,29.0,0.935,0.18666752693115296,0.018500000000000183
18672,interlifoar,11,0,27994.0,2799.4,4164.0,858.839,217.676,-0.314,31.0,0.939,0.3822068643518923,0.022500000000000075
630,allectingly,11,0,28109.0,2810.9,3342.0,891.226,233.543,-0.555,31.0,0.939,0.12637891796722572,0.022500000000000075
39618,drolesalers,11,0,26589.0,2658.9,3238.0,844.871,345.954,-0.288,31.0,0.939,0.09966571613138075,0.022500000000000075
34030,crereotypes,11,0,24157.0,2415.7,2589.0,918.548,427.742,-0.268,31.0,0.939,0.4041851079157737,0.022500000000000075
13544,tragellated,11,0,25224.0,2522.4,3210.0,861.226,295.782,-0.135,31.0,0.939,0.19031859896812883,0.022500000000000075
1647,attreciated,11,0,27552.0,2755.2,2615.0,932.344,307.005,-0.553,32.0,0.941,0.17089615757027857,0.024500000000000077
38160,unsmilintlo,11,0,21590.0,2159.0,3115.0,831.375,253.393,-0.136,32.0,0.941,0.42508563820458173,0.024500000000000077
36821,stansparent,11,0,27049.0,2704.9,2613.0,877.303,368.17,-0.347,33.0,0.941,0.18533717304270175,0.024500000000000077
1662,addrentices,11,0,26219.0,2621.9,3057.0,965.515,278.74,-0.567,33.0,0.943,0.10321282300529061,0.02650000000000008
2020,attassinate,11,0,28349.0,2834.9,2511.0,933.103,386.471,-0.518,29.0,0.879,0.26251170082014696,0.03749999999999987
25777,serpetauted,11,0,23645.0,2364.5,2750.0,,431.772,-0.871,28.0,0.875,0.38981235254053304,0.04149999999999987
35936,preoretical,11,0,26714.0,2671.4,3782.0,,422.097,-0.819,26.0,0.963,0.26540329685897773,0.0465000000000001
2083,appociating,11,0,24981.0,2498.1,3012.0,966.654,321.309,-0.815,26.0,0.867,0.20805905899468424,0.04949999999999988
734,addregation,11,0,23315.0,2331.5,3140.0,907.962,286.34,-0.367,26.0,0.867,0.30718627252120934,0.04949999999999988
17440,ittuminated,11,0,26988.0,2698.8,2544.0,827.379,293.068,-0.086,29.0,0.967,0.2119698959707902,0.0505000000000001
999,attocations,11,0,26599.0,2659.9,2918.0,,415.257,-0.679,30.0,0.968,0.1201506926230279,0.0515000000000001
18834,intropucted,11,0,25369.0,2536.9,3164.0,,459.293,-0.551,31.0,0.969,0.16494649014595764,0.0525000000000001
24127,onniciating,11,0,30660.0,3066.0,3074.0,,473.689,-0.886,31.0,0.969,0.25025789530918013,0.0525000000000001
25908,pettijestes,11,0,25548.0,2554.8,2987.0,923.625,300.771,-0.551,32.0,0.97,0.1747006509687234,0.0535000000000001
14935,germinatiup,11,0,27068.0,2706.8,4035.0,908.375,295.663,-0.356,32.0,0.97,0.3208834767777158,0.0535000000000001
37885,uninitiobed,11,0,26949.0,2694.9,3202.0,,418.846,-0.878,32.0,0.97,0.06181171499723411,0.0535000000000001
1618,arrlication,11,0,26741.0,2674.1,3620.0,834.562,357.845,-0.083,32.0,0.97,0.21135886304051396,0.0535000000000001
