,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
28281,bacists,7,1,10557.0,1759.5,1925.0,782.812,226.255,0.006,32.0,0.914,0.05299424176817048,0.009259999999999935
14374,criends,7,1,10916.0,1819.333,1826.0,716.258,195.218,0.156,31.0,0.912,0.08301036178886674,0.011259999999999937
33229,tources,7,1,10948.0,1824.667,1901.0,845.966,327.467,-0.076,29.0,0.935,0.05034042219862521,0.011740000000000084
4442,Durmese,7,1,10557.0,1759.5,1994.0,744.733,200.662,-0.068,30.0,0.909,0.06997827831781714,0.01425999999999994
5384,thamber,7,1,10863.0,1810.5,1986.0,764.867,213.786,0.144,30.0,0.909,0.035103945491812685,0.01425999999999994
22749,rortals,7,1,11256.0,1876.0,1960.0,699.9,196.53,0.279,30.0,0.909,0.09454760637327968,0.01425999999999994
4681,tallous,7,1,11170.0,1861.667,1940.0,825.742,367.997,-0.153,31.0,0.938,0.0714061782619881,0.014739999999999975
5786,chroped,7,1,10809.0,1801.5,1985.0,855.033,247.563,-0.159,30.0,0.938,0.0245827860060783,0.014739999999999975
1754,amchery,7,1,11016.0,1836.0,1964.0,905.867,313.662,-0.415,30.0,0.938,0.052132980974639136,0.014739999999999975
23743,gostril,7,1,10765.0,1794.167,2027.0,837.4,314.224,-0.087,30.0,0.938,0.04841860593244126,0.014739999999999975
566,apverbs,7,1,,,1957.0,808.935,433.634,0.044,31.0,0.939,0.007205348839244036,0.015739999999999976
16429,Hellepe,7,1,10853.0,1808.833,1934.0,703.903,210.593,0.16,31.0,0.939,0.015752001841754883,0.015739999999999976
21076,Madenna,7,1,10941.0,1823.5,2022.0,895.161,333.185,-0.41,31.0,0.939,0.0680858067252139,0.015739999999999976
15141,plossed,7,1,11178.0,1863.0,1922.0,718.862,155.005,0.082,29.0,0.906,0.08215245610914715,0.017259999999999942
15979,hamsper,7,1,10941.0,1823.5,1913.0,965.6,449.694,-0.436,30.0,0.906,0.04286708578785977,0.017259999999999942
21825,meltung,7,1,10360.0,1726.667,1939.0,796.312,306.91,0.169,32.0,0.941,0.0822938718301739,0.017739999999999978
