,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
28673,reasserbing,11,1,29265.0,2926.5,4370.0,,467.517,-1.012,28.0,0.848,0.10679002715245708,0.0043400000000000105
7415,montinually,11,1,27193.0,2719.3,4155.0,938.308,349.392,-0.604,26.0,0.839,0.12204523511541662,0.013340000000000019
29802,petaliation,11,1,27898.0,2789.8,4209.0,975.577,314.984,-0.722,26.0,0.867,0.05952602272502889,0.014660000000000006
34865,superintand,11,1,28999.0,2899.9,4393.0,,467.98,-1.166,27.0,0.871,0.08261014830233493,0.01866000000000001
7008,confaderate,11,1,29343.0,2934.3,4613.0,875.966,287.782,-0.462,29.0,0.879,0.13464930460650792,0.026660000000000017
9537,deteriorute,11,1,28649.0,2864.9,4507.0,962.444,278.963,-0.66,27.0,0.818,0.06120945463435868,0.03434000000000004
26641,pollinution,11,1,26737.0,2673.7,4567.0,862.231,300.133,-0.491,26.0,0.812,0.11815009713546644,0.04033999999999993
5095,pastigation,11,1,28396.0,2839.6,4723.0,889.68,338.711,-0.421,25.0,0.806,0.09176282694402421,0.04633999999999994
29862,retrotision,11,1,26980.0,2698.0,4262.0,,304.278,-1.094,25.0,0.806,0.11317290500339788,0.04633999999999994
18372,inoperatove,11,1,27384.0,2738.4,4407.0,,554.15,-0.83,27.0,0.9,0.05166972937200814,0.047660000000000036
9099,deleteriour,11,1,28073.0,2807.3,4173.0,985.75,378.299,-0.644,28.0,0.903,0.06598744549276803,0.05066000000000004
38436,haccination,11,1,28213.0,2821.3,4463.0,,340.317,-0.748,28.0,0.903,0.02015782075147185,0.05066000000000004
29744,bestorative,11,1,27874.0,2787.4,4177.0,916.586,340.347,-0.584,29.0,0.906,0.06844445235307414,0.05366000000000004
4789,tandlestick,11,1,26915.0,2691.5,4130.0,923.467,527.536,-0.218,30.0,0.909,0.14753259603569222,0.056660000000000044
7851,counterpand,11,1,26190.0,2619.0,4534.0,,486.848,-0.979,31.0,0.912,0.14979662037873492,0.059660000000000046
