,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
27688,blosper,7,0,12148.0,2024.667,2006.0,700.29,167.926,0.138,31.0,0.912,0.2429476937799406,0.0032999999999998586
17524,ittoral,7,0,13158.0,2193.0,1443.0,689.967,180.794,0.4,30.0,0.909,0.3739208763955438,0.006299999999999861
31170,thraped,7,0,11704.0,1950.667,1963.0,811.833,247.518,-0.069,30.0,0.909,0.32472210630769227,0.006299999999999861
20243,gentips,7,0,13654.0,2275.667,1841.0,863.933,336.34,-0.142,30.0,0.909,0.10329804589185676,0.006299999999999861
32802,clitten,7,0,14387.0,2397.833,1948.0,804.8,309.182,-0.018,30.0,0.909,0.11023378012233014,0.006299999999999861
36161,strusts,7,0,11956.0,1992.667,1833.0,812.9,231.392,-0.156,30.0,0.909,0.3531671393662469,0.006299999999999861
2011,achirin,7,0,14645.0,2440.833,1940.0,769.967,238.156,0.056,30.0,0.906,0.15158859107426842,0.009299999999999864
34363,chrings,7,0,15728.0,2621.333,1910.0,799.5,295.702,-0.05,28.0,0.903,0.32339371522135874,0.012299999999999867
33292,Flanish,7,0,11547.0,1924.5,2019.0,819.214,277.646,-0.034,28.0,0.903,0.3364670944676045,0.012299999999999867
33290,traniel,7,0,12786.0,2131.0,2447.0,733.4,269.169,0.159,30.0,0.938,0.3708440375471914,0.022700000000000053
35950,clerapy,7,0,14225.0,2370.833,1468.0,890.452,307.329,-0.422,31.0,0.939,0.32653604333849434,0.023700000000000054
6544,lonbust,7,0,11689.0,1948.167,1954.0,744.871,244.328,0.017,31.0,0.939,0.3313896323339667,0.023700000000000054
17503,issense,7,0,14079.0,2346.5,1402.0,880.839,335.395,-0.371,31.0,0.939,0.3383621732176297,0.023700000000000054
33671,pluared,7,0,13787.0,2297.833,1957.0,826.387,322.222,-0.148,31.0,0.939,0.02609769567867912,0.023700000000000054
30958,drandal,7,0,12349.0,2058.167,2200.0,816.156,301.154,-0.211,32.0,0.941,0.3107456236778241,0.025700000000000056
32545,chyline,7,0,13778.0,2296.333,2452.0,774.276,268.616,-0.005,29.0,0.879,0.22969851119439388,0.03629999999999989
30841,Satonac,7,0,13780.0,2296.667,1683.0,924.69,331.653,-0.534,29.0,0.879,0.16397408567112245,0.03629999999999989
1884,allears,7,0,14346.0,2391.0,1508.0,942.448,376.905,-0.594,29.0,0.879,0.3240771699353475,0.03629999999999989
33978,treeple,7,0,11967.0,1994.5,2169.0,785.645,294.635,0.036,31.0,0.969,0.35057546623187064,0.05370000000000008
20802,tossens,7,0,11485.0,1914.167,1940.0,867.065,470.326,0.001,31.0,0.969,0.36792215919131227,0.05370000000000008
35964,snere's,7,0,14338.0,2389.667,1501.0,752.719,228.655,0.108,32.0,0.97,0.3264154038062252,0.05470000000000008
35180,plished,7,0,13813.0,2302.167,1965.0,757.875,192.006,-0.049,32.0,0.97,0.018626455636639255,0.05470000000000008
26972,spaises,7,0,12125.0,2020.833,1895.0,782.156,238.454,0.012,32.0,0.97,0.29772694559000124,0.05470000000000008
33330,dratula,7,0,11480.0,1913.333,1907.0,839.094,317.892,-0.104,32.0,0.97,0.385129964969851,0.05470000000000008
33921,bratues,7,0,13497.0,2249.5,2466.0,769.188,244.115,-0.075,32.0,0.97,0.2773806153017284,0.05470000000000008
13437,Finlonk,7,0,14180.0,2363.333,1576.0,761.281,194.978,0.095,32.0,0.97,0.26607394500968123,0.05470000000000008
17507,ipperse,7,0,12372.0,2062.0,2305.0,705.412,244.864,0.362,34.0,0.971,0.35986285827241404,0.05570000000000008
34490,chyrene,7,0,12459.0,2076.5,2009.0,820.485,391.258,0.006,33.0,0.971,0.19941304637005286,0.05570000000000008
33459,trinach,7,0,15865.0,2644.167,1864.0,770.273,260.471,-0.071,33.0,0.971,0.36620883348112054,0.05570000000000008
