,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
27388,scivies,7,0,9245.0,1540.833,1491.0,776.469,245.813,0.02,32.0,0.914,0.4096442245415811,0.009359999999999924
34181,clooped,7,0,9873.0,1645.5,1905.0,815.097,367.152,-0.018,31.0,0.912,0.08195348298870732,0.011359999999999926
33744,traffed,7,0,10489.0,1748.167,2307.0,864.161,330.229,-0.263,31.0,0.912,0.2374915850616025,0.011359999999999926
1621,ammlied,7,0,9850.0,1641.667,1706.0,930.968,347.731,-0.34,31.0,0.912,0.18315288627047435,0.011359999999999926
31170,thraped,7,0,11704.0,1950.667,1963.0,811.833,247.518,-0.069,30.0,0.909,0.4110368963515338,0.014359999999999928
34286,chratum,7,0,10427.0,1737.833,1450.0,846.2,364.412,-0.138,30.0,0.909,0.40206941433782767,0.014359999999999928
33873,clartle,7,0,10402.0,1733.667,2049.0,775.333,226.991,0.005,30.0,0.938,0.10638588706591033,0.014639999999999986
39611,sloever,7,0,10588.0,1764.667,1672.0,808.0,235.488,0.033,30.0,0.938,0.326867240876072,0.014639999999999986
33346,checial,7,0,9738.0,1623.0,1639.0,827.774,335.17,-0.284,31.0,0.939,0.23827865702435846,0.015639999999999987
6544,lonbust,7,0,11689.0,1948.167,1954.0,744.871,244.328,0.017,31.0,0.939,0.4123746314287743,0.015639999999999987
37275,bligged,7,0,10681.0,1780.167,1677.0,883.939,512.863,-0.176,33.0,0.943,0.34322150045287403,0.01963999999999999
1892,addived,7,0,10393.0,1732.167,1582.0,,422.354,-0.727,28.0,0.903,0.3311573665553218,0.020359999999999934
33292,Flanish,7,0,11547.0,1924.5,2019.0,819.214,277.646,-0.034,28.0,0.903,0.3521611128590741,0.020359999999999934
9573,detrabe,7,0,10617.0,1769.5,2091.0,789.6,208.103,-0.146,30.0,0.968,0.15853604745615327,0.04464000000000001
31146,trourge,7,0,8377.0,1396.167,1877.0,735.387,260.926,0.134,31.0,0.969,0.39763866226219097,0.045640000000000014
20802,tossens,7,0,11485.0,1914.167,1940.0,867.065,470.326,0.001,31.0,0.969,0.3779720267304826,0.045640000000000014
31206,phrewed,7,0,10622.0,1770.333,1753.0,784.387,230.853,0.189,31.0,0.969,0.29443144942899957,0.045640000000000014
34368,phripes,7,0,10354.0,1725.667,1665.0,689.879,174.964,0.316,33.0,0.97,0.28301007825367225,0.046640000000000015
32795,thirked,7,0,8871.0,1478.5,1832.0,801.424,307.592,0.137,33.0,0.97,0.31971537705243286,0.046640000000000015
15695,haurded,7,0,10681.0,1780.167,1889.0,863.75,373.27,-0.129,32.0,0.97,0.24035886234643933,0.046640000000000015
34305,chreams,7,0,9266.0,1544.333,1512.0,812.688,349.414,-0.014,32.0,0.97,0.39521429591209417,0.046640000000000015
5099,castopp,7,0,9443.0,1573.833,2163.0,812.188,262.179,0.053,32.0,0.97,0.14258630850051424,0.046640000000000015
34292,chrayed,7,0,9967.0,1661.167,1858.0,697.219,204.093,0.268,32.0,0.97,0.11121612568583439,0.046640000000000015
33330,dratula,7,0,11480.0,1913.333,1907.0,839.094,317.892,-0.104,32.0,0.97,0.3929735682410419,0.046640000000000015
21836,gemiors,7,0,10325.0,1720.833,1503.0,759.667,285.32,0.109,33.0,0.971,0.3557560446000682,0.047640000000000016
29412,reordom,7,0,9971.0,1661.833,2009.0,821.364,348.307,-0.115,33.0,0.971,0.03875810555660964,0.047640000000000016
15048,dradden,7,0,11180.0,1863.333,1934.0,677.212,113.858,0.178,33.0,0.971,0.3192916372951341,0.047640000000000016
15130,glarias,7,0,10866.0,1811.0,1793.0,772.727,290.718,-0.063,33.0,0.971,0.32429656027977677,0.047640000000000016
34433,brudied,7,0,9211.0,1535.167,1955.0,950.571,311.219,-0.661,28.0,0.875,0.19137640293052532,0.04835999999999996
26643,Tollack,7,0,8706.0,1451.0,1798.0,825.036,215.731,-0.06,28.0,0.875,0.3695320405808813,0.04835999999999996
34458,trunned,7,0,11334.0,1889.0,2164.0,915.759,327.092,-0.427,29.0,0.853,0.33874551592989877,0.07035999999999998
31805,trapely,7,0,10612.0,1768.667,2197.0,763.379,213.303,-0.099,29.0,0.853,0.20895787677043393,0.07035999999999998
34354,splikes,7,0,9831.0,1638.5,1653.0,835.897,208.099,-0.437,29.0,0.853,0.21270557610782884,0.07035999999999998
5054,fastade,7,0,10974.0,1829.0,2084.0,847.643,350.316,-0.149,28.0,0.848,0.227231625333176,0.07535999999999998
29591,rescuok,7,0,10870.0,1811.667,2328.0,763.061,260.524,0.147,33.0,1.0,0.3246193144363274,0.07664000000000004
34018,theppes,7,0,10404.0,1734.0,1784.0,828.281,344.618,-0.001,32.0,1.0,0.2353678594316801,0.07664000000000004
15648,smouped,7,0,9718.0,1619.667,1375.0,814.257,402.729,0.1,35.0,1.0,0.37041031830424653,0.07664000000000004
37596,uchergo,7,0,10537.0,1756.167,1587.0,738.0,250.34,0.069,31.0,1.0,0.3578104812376992,0.07664000000000004
15392,slandma,7,0,9456.0,1576.0,1709.0,832.794,406.826,-0.109,34.0,1.0,0.26126118898807904,0.07664000000000004
8294,drusier,7,0,11641.0,1940.167,2057.0,838.686,323.51,-0.14,35.0,1.0,0.3527058756456225,0.07664000000000004
37071,shoupes,7,0,10721.0,1786.833,1861.0,686.206,211.162,0.315,34.0,1.0,0.26202162333443557,0.07664000000000004
34367,schiped,7,0,10154.0,1692.333,1582.0,834.125,327.33,-0.182,32.0,1.0,0.282893700517739,0.07664000000000004
34434,pludies,7,0,9334.0,1555.667,1691.0,806.114,263.338,-0.183,35.0,1.0,0.29463108418580214,0.07664000000000004
31127,Chorpio,7,0,9062.0,1510.333,1546.0,756.333,216.006,0.012,33.0,1.0,0.41991287814751466,0.07664000000000004
32474,cridded,7,0,11808.0,1968.0,2110.0,911.815,348.742,-0.478,27.0,0.844,0.4082634262613765,0.07935999999999999
34100,trimuli,7,0,9572.0,1595.333,1782.0,772.741,255.236,-0.057,27.0,0.844,0.2024168620298807,0.07935999999999999
8854,pecible,7,0,8941.0,1490.167,1669.0,923.654,381.633,-0.414,26.0,0.812,0.3846672747085119,0.1113599999999999
37046,slooper,7,0,11401.0,1900.167,1923.0,849.75,229.617,-0.147,24.0,0.75,0.36925762565003417,0.17335999999999996
33305,clarked,7,0,11216.0,1869.333,2327.0,906.955,327.547,-0.396,22.0,0.647,0.39400437348661277,0.27635999999999994
32838,drodged,7,0,8908.0,1484.667,2130.0,909.0,329.884,-0.197,19.0,0.594,0.23461127700145556,0.32936
