,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
14843,fenerates,9,1,28999.0,3624.875,4365.0,925.148,411.244,-0.366,27.0,0.871,0.16315367364678768,0.0033999999999999586
9436,pesertion,9,1,27239.0,3404.875,4121.0,943.08,411.3,-0.537,25.0,0.862,0.3311142648863983,0.005600000000000049
25369,patanting,9,1,29248.0,3656.0,4138.0,916.72,297.38,-0.679,25.0,0.862,0.19205325049511504,0.005600000000000049
7407,montinent,9,1,29369.0,3671.125,4755.0,979.536,310.041,-0.343,28.0,0.875,0.0596390893010508,0.007399999999999962
22542,rolesting,9,1,30502.0,3812.75,4092.0,778.567,173.336,-0.204,30.0,0.882,0.2353411218862547,0.014399999999999968
21881,dentioned,9,1,28086.0,3510.75,3853.0,,601.081,-0.8,23.0,0.852,0.32789598153784694,0.015600000000000058
27210,cresenter,9,1,29249.0,3656.125,3536.0,871.929,373.889,-0.357,28.0,0.848,0.31321003644640205,0.019600000000000062
18786,intimared,9,1,29263.0,3657.875,3445.0,999.333,402.905,-0.553,27.0,0.9,0.3305894293769064,0.032399999999999984
16787,mollering,9,1,27145.0,3393.125,5095.0,795.483,288.441,-0.116,29.0,0.906,0.19328028177958118,0.03839999999999999
7671,sornering,9,1,26134.0,3266.75,4577.0,890.1,351.877,-0.365,30.0,0.909,0.31389400840254467,0.04139999999999999
18592,intanding,9,1,29741.0,3717.625,4116.0,921.533,373.027,-0.474,30.0,0.909,0.17912930583091952,0.04139999999999999
29923,retersion,9,1,26734.0,3341.75,4958.0,943.935,337.166,-0.328,31.0,0.912,0.19666328584050607,0.044399999999999995
26370,clasterer,9,1,28876.0,3609.5,3616.0,913.077,286.183,-0.358,26.0,0.812,0.3222836086834762,0.05559999999999998
19799,pacerated,9,1,26527.0,3315.875,4657.0,901.889,296.295,-0.458,27.0,0.931,0.27125105182936976,0.06340000000000001
27209,presinted,9,1,30866.0,3858.25,4694.0,,427.628,-0.652,30.0,0.938,0.13869229932676985,0.07039999999999991
124,arstinent,9,1,28780.0,3597.5,3793.0,888.7,286.066,-0.481,30.0,0.938,0.29312269262160046,0.07039999999999991
22221,dinisters,9,1,28640.0,3580.0,3591.0,864.067,324.125,-0.205,30.0,0.938,0.34325139240986496,0.07039999999999991
24973,laintings,9,1,28715.0,3589.375,3676.0,934.367,500.934,-0.331,30.0,0.938,0.3210713755946799,0.07039999999999991
35437,dangerine,9,1,27353.0,3419.125,4230.0,943.387,270.802,-0.564,31.0,0.939,0.3014682985968178,0.07139999999999991
