,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
31184,phratchy,8,0,10098.0,1442.571,1122.0,741.966,278.943,0.126,29.0,0.906,0.13639677158073696,0.000980000000000092
23750,notaruse,8,0,10709.0,1529.857,1405.0,817.414,255.003,0.08,29.0,0.906,0.21733365895711812,0.000980000000000092
33488,dritfire,8,0,11670.0,1667.143,1432.0,899.31,466.454,-0.346,29.0,0.906,0.4229276733934239,0.000980000000000092
9603,meciancy,8,0,10206.0,1458.0,1646.0,850.433,315.43,-0.261,30.0,0.906,0.4379842139936294,0.000980000000000092
2276,aibitory,8,0,8860.0,1265.714,1039.0,,469.621,-0.605,28.0,0.903,0.44170202887774596,0.0020199999999999108
34394,phropped,8,0,10350.0,1478.571,1514.0,710.633,214.639,0.194,30.0,0.909,0.29983346703083574,0.003980000000000095
1680,annroval,8,0,10151.0,1450.143,1177.0,763.633,150.05,-0.131,30.0,0.909,0.08016603072102843,0.003980000000000095
24401,ollanize,8,0,11035.0,1576.429,1125.0,675.3,172.958,0.163,30.0,0.909,0.15691061363629405,0.003980000000000095
1024,abbusion,8,0,11979.0,1711.286,1267.0,821.903,241.611,-0.256,31.0,0.912,0.34332851693674493,0.006980000000000097
2198,abbacked,8,0,9747.0,1392.429,1242.0,803.938,282.286,-0.05,32.0,0.912,0.1864365626190755,0.006980000000000097
24392,obbanism,8,0,9597.0,1371.0,1146.0,767.774,287.385,0.042,31.0,0.912,0.21163621959994572,0.006980000000000097
1683,addroves,8,0,10727.0,1532.429,1530.0,853.452,316.641,-0.117,31.0,0.886,0.32562633232606636,0.019019999999999926
30423,Rousseoa,8,0,9550.0,1364.286,1387.0,822.857,335.756,-0.071,28.0,0.933,0.3455831806721731,0.027980000000000116
33660,gluadron,8,0,9650.0,1378.571,1137.0,813.633,340.507,0.049,30.0,0.938,0.2090973751492638,0.03298000000000001
246,abbounts,8,0,9500.0,1357.143,967.0,816.161,259.508,-0.03,31.0,0.939,0.3802693977477332,0.03398000000000001
33803,flalwart,8,0,10214.0,1459.143,1480.0,778.065,208.956,-0.037,31.0,0.939,0.29719955343057597,0.03398000000000001
27809,Scussian,8,0,10874.0,1553.429,1541.0,877.645,282.625,-0.219,31.0,0.939,0.3628384843507926,0.03398000000000001
18363,issuendo,8,0,11774.0,1682.0,1131.0,838.548,281.763,-0.332,31.0,0.939,0.29255810311852615,0.03398000000000001
15140,thossary,8,0,9268.0,1324.0,1365.0,796.091,235.731,-0.066,33.0,0.943,0.38081054851267726,0.037980000000000014
966,arregory,8,0,12268.0,1752.571,1317.0,880.615,361.153,-0.339,26.0,0.867,0.44029042247139083,0.03801999999999994
2033,annemble,8,0,12161.0,1737.286,1252.0,954.32,305.991,-0.683,25.0,0.862,0.3653914571630361,0.04301999999999995
27033,sleclude,8,0,9266.0,1323.714,976.0,818.4,324.199,-0.041,30.0,0.857,0.41726526843054573,0.04801999999999995
1140,asrushed,8,0,11153.0,1593.286,1580.0,887.3,387.127,-0.284,30.0,0.857,0.4486689188873576,0.04801999999999995
36141,schottle,8,0,9001.0,1285.857,1001.0,821.1,261.283,-0.2,30.0,0.968,0.44673933266639676,0.06298000000000004
31158,chrabble,8,0,10654.0,1522.0,1468.0,784.129,257.452,0.059,31.0,0.969,0.2597158652464783,0.06398000000000004
25927,phefisee,8,0,9208.0,1315.429,1259.0,797.125,441.901,0.16,32.0,0.97,0.30330619239340223,0.06498000000000004
1825,Arkansig,8,0,11204.0,1600.571,1116.0,873.312,433.967,-0.163,32.0,0.97,0.1966324210381429,0.06498000000000004
2193,addaches,8,0,11010.0,1572.857,1467.0,904.844,416.217,-0.268,32.0,0.97,0.3266475519225283,0.06498000000000004
24041,orrupied,8,0,10960.0,1565.714,1483.0,841.125,311.661,-0.184,32.0,0.97,0.3305519064991732,0.06498000000000004
31209,phribble,8,0,8841.0,1263.0,1130.0,730.576,200.034,0.19,33.0,0.971,0.368976596630133,0.06598000000000004
39869,wimardro,8,0,9166.0,1309.429,1006.0,788.939,212.816,0.007,33.0,0.971,0.4111337439344366,0.06598000000000004
2199,appacker,8,0,11943.0,1706.143,1212.0,808.061,241.25,0.031,33.0,0.971,0.2903343032695892,0.06598000000000004
24122,oppicial,8,0,9540.0,1362.857,1393.0,948.0,459.418,-0.417,26.0,0.839,0.3525206906009729,0.06601999999999997
36086,clousand,8,0,11172.0,1596.0,1504.0,695.286,143.707,0.184,28.0,0.824,0.38852736870024634,0.08101999999999998
34341,splictly,8,0,9749.0,1392.714,1508.0,952.423,288.478,-0.547,26.0,0.812,0.40921047943176025,0.09301999999999988
36959,slibunal,8,0,10437.0,1491.0,1194.0,708.758,262.579,0.163,33.0,1.0,0.014815088334712552,0.09498000000000006
10620,loormail,8,0,9763.0,1394.714,1429.0,763.242,211.366,0.034,33.0,1.0,0.3402702270705445,0.09498000000000006
36134,schobbed,8,0,9465.0,1352.143,1390.0,866.697,366.539,-0.2,33.0,1.0,0.3642812604785981,0.09498000000000006
33715,gluirrel,8,0,9116.0,1302.286,1114.0,672.029,155.58,0.378,34.0,1.0,0.33004824605338173,0.09498000000000006
273,abbustom,8,0,9315.0,1330.714,1097.0,737.645,201.723,0.178,31.0,1.0,0.3064272958601576,0.09498000000000006
24305,offosite,8,0,10308.0,1472.571,1480.0,847.529,449.007,-0.14,34.0,1.0,0.2793054215547535,0.09498000000000006
1896,addogant,8,0,9466.0,1352.286,1107.0,808.25,235.687,-0.047,32.0,1.0,0.269292219950604,0.09498000000000006
17527,iffortal,8,0,10209.0,1458.429,1391.0,692.171,187.629,0.33,35.0,1.0,0.22348683194845606,0.09498000000000006
14791,Gaussiop,8,0,9078.0,1296.857,1305.0,801.182,264.42,0.012,33.0,1.0,0.36664487498429904,0.09498000000000006
36006,snickens,8,0,11489.0,1641.286,1404.0,,383.471,-0.82,25.0,0.806,0.36498140026590997,0.09901999999999989
1639,aggraise,8,0,10590.0,1512.857,1154.0,901.962,307.247,-0.476,26.0,0.788,0.04786801008938843,0.1170199999999999
33640,plurious,8,0,11237.0,1605.286,1433.0,904.273,277.075,-0.456,22.0,0.71,0.3413377157498846,0.19501999999999997
1142,Ameleo's,8,0,9129.0,1304.143,1079.0,782.435,298.999,-0.222,23.0,0.697,0.3569359596908602,0.20801999999999998
17444,immusion,8,0,11919.0,1702.714,1408.0,960.15,439.623,-0.674,20.0,0.625,0.45019459824630415,0.28001999999999994
394,appendum,8,0,9609.0,1372.714,1466.0,969.941,461.452,-0.688,17.0,0.531,0.40062701142142704,0.3740199999999999
