,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
19209,Hava,4,4,1995.0,665.0,603.0,856.071,345.753,-0.088,28.0,0.903,0.49634161800362775,0.006080000000000085
13866,goil,4,6,2143.0,714.333,522.0,698.655,211.473,0.264,29.0,0.906,0.48217333394438244,0.009080000000000088
23841,culd,4,4,2021.0,673.667,500.0,738.433,205.689,0.282,30.0,0.909,0.3111986995665743,0.01208000000000009
4443,birn,4,5,1898.0,632.667,580.0,784.8,274.81,0.093,30.0,0.909,0.2377217372524084,0.01208000000000009
13366,bilm,4,5,2153.0,717.667,563.0,742.467,217.71,0.333,30.0,0.882,0.37688027908464056,0.014919999999999933
37208,Gurk,4,5,2001.0,667.0,712.0,688.233,137.606,0.252,30.0,0.882,0.5268433577620681,0.014919999999999933
15182,woad,4,6,1809.0,603.0,587.0,762.935,236.641,-0.01,31.0,0.912,0.5437907350433864,0.015080000000000093
17192,hurp,4,5,1912.0,637.333,701.0,817.548,442.194,0.048,31.0,0.912,0.4722679098036006,0.015080000000000093
3506,glur,4,5,2371.0,790.333,521.0,714.452,242.108,0.15,31.0,0.912,0.5150859231623394,0.015080000000000093
15001,gilm,4,4,2115.0,705.0,462.0,703.839,187.596,0.29,31.0,0.912,0.4286314639739976,0.015080000000000093
19677,Pirk,4,6,1900.0,633.333,622.0,755.469,266.437,0.162,32.0,0.914,0.5220415596322534,0.017080000000000095
17110,rulk,4,5,1805.0,601.667,431.0,833.0,317.738,0.124,29.0,0.879,0.25330178340328136,0.017919999999999936
19844,jair,4,5,1850.0,616.667,522.0,805.276,246.393,-0.271,29.0,0.879,0.16783940979336667,0.017919999999999936
31265,spum,4,7,1855.0,618.333,508.0,753.862,272.893,0.018,29.0,0.879,0.5338019528907503,0.017919999999999936
40396,bobe,4,6,1981.0,660.333,594.0,707.964,197.181,0.169,28.0,0.875,0.4633970834172196,0.02191999999999994
20638,hoaf,4,4,1846.0,615.333,594.0,695.7,155.572,0.269,30.0,0.938,0.5200698740681303,0.041080000000000005
4501,musy,4,6,2051.0,683.667,481.0,855.567,325.142,-0.187,30.0,0.938,0.32359208838236153,0.041080000000000005
39840,wigh,4,5,1761.0,587.0,639.0,733.1,233.757,0.133,30.0,0.938,0.5002853824316588,0.041080000000000005
2936,byll,4,5,1783.0,594.333,607.0,732.323,244.485,0.175,31.0,0.939,0.41177370760814036,0.042080000000000006
19423,Juve,4,4,2110.0,703.333,482.0,837.516,249.087,-0.054,31.0,0.939,0.3823267918721489,0.042080000000000006
20937,lult,4,4,1987.0,662.333,493.0,750.968,254.793,0.18,31.0,0.939,0.26176095483224193,0.042080000000000006
31248,scug,4,5,1851.0,617.0,486.0,805.0,252.605,-0.105,32.0,0.941,0.09273560769130984,0.04408000000000001
19634,giln,4,4,2059.0,686.333,425.0,685.969,234.943,0.349,32.0,0.941,0.4470603234731859,0.04408000000000001
14999,gilp,4,4,2093.0,697.667,460.0,779.455,210.529,0.099,33.0,0.943,0.4100784929391546,0.04608000000000001
15672,drub,4,5,1437.0,479.0,479.0,764.31,246.039,0.113,29.0,0.848,0.5337226656160623,0.048919999999999964
19643,kilp,4,5,1941.0,647.0,486.0,798.679,309.241,0.1,28.0,0.848,0.0,0.048919999999999964
26467,plud,4,4,1715.0,571.667,515.0,762.37,178.684,0.029,27.0,0.844,0.49249956678400447,0.05291999999999997
12884,feil,4,5,2313.0,771.0,560.0,744.367,216.643,0.229,30.0,0.833,0.535570239644531,0.06391999999999998
3569,tody,4,5,2051.0,683.667,444.0,762.133,209.092,-0.103,30.0,0.968,0.19976361097751968,0.07108000000000003
32730,blug,4,4,2078.0,692.667,566.0,711.643,152.736,0.319,28.0,0.824,0.5057334408118324,0.07291999999999998
5814,thum,4,5,2243.0,747.667,514.0,681.857,164.484,0.093,28.0,0.824,0.36879304896285947,0.07291999999999998
37244,nusk,4,5,1965.0,655.0,400.0,764.714,210.529,0.057,28.0,0.824,0.20168386379099867,0.07291999999999998
4470,biry,4,4,2059.0,686.333,461.0,715.562,162.068,0.24,32.0,0.97,0.37298640181458853,0.07308000000000003
36443,tofe,4,5,2137.0,712.333,455.0,722.406,297.328,0.273,32.0,0.97,0.2657429074250896,0.07308000000000003
38456,vaip,4,3,1922.0,640.667,530.0,669.0,187.619,0.31,32.0,0.97,0.5100318111168077,0.07308000000000003
22891,muct,4,5,1939.0,646.333,464.0,753.03,247.582,0.065,33.0,0.971,0.0473287030487271,0.07408000000000003
37090,thue,4,5,2016.0,672.0,469.0,665.788,150.223,0.402,33.0,0.971,0.1122590249704292,0.07408000000000003
26551,foem,4,4,1747.0,582.333,500.0,721.314,270.438,0.432,35.0,0.972,0.4286638026422334,0.07508000000000004
15325,hown,4,6,2045.0,681.667,589.0,700.037,189.247,0.213,27.0,0.818,0.519055390162456,0.07891999999999999
13640,snay,4,6,2017.0,672.333,381.0,886.63,401.02,-0.127,27.0,0.818,0.49431849968886044,0.07891999999999999
21658,mazi,4,5,1894.0,631.333,723.0,745.042,229.892,0.027,24.0,0.8,0.5360824279110055,0.0969199999999999
16389,me'd,4,5,1925.0,641.667,334.0,838.222,252.469,-0.18,27.0,0.794,0.32924237317275573,0.1029199999999999
26908,wots,4,5,2249.0,749.667,477.0,767.029,300.136,0.202,34.0,1.0,0.33588085304468707,0.10308000000000006
22252,tilx,4,3,,,522.0,693.0,218.087,0.277,31.0,1.0,0.473993937655398,0.10308000000000006
20776,loik,4,4,1909.0,636.333,386.0,621.727,190.798,0.509,33.0,1.0,0.4386940772045251,0.10308000000000006
30653,daid,4,5,2299.0,766.333,569.0,733.697,228.179,0.301,33.0,1.0,0.5396626658874214,0.10308000000000006
792,aife,4,5,1993.0,664.333,310.0,709.939,200.774,0.121,33.0,1.0,0.4157192306883446,0.10308000000000006
25915,pewt,4,6,1985.0,661.667,555.0,724.846,294.297,0.144,26.0,0.788,0.38727294791290745,0.1089199999999999
6288,loax,4,6,1983.0,661.0,465.0,856.4,286.253,-0.139,25.0,0.694,0.2864464125551934,0.20292
26880,dosy,4,5,1660.0,553.333,493.0,794.684,278.998,-0.094,19.0,0.576,0.303944952867372,0.32092
