,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
33383,phectra,7,0,9540.0,1590.0,1332.0,718.379,210.4,0.254,29.0,0.935,0.3377696319188365,0.00660000000000005
39611,sloever,7,0,10588.0,1764.667,1672.0,808.0,235.488,0.033,30.0,0.938,0.36978731100006973,0.009599999999999942
33346,checial,7,0,9738.0,1623.0,1639.0,827.774,335.17,-0.284,31.0,0.939,0.19974560697448823,0.010599999999999943
33478,phirits,7,0,8504.0,1417.333,1471.0,741.903,249.881,0.181,31.0,0.939,0.22984958596753516,0.010599999999999943
37083,tructar,7,0,8777.0,1462.833,1477.0,774.484,257.747,-0.022,31.0,0.939,0.16538533526767413,0.010599999999999943
975,abbergy,7,0,8642.0,1440.333,1686.0,790.156,406.177,0.108,32.0,0.941,0.07265382027615952,0.012599999999999945
33829,plandby,7,0,8165.0,1360.833,1552.0,931.5,371.691,-0.305,32.0,0.941,0.2574057240401135,0.012599999999999945
25658,peptibo,7,0,8635.0,1439.167,1551.0,816.812,298.504,-0.074,32.0,0.941,0.1531467041998772,0.012599999999999945
27388,scivies,7,0,9245.0,1540.833,1491.0,776.469,245.813,0.02,32.0,0.914,0.17759605700468298,0.014399999999999968
34380,sploked,7,0,8687.0,1447.833,1600.0,680.188,147.415,0.255,32.0,0.914,0.11246639714153767,0.014399999999999968
33664,clualid,7,0,8255.0,1375.833,1456.0,698.818,165.097,0.191,33.0,0.943,0.29430093280347813,0.014599999999999946
37275,bligged,7,0,10681.0,1780.167,1677.0,883.939,512.863,-0.176,33.0,0.943,0.3875672732769305,0.014599999999999946
34181,clooped,7,0,9873.0,1645.5,1905.0,815.097,367.152,-0.018,31.0,0.912,0.33312671743542144,0.01639999999999997
1621,ammlied,7,0,9850.0,1641.667,1706.0,930.968,347.731,-0.34,31.0,0.912,0.2098950628792201,0.01639999999999997
1893,abbives,7,0,9060.0,1510.0,1174.0,781.323,237.053,0.118,31.0,0.912,0.32445518256710504,0.01639999999999997
2096,appumes,7,0,8635.0,1439.167,1383.0,663.452,137.903,0.263,31.0,0.912,0.2528499091237912,0.01639999999999997
33848,plarchy,7,0,7959.0,1326.5,1565.0,797.667,198.456,0.008,30.0,0.909,0.29564680028508217,0.019399999999999973
36023,slimble,7,0,9090.0,1515.0,1224.0,877.517,390.929,-0.226,29.0,0.906,0.30147429340413556,0.022399999999999975
1892,addived,7,0,10393.0,1732.167,1582.0,,422.354,-0.727,28.0,0.903,0.3796972979574677,0.025399999999999978
31146,trourge,7,0,8377.0,1396.167,1877.0,735.387,260.926,0.134,31.0,0.969,0.24512512884399484,0.04059999999999997
34305,chreams,7,0,9266.0,1544.333,1512.0,812.688,349.414,-0.014,32.0,0.97,0.16981803500093054,0.04159999999999997
34292,chrayed,7,0,9967.0,1661.167,1858.0,697.219,204.093,0.268,32.0,0.97,0.32620419102815207,0.04159999999999997
32795,thirked,7,0,8871.0,1478.5,1832.0,801.424,307.592,0.137,33.0,0.97,0.10821294422385597,0.04159999999999997
33599,schayed,7,0,8629.0,1438.167,1351.0,729.938,157.987,0.025,32.0,0.97,0.2731795325221758,0.04159999999999997
35894,blat'll,7,0,9120.0,1520.0,1275.0,819.656,395.604,-0.075,32.0,0.97,0.2778999327832857,0.04159999999999997
34368,phripes,7,0,10354.0,1725.667,1665.0,689.879,174.964,0.316,33.0,0.97,0.3217386781030228,0.04159999999999997
5099,castopp,7,0,9443.0,1573.833,2163.0,812.188,262.179,0.053,32.0,0.97,0.390313663667675,0.04159999999999997
24092,ommbeat,7,0,8883.0,1480.5,1118.0,727.031,195.63,0.199,32.0,0.97,0.3547938830412199,0.04159999999999997
34489,grymied,7,0,8634.0,1439.0,1703.0,751.182,210.723,-0.028,33.0,0.971,0.08452732763259443,0.04259999999999997
34433,brudied,7,0,9211.0,1535.167,1955.0,950.571,311.219,-0.661,28.0,0.875,0.21511529242003005,0.0534
26643,Tollack,7,0,8706.0,1451.0,1798.0,825.036,215.731,-0.06,28.0,0.875,0.12484467517671012,0.0534
34367,schiped,7,0,10154.0,1692.333,1582.0,834.125,327.33,-0.182,32.0,1.0,0.3263784713884557,0.0716
34018,theppes,7,0,10404.0,1734.0,1784.0,828.281,344.618,-0.001,32.0,1.0,0.3797771730715186,0.0716
15648,smouped,7,0,9718.0,1619.667,1375.0,814.257,402.729,0.1,35.0,1.0,0.35196050579003607,0.0716
37596,uchergo,7,0,10537.0,1756.167,1587.0,738.0,250.34,0.069,31.0,1.0,0.4088548225771178,0.0716
269,aggused,7,0,9384.0,1564.0,1368.0,877.71,324.551,-0.239,31.0,1.0,0.28160270403366733,0.0716
34066,pliffen,7,0,8818.0,1469.667,1082.0,699.735,236.842,0.249,34.0,1.0,0.39065944718638307,0.0716
17433,ibbness,7,0,8928.0,1488.0,1296.0,686.5,175.154,0.271,32.0,1.0,0.23911693794192268,0.0716
15392,slandma,7,0,9456.0,1576.0,1709.0,832.794,406.826,-0.109,34.0,1.0,0.12377800782922443,0.0716
31127,Chorpio,7,0,9062.0,1510.333,1546.0,756.333,216.006,0.012,33.0,1.0,0.10412975606183808,0.0716
34434,pludies,7,0,9334.0,1555.667,1691.0,806.114,263.338,-0.183,35.0,1.0,0.08587883083690931,0.0716
30786,sanjput,7,0,,,1167.0,733.091,240.977,0.228,33.0,1.0,0.30741821518206813,0.0716
34354,splikes,7,0,9831.0,1638.5,1653.0,835.897,208.099,-0.437,29.0,0.853,0.21218432613042504,0.07540000000000002
14313,speezes,7,0,8395.0,1399.167,1544.0,769.552,212.925,-0.001,29.0,0.853,0.21084247425346084,0.07540000000000002
657,acclict,7,0,8446.0,1407.667,1565.0,915.0,341.592,-0.649,29.0,0.853,0.18700201129518218,0.07540000000000002
34100,trimuli,7,0,9572.0,1595.333,1782.0,772.741,255.236,-0.057,27.0,0.844,0.19297957825875325,0.08440000000000003
32773,plartly,7,0,8728.0,1454.667,1668.0,938.519,372.182,-0.48,27.0,0.818,0.06296322406160271,0.11040000000000005
8854,pecible,7,0,8941.0,1490.167,1669.0,923.654,381.633,-0.414,26.0,0.812,0.01485169811324902,0.11639999999999995
34429,fludded,7,0,8703.0,1450.5,1652.0,913.917,321.641,-0.248,24.0,0.75,0.07803622691938014,0.1784
32838,drodged,7,0,8908.0,1484.667,2130.0,909.0,329.884,-0.197,19.0,0.594,0.2768129056481158,0.33440000000000003
