,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
9652,piabetes,8,1,14043.0,2006.143,1929.0,842.581,258.082,-0.136,31.0,0.912,0.008745134372236688,0.01097999999999999
9859,dioramac,8,1,14338.0,2048.286,1868.0,804.419,230.144,-0.083,31.0,0.912,0.0657383841570702,0.01097999999999999
37007,grinkets,8,1,14061.0,2008.714,1957.0,731.581,263.72,0.226,31.0,0.912,0.019663833938144137,0.01097999999999999
38410,urilizes,8,1,13995.0,1999.286,1979.0,819.774,179.926,-0.082,31.0,0.912,0.040423540344574474,0.01097999999999999
35992,chespian,8,1,14008.0,2001.143,1847.0,797.767,328.936,-0.127,30.0,0.909,0.05619634275905368,0.013979999999999992
35605,leaspoon,8,1,14119.0,2017.0,1885.0,849.067,290.925,-0.077,30.0,0.938,0.025868349721932197,0.015019999999999922
12350,efolving,8,1,14023.0,2003.286,2030.0,746.806,332.3,0.144,31.0,0.939,0.06287705010430406,0.016019999999999923
21306,fanicure,8,1,14274.0,2039.143,1927.0,872.806,332.055,-0.174,31.0,0.939,0.026091016287400362,0.016019999999999923
20519,pinoleum,8,1,14008.0,2001.143,1932.0,732.036,230.771,0.044,28.0,0.903,0.01422745258749418,0.019979999999999998
10529,bogmatic,8,1,14260.0,2037.143,2005.0,855.333,319.499,-0.123,33.0,0.943,0.06141102293241968,0.020019999999999927
11070,tynastic,8,1,14310.0,2044.286,1868.0,772.839,187.33,-0.114,31.0,0.886,0.06176703714211418,0.03698000000000001
25983,chonemic,8,1,14267.0,2038.143,1922.0,954.6,404.589,-0.472,30.0,0.882,0.02768885176647367,0.040980000000000016
30339,roostars,8,1,13790.0,1970.0,1936.0,,328.758,-0.797,30.0,0.882,0.0472198344784867,0.040980000000000016
38534,vaselone,8,1,14044.0,2006.286,1834.0,873.207,371.759,-0.308,29.0,0.879,0.057826002056837196,0.04398000000000002
17654,impormer,8,1,14094.0,2013.429,1986.0,791.267,218.913,-0.258,30.0,0.968,0.03000886217933215,0.04501999999999995
35457,Tantaluy,8,1,13913.0,1987.571,1997.0,790.5,299.666,-0.091,32.0,0.969,0.061380688367995255,0.04601999999999995
483,admirerk,8,1,14288.0,2041.143,1945.0,790.548,176.178,-0.181,31.0,0.969,0.03429430315362793,0.04601999999999995
18913,igvestor,8,1,,,1798.0,929.581,361.379,-0.486,31.0,0.969,0.0683937469462451,0.04601999999999995
27958,dunishes,8,1,14025.0,2003.571,1952.0,864.419,298.61,-0.174,31.0,0.969,0.02217925021286033,0.04601999999999995
1333,amgriest,8,1,,,1844.0,829.219,271.962,-0.096,32.0,0.97,0.04455956240437181,0.04701999999999995
15138,gloryind,8,1,14094.0,2013.429,1981.0,998.906,318.147,-0.591,32.0,0.97,0.027418189946519837,0.04701999999999995
11945,emtreaty,8,1,13944.0,1992.0,1846.0,859.576,223.265,-0.25,33.0,0.97,0.06579191272810066,0.04701999999999995
39624,shomever,8,1,13990.0,1998.571,1878.0,,343.037,-0.556,32.0,0.97,0.042687467378429246,0.04701999999999995
22463,toccasin,8,1,14087.0,2012.429,1877.0,773.125,223.621,-0.034,32.0,0.97,0.029447295593383768,0.04701999999999995
39449,hestward,8,1,14172.0,2024.571,2024.0,770.964,337.007,0.118,28.0,0.875,0.0587739174169045,0.04798000000000002
39378,teeklies,8,1,13956.0,1993.714,1905.0,758.515,241.255,0.071,33.0,0.971,0.0335201163511043,0.04801999999999995
10458,pivision,8,1,14032.0,2004.571,1859.0,799.727,249.882,-0.075,33.0,0.971,0.04657500134068201,0.04801999999999995
544,abultery,8,1,14121.0,2017.286,1948.0,834.727,344.171,-0.325,33.0,0.971,0.01216252914241265,0.04801999999999995
13643,cleabite,8,1,14004.0,2000.571,2003.0,829.364,327.917,-0.26,33.0,0.971,0.05158261724876296,0.04801999999999995
18430,ingights,8,1,14042.0,2006.0,1844.0,872.294,254.832,-0.266,34.0,0.971,0.052928467068879506,0.04801999999999995
14281,freedyan,8,1,14022.0,2003.143,1985.0,876.303,317.392,-0.167,33.0,0.971,0.0397029047478267,0.04801999999999995
35892,phatches,8,1,13872.0,1981.714,1927.0,817.143,260.759,-0.161,28.0,0.848,0.03403519957159819,0.07498000000000005
11355,ecbowing,8,1,14035.0,2005.0,1934.0,728.147,161.654,0.223,34.0,1.0,0.011434279204496559,0.07701999999999998
458,amjusted,8,1,,,2045.0,773.879,210.399,-0.009,33.0,1.0,0.05958546135468323,0.07701999999999998
11860,egriched,8,1,14099.0,2014.143,1969.0,749.121,226.937,0.115,33.0,1.0,0.02049154931169823,0.07701999999999998
2907,behoones,8,1,14481.0,2068.714,1954.0,904.562,364.803,-0.214,32.0,1.0,0.06633122806088182,0.07701999999999998
11829,ecjoying,8,1,,,1880.0,802.303,259.763,-0.11,33.0,1.0,0.025906722328123147,0.07701999999999998
28555,Rawlongs,8,1,13688.0,1955.429,1944.0,862.788,308.471,-0.394,33.0,1.0,0.06583174714057105,0.07701999999999998
38318,uproeted,8,1,14270.0,2038.571,1958.0,880.094,370.578,-0.25,32.0,1.0,0.03847675849612803,0.07701999999999998
16941,porizons,8,1,13800.0,1971.429,1957.0,908.229,415.417,-0.149,35.0,1.0,0.05668210688605898,0.07701999999999998
2433,dalloons,8,1,14072.0,2010.286,2016.0,740.455,271.644,0.141,33.0,1.0,0.04867331057625654,0.07701999999999998
10052,riscreet,8,1,14072.0,2010.286,1809.0,765.312,256.978,0.115,32.0,1.0,0.06680801620594275,0.07701999999999998
17232,fyacinth,8,1,13914.0,1987.714,1960.0,674.697,152.014,0.234,33.0,1.0,0.04206780910635065,0.07701999999999998
39787,winnungs,8,1,14048.0,2006.857,1894.0,805.088,443.345,0.002,34.0,1.0,0.026170812725850836,0.07701999999999998
27023,trecious,8,1,14169.0,2024.143,2018.0,946.0,472.205,-0.634,27.0,0.818,0.05523989293912462,0.10498000000000007
19909,tanguish,8,1,14146.0,2020.857,1824.0,873.593,358.211,-0.113,27.0,0.794,0.06130399323836498,0.12897999999999998
12147,enchewed,8,1,13758.0,1965.429,1942.0,848.192,296.86,-0.251,26.0,0.788,0.054867110710056066,0.13498
5120,catolyst,8,1,13991.0,1998.714,2007.0,851.52,319.169,-0.286,25.0,0.781,0.05549892380365734,0.14198
9855,dinoseur,8,1,13950.0,1992.857,1964.0,848.304,232.13,-0.218,23.0,0.719,0.039034258385072,0.20398000000000005
36348,firesome,8,1,14380.0,2054.286,1942.0,933.25,280.604,-0.575,8.0,0.258,0.04578868235138109,0.66498
