,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
31244,chrutinized,11,0,22148.0,2214.8,2935.0,824.25,273.142,-0.289,32.0,0.914,0.20439208279074073,0.0021599999999999397
30965,Blandinavia,11,0,20913.0,2091.3,2911.0,862.484,222.408,-0.31,31.0,0.912,0.29708114525247087,0.0041599999999999415
732,attravation,11,0,26573.0,2657.3,3115.0,,438.994,-0.656,30.0,0.909,0.25089299934316944,0.007159999999999944
33728,prabilizing,11,0,21791.0,2179.1,3123.0,840.8,273.114,-0.281,30.0,0.909,0.2986380525902347,0.007159999999999944
977,appeviating,11,0,25181.0,2518.1,3005.0,962.815,342.768,-0.715,27.0,0.931,0.0989983137655715,0.014840000000000075
33876,blartlingly,11,0,23129.0,2312.9,3486.0,945.481,303.613,-0.422,27.0,0.9,0.3148270431006821,0.016159999999999952
1634,annortioned,11,0,27056.0,2705.6,2906.0,920.857,291.642,-0.669,28.0,0.933,0.21807257064740193,0.016840000000000077
170,aggelerator,11,0,24957.0,2495.7,3084.0,,478.365,-0.787,29.0,0.935,0.10801608455847102,0.01884000000000008
19056,iffitations,11,0,23703.0,2370.3,3184.0,919.414,378.623,-0.321,29.0,0.935,0.1633892934030884,0.01884000000000008
18977,irolescence,11,0,21525.0,2152.5,2943.0,923.097,294.162,-0.327,31.0,0.939,0.2581067957330623,0.02283999999999997
13544,tragellated,11,0,25224.0,2522.4,3210.0,861.226,295.782,-0.135,31.0,0.939,0.17344892016520452,0.02283999999999997
39618,drolesalers,11,0,26589.0,2658.9,3238.0,844.871,345.954,-0.288,31.0,0.939,0.29476195681290107,0.02283999999999997
34030,crereotypes,11,0,24157.0,2415.7,2589.0,918.548,427.742,-0.268,31.0,0.939,0.12868506115881603,0.02283999999999997
36821,stansparent,11,0,27049.0,2704.9,2613.0,877.303,368.17,-0.347,33.0,0.941,0.30781152496144515,0.024839999999999973
38160,unsmilintlo,11,0,21590.0,2159.0,3115.0,831.375,253.393,-0.136,32.0,0.941,0.31230689566011816,0.024839999999999973
1662,addrentices,11,0,26219.0,2621.9,3057.0,965.515,278.74,-0.567,33.0,0.943,0.20187504142129786,0.026839999999999975
266,abbusations,11,0,21831.0,2183.1,2805.0,908.69,322.095,-0.452,29.0,0.879,0.24415595123760356,0.03715999999999997
25777,serpetauted,11,0,23645.0,2364.5,2750.0,,431.772,-0.871,28.0,0.875,0.11484513190184595,0.041159999999999974
734,addregation,11,0,23315.0,2331.5,3140.0,907.962,286.34,-0.367,26.0,0.867,0.1798935353374999,0.04915999999999998
