,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
37112,plusted,7,0,15271.0,2545.167,2419.0,764.967,212.988,-0.105,30.0,0.909,0.5641539350367587,0.00031999999999998696
12115,ellatic,7,0,16620.0,2770.0,1648.0,955.4,319.044,-0.467,30.0,0.909,0.6562127589603612,0.00031999999999998696
33442,pridery,7,0,14461.0,2410.167,3344.0,794.167,267.896,-0.133,30.0,0.909,0.45144967346580767,0.00031999999999998696
35196,prollen,7,0,13634.0,2272.333,3144.0,815.419,358.864,-0.202,31.0,0.912,0.5181520999934279,0.0026800000000000157
32814,droking,7,0,14008.0,2334.667,3062.0,688.129,138.719,0.194,31.0,0.912,0.5025656129952272,0.0026800000000000157
34363,chrings,7,0,15728.0,2621.333,1910.0,799.5,295.702,-0.05,28.0,0.903,0.6726602336597334,0.006319999999999992
29646,resingy,7,0,21678.0,3613.0,3041.0,767.148,348.659,-0.021,27.0,0.9,0.43756361557983126,0.009319999999999995
13324,nithter,7,0,15911.0,2651.833,2246.0,754.893,157.11,0.017,28.0,0.933,0.5476787663671753,0.023680000000000034
33461,flindle,7,0,15606.0,2601.0,1715.0,851.345,301.795,-0.127,29.0,0.935,0.7469327426598684,0.025680000000000036
35143,crelled,7,0,16590.0,2765.0,3008.0,665.8,141.246,0.385,30.0,0.882,0.23517842715112575,0.02732000000000001
39182,tarsing,7,0,18823.0,3137.167,3592.0,781.8,275.005,-0.02,30.0,0.938,0.19285368811870054,0.028679999999999928
36037,brinner,7,0,19147.0,3191.167,2644.0,790.867,258.987,-0.165,30.0,0.938,0.2828109429165418,0.028679999999999928
32764,draller,7,0,17765.0,2960.833,3136.0,801.129,424.887,0.032,31.0,0.939,0.06589267239877644,0.02967999999999993
32545,chyline,7,0,13778.0,2296.333,2452.0,774.276,268.616,-0.005,29.0,0.879,0.7182126246291684,0.030320000000000014
26146,pocwash,7,0,,,948.0,803.345,318.225,0.023,29.0,0.879,0.7042119487638225,0.030320000000000014
35959,flerein,7,0,21798.0,3633.0,2622.0,708.938,175.522,0.179,32.0,0.941,0.5815068412038709,0.03167999999999993
37293,spisted,7,0,16854.0,2809.0,2483.0,881.636,411.605,-0.209,33.0,0.943,0.3699228467159871,0.03367999999999993
25890,punered,7,0,19716.0,3286.0,3353.0,860.606,321.871,-0.238,33.0,0.943,0.21658731110558685,0.03367999999999993
33418,prelled,7,0,17138.0,2856.333,3505.0,857.606,286.403,-0.092,33.0,0.943,0.20698997667628666,0.03367999999999993
33985,pleered,7,0,20252.0,3375.333,3288.0,816.444,252.31,-0.154,27.0,0.871,0.2553112284315042,0.03832000000000002
33325,flatial,7,0,15634.0,2605.667,2272.0,,421.415,-0.468,27.0,0.871,0.5700593931765456,0.03832000000000002
33965,treeled,7,0,16735.0,2789.167,3433.0,884.733,372.995,-0.132,30.0,0.968,0.22888857280038927,0.058679999999999954
39502,stereas,7,0,21931.0,3655.167,2200.0,843.933,242.996,-0.101,30.0,0.968,0.7278173014118825,0.058679999999999954
24106,ollered,7,0,21520.0,3586.667,2975.0,768.625,256.147,0.034,32.0,0.969,0.440763327455608,0.059679999999999955
6026,dratter,7,0,18916.0,3152.667,3033.0,772.226,254.424,-0.026,31.0,0.969,0.13600880448306713,0.059679999999999955
3332,trather,7,0,18213.0,3035.5,3223.0,753.71,242.2,0.092,31.0,0.969,0.01056998680362416,0.059679999999999955
33543,tronges,7,0,18056.0,3009.333,2496.0,843.312,318.801,-0.134,32.0,0.97,0.23354625768141404,0.060679999999999956
33921,bratues,7,0,13497.0,2249.5,2466.0,769.188,244.115,-0.075,32.0,0.97,0.744777844689444,0.060679999999999956
39511,plereon,7,0,19745.0,3290.833,1875.0,695.719,223.232,0.256,32.0,0.97,0.5885782635311962,0.060679999999999956
33459,trinach,7,0,15865.0,2644.167,1864.0,770.273,260.471,-0.071,33.0,0.971,0.6719311241115984,0.06167999999999996
24116,onnicer,7,0,16576.0,2762.667,1744.0,812.576,318.14,-0.13,33.0,0.971,0.6311031403591705,0.06167999999999996
38461,Vamerio,7,0,14707.0,2451.167,2697.0,911.727,309.486,-0.221,33.0,0.971,0.5395016668224528,0.06167999999999996
1888,allests,7,0,17157.0,2859.5,1781.0,818.676,362.568,-0.177,34.0,0.971,0.5556001960452421,0.06167999999999996
35966,drereto,7,0,18362.0,3060.333,2511.0,766.636,302.696,0.194,33.0,0.971,0.23789271044187052,0.06167999999999996
33542,blonged,7,0,16870.0,2811.667,1938.0,964.808,395.769,-0.317,26.0,0.839,0.5382081471696932,0.07032000000000005
32791,thiling,7,0,17403.0,2900.5,3237.0,807.607,261.282,-0.238,28.0,0.824,0.09419838267920605,0.08532000000000006
39504,drereby,7,0,15953.0,2658.833,2046.0,749.091,176.542,-0.094,33.0,1.0,0.6054577300168292,0.09067999999999998
35151,blerved,7,0,17361.0,2893.5,1943.0,713.5,161.647,0.114,34.0,1.0,0.4825971269304233,0.09067999999999998
19915,lonojin,7,0,13831.0,2305.167,2537.0,736.429,296.875,0.26,35.0,1.0,0.685856918848393,0.09067999999999998
35961,blereof,7,0,15742.0,2623.667,1587.0,647.686,147.493,0.467,35.0,1.0,0.7718988422558297,0.09067999999999998
30786,sanjput,7,0,,,1167.0,733.091,240.977,0.228,33.0,1.0,0.6358812368545282,0.09067999999999998
