,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
32680,krippers,8,0,13226.0,1889.429,2157.0,734.531,154.499,0.169,32.0,0.914,0.11678292239158752,0.006240000000000023
25844,poktains,8,0,12863.0,1837.571,1949.0,867.677,312.78,-0.186,31.0,0.912,0.0819142306751018,0.008240000000000025
12653,explader,8,0,13392.0,1913.143,1906.0,984.1,315.176,-0.484,30.0,0.909,0.18573174989831365,0.011240000000000028
33596,chrawled,8,0,13089.0,1869.857,2268.0,958.0,336.232,-0.357,30.0,0.909,0.14872850345992306,0.011240000000000028
33717,bluirted,8,0,12889.0,1841.286,2113.0,784.567,282.13,-0.137,30.0,0.909,0.04264656477918914,0.011240000000000028
32824,thoothed,8,0,11905.0,1700.714,2030.0,782.69,259.847,-0.039,29.0,0.933,0.15191789650390924,0.012759999999999994
34443,druffing,8,0,13202.0,1886.0,2394.0,837.552,284.588,0.035,29.0,0.906,0.22717415380295317,0.01424000000000003
27268,spetends,8,0,14234.0,2033.429,2112.0,804.552,270.047,-0.028,29.0,0.906,0.2534603940877096,0.01424000000000003
1371,ammotate,8,0,13649.0,1949.857,1886.0,915.241,281.235,-0.491,29.0,0.906,0.2357394249165069,0.01424000000000003
37051,stophies,8,0,13062.0,1866.0,2091.0,795.767,277.553,-0.016,30.0,0.935,0.05922688885043274,0.014759999999999995
33761,bragnant,8,0,12641.0,1805.857,2142.0,822.548,225.171,-0.16,31.0,0.939,0.045928343027063986,0.018759999999999888
15635,grottios,8,0,12598.0,1799.714,2502.0,805.742,263.633,0.04,31.0,0.939,0.2260939130645698,0.018759999999999888
6755,gompiles,8,0,12614.0,1802.0,2468.0,729.065,219.38,0.174,31.0,0.939,0.2072025627557233,0.018759999999999888
33491,drittoon,8,0,13017.0,1859.571,1767.0,708.645,158.627,0.256,31.0,0.939,0.19377571773005364,0.018759999999999888
37061,cloubled,8,0,13181.0,1883.0,2198.0,881.968,363.152,-0.189,31.0,0.939,0.1294628311695322,0.018759999999999888
34043,cheroids,8,0,13182.0,1883.143,1875.0,,524.663,-0.354,27.0,0.9,0.1676739382772951,0.020240000000000036
5940,draimant,8,0,13492.0,1927.429,2108.0,813.781,230.488,-0.081,32.0,0.941,0.13496764917087378,0.02075999999999989
32825,cloother,8,0,13113.0,1873.286,1788.0,801.5,184.202,-0.036,32.0,0.941,0.1987418190598546,0.02075999999999989
31953,cripment,8,0,12796.0,1828.0,1971.0,867.781,301.369,-0.398,32.0,0.941,0.06079167086232724,0.02075999999999989
37063,bloubles,8,0,13786.0,1969.429,1945.0,756.438,276.052,0.033,32.0,0.941,0.228842001339425,0.02075999999999989
37300,plitched,8,0,13692.0,1956.0,2001.0,865.581,266.827,-0.555,31.0,0.886,0.18709971017813837,0.03424000000000005
28128,pauntify,8,0,11834.0,1690.571,2000.0,827.4,335.249,-0.177,30.0,0.882,0.1775227211456949,0.03824000000000005
1386,ammoying,8,0,13388.0,1912.571,2176.0,843.833,301.643,-0.218,30.0,0.882,0.15138437421434633,0.03824000000000005
31093,prissors,8,0,13553.0,1936.143,2268.0,942.931,427.907,-0.4,29.0,0.879,0.22162166203564015,0.041240000000000054
34126,fritched,8,0,13419.0,1917.0,2383.0,834.966,279.73,-0.346,29.0,0.879,0.2559655510529935,0.041240000000000054
40072,chetched,8,0,12610.0,1801.429,2185.0,836.464,327.272,-0.288,28.0,0.875,0.07151093486101902,0.04524000000000006
5832,churtism,8,0,12226.0,1746.571,1869.0,752.433,188.37,0.037,30.0,0.968,0.17904279171967213,0.047759999999999914
34440,bludying,8,0,13226.0,1889.429,2360.0,847.438,417.109,-0.232,32.0,0.97,0.2145670756747507,0.049759999999999915
31128,glorpion,8,0,12862.0,1837.429,1595.0,792.394,257.014,-0.03,33.0,0.971,0.2522777540556314,0.050759999999999916
35092,flastika,8,0,12490.0,1784.286,2117.0,879.971,448.168,-0.215,34.0,0.971,0.05760736884983489,0.050759999999999916
15693,mauranty,8,0,13815.0,1973.571,2182.0,866.394,326.131,-0.169,33.0,0.971,0.2213549592311777,0.050759999999999916
253,addruing,8,0,13567.0,1938.143,2217.0,809.758,226.137,-0.193,33.0,0.971,0.1992545576839899,0.050759999999999916
31084,brimitar,8,0,12726.0,1818.0,2068.0,787.212,388.393,0.133,33.0,0.971,0.004636691163677895,0.050759999999999916
5554,pleerful,8,0,12803.0,1829.0,2336.0,801.848,289.009,-0.091,33.0,0.971,0.1365541269013344,0.050759999999999916
2030,affaying,8,0,12444.0,1777.714,2081.0,898.464,458.786,-0.128,28.0,0.848,0.047493112288253786,0.07224000000000008
34384,phrolled,8,0,13761.0,1965.857,2147.0,708.676,197.633,0.206,34.0,1.0,0.1960125423143106,0.07975999999999994
31246,phrutiny,8,0,14236.0,2033.714,2072.0,833.939,365.524,0.123,33.0,1.0,0.23835994455291654,0.07975999999999994
32622,bloepers,8,0,12763.0,1823.286,2076.0,795.333,279.367,0.023,33.0,1.0,0.005029617104391471,0.07975999999999994
973,addergic,8,0,13196.0,1885.143,2411.0,723.571,200.558,0.085,35.0,1.0,0.2344204711541433,0.07975999999999994
26165,pilkured,8,0,12763.0,1823.286,2020.0,720.771,267.333,0.235,35.0,1.0,0.03200455594112613,0.07975999999999994
14010,normasst,8,0,12404.0,1772.0,2075.0,744.147,237.875,0.159,34.0,1.0,0.05185005328344757,0.07975999999999994
31112,plorched,8,0,13183.0,1883.286,2151.0,797.941,222.794,0.048,34.0,1.0,0.10713750142915437,0.07975999999999994
14204,shagrant,8,0,13583.0,1940.429,2094.0,826.938,311.161,-0.092,32.0,1.0,0.14251974018270533,0.07975999999999994
15417,shanular,8,0,12213.0,1744.714,1953.0,734.031,269.009,0.06,32.0,1.0,0.140622565733291,0.07975999999999994
15350,spadient,8,0,12942.0,1848.857,1904.0,833.846,282.404,-0.158,26.0,0.839,0.11600133979857018,0.08124000000000009
33813,champede,8,0,13234.0,1890.571,2363.0,876.414,283.408,-0.438,29.0,0.829,0.21726846628002108,0.0912400000000001
34431,drudents,8,0,11858.0,1694.0,1955.0,805.037,263.71,0.022,27.0,0.818,0.19542844797397024,0.10224000000000011
37047,floopers,8,0,12913.0,1844.714,2203.0,909.393,226.69,-0.362,28.0,0.8,0.08976915852092993,0.12024000000000001
33919,fratuary,8,0,12444.0,1777.714,2000.0,882.75,295.548,-0.403,24.0,0.774,0.08169348117054237,0.14624000000000004
35187,flitched,8,0,13388.0,1912.571,2069.0,943.158,400.567,-0.75,19.0,0.559,0.10658670793191197,0.36124
