,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
25212,parke,5,3,5231.0,1307.75,2012.0,750.071,182.283,-0.142,28.0,0.875,0.16306039814781234,0.0012199999999999989
10865,proop,5,3,5164.0,1291.0,1870.0,800.074,213.996,-0.15,27.0,0.871,0.2163030627188252,0.0027800000000000047
19240,jella,5,3,5517.0,1379.25,1336.0,846.414,241.084,-0.145,29.0,0.879,0.3619693258930938,0.005220000000000002
8018,pramp,5,4,6277.0,1569.25,2015.0,732.0,255.861,0.117,29.0,0.879,0.5859049272811063,0.005220000000000002
15507,Preek,5,3,6820.0,1705.0,1922.0,683.5,198.744,0.209,30.0,0.882,0.44710062850863136,0.008220000000000005
21242,Dalta,5,3,5846.0,1461.5,1140.0,815.8,155.717,-0.303,30.0,0.882,0.49805134297471765,0.008220000000000005
30216,poars,5,3,5929.0,1482.25,1177.0,739.4,183.317,0.129,30.0,0.882,0.5087545158365624,0.008220000000000005
4147,proil,5,2,5269.0,1317.25,1936.0,742.467,227.296,0.121,30.0,0.882,0.47872263984426333,0.008220000000000005
36858,drash,5,3,6253.0,1563.25,1463.0,792.933,223.988,-0.095,30.0,0.857,0.47867456438846917,0.016780000000000017
26760,horch,5,3,5897.0,1474.25,1553.0,789.931,246.279,0.071,29.0,0.853,0.306524000427233,0.02078000000000002
25183,garch,5,2,5528.0,1382.0,1687.0,791.786,262.627,-0.048,28.0,0.848,0.5131114508301837,0.025780000000000025
31134,Prots,5,2,5398.0,1349.5,2072.0,751.536,215.646,0.118,28.0,0.903,0.4674144766645656,0.029220000000000024
3957,troad,5,3,5302.0,1325.5,1468.0,731.519,186.242,0.176,27.0,0.844,0.3713408040227729,0.02978000000000003
33558,trool,5,3,6055.0,1513.75,1609.0,826.567,330.629,-0.091,30.0,0.909,0.3342254803174923,0.03522000000000003
4178,trook,5,3,4986.0,1246.5,1446.0,709.967,176.026,0.196,30.0,0.909,0.49476403384376355,0.03522000000000003
29435,repoy,5,3,6430.0,1607.5,1893.0,817.645,270.25,-0.09,31.0,0.912,0.3232779778651675,0.03822000000000003
27347,primt,5,3,5109.0,1277.25,1589.0,780.71,230.095,0.108,31.0,0.912,0.3784807638227712,0.03822000000000003
10761,frape,5,3,6024.0,1506.0,1597.0,717.516,221.029,0.179,31.0,0.912,0.3293044192813285,0.03822000000000003
23717,dorth,5,3,5668.0,1417.0,1603.0,703.0,211.999,0.119,32.0,0.914,0.19979342758426874,0.040220000000000034
5026,carfe,5,2,5473.0,1368.25,1848.0,753.464,312.996,0.014,28.0,0.824,0.45092378359167706,0.049780000000000046
19938,harge,5,3,5627.0,1406.75,1767.0,804.8,278.856,0.019,30.0,0.938,0.10411135185909619,0.06421999999999994
13556,plail,5,3,5147.0,1286.75,1153.0,767.3,215.271,0.068,30.0,0.938,0.5863013425258089,0.06421999999999994
8463,rurse,5,3,5518.0,1379.5,1188.0,757.833,224.83,0.062,30.0,0.938,0.4367409516818165,0.06421999999999994
26805,gorts,5,3,5124.0,1281.0,1327.0,748.161,259.632,0.091,31.0,0.939,0.5061470257338785,0.06521999999999994
31872,theet,5,3,5296.0,1324.0,1108.0,747.548,198.215,0.233,31.0,0.939,0.5562132657867734,0.06521999999999994
25299,varty,5,3,5147.0,1286.75,1509.0,755.219,220.824,0.12,32.0,0.941,0.4055907743585846,0.06721999999999995
31808,thard,5,3,6061.0,1515.25,1223.0,679.25,191.721,0.203,32.0,0.941,0.5322959049251664,0.06721999999999995
37163,dulle,5,3,6427.0,1606.75,1394.0,721.688,285.638,0.109,32.0,0.941,0.5755116227852608,0.06721999999999995
27314,prock,5,3,5078.0,1269.5,2093.0,755.667,328.878,0.108,27.0,0.794,0.25852879179956095,0.07977999999999996
35911,greft,5,3,5897.0,1474.25,1226.0,764.065,248.701,0.27,31.0,0.969,0.47251376388420585,0.09521999999999997
32806,troke,5,3,4958.0,1239.5,1696.0,749.625,182.016,0.143,32.0,0.97,0.37780725457742437,0.09621999999999997
13694,flort,5,3,5699.0,1424.75,1121.0,767.469,232.558,0.025,32.0,0.97,0.4554757826502326,0.09621999999999997
13963,borce,5,2,5582.0,1395.5,1521.0,718.061,251.924,0.318,33.0,0.971,0.5781924274754321,0.09721999999999997
27307,Priak,5,2,5669.0,1417.25,1530.0,817.848,390.931,-0.036,33.0,0.971,0.5704267452136901,0.09721999999999997
21498,garts,5,4,5588.0,1397.0,1665.0,741.818,179.87,0.15,33.0,0.971,0.5029645801050283,0.09721999999999997
6501,colob,5,2,5599.0,1399.75,2411.0,736.091,316.188,0.245,33.0,0.971,0.5680924421363193,0.09721999999999997
36695,prail,5,3,6805.0,1701.25,2064.0,770.0,255.019,-0.076,26.0,0.765,0.46512227602614187,0.10877999999999999
26916,louch,5,3,5105.0,1276.25,1222.0,790.28,444.935,0.077,25.0,0.758,0.5661960440172289,0.11578
20101,reaky,5,3,6781.0,1695.25,2280.0,716.44,216.438,0.023,25.0,0.758,0.5662411393210485,0.11578
25220,narks,5,3,4902.0,1225.5,1363.0,699.625,175.089,0.123,24.0,0.75,0.5667361209978298,0.12378
28944,reody,5,2,5469.0,1367.25,1640.0,694.562,234.741,0.226,32.0,1.0,0.5579284448575149,0.12622
40224,youns,5,3,5475.0,1368.75,1094.0,706.235,213.6,0.217,34.0,1.0,0.499731967553072,0.12622
8153,criex,5,3,5527.0,1381.75,1053.0,619.265,147.517,0.467,34.0,1.0,0.5020716790158056,0.12622
10726,praft,5,3,4846.0,1211.5,1781.0,725.062,185.53,0.157,32.0,1.0,0.3744469068182761,0.12622
3892,draid,5,3,5271.0,1317.75,1308.0,859.36,247.933,-0.076,25.0,0.735,0.4635714654093935,0.13878000000000001
37074,troot,5,2,5662.0,1415.5,1550.0,841.609,270.427,-0.218,23.0,0.697,0.5577877886993872,0.17678000000000005
31137,Scoth,5,3,5578.0,1394.5,1031.0,883.381,225.842,-0.56,21.0,0.656,0.49512196495265903,0.21777999999999997
32709,troth,5,4,6059.0,1514.75,1874.0,702.55,176.791,0.28,20.0,0.645,0.5343509998664919,0.22877999999999998
33151,Lonny,5,3,6597.0,1649.25,1576.0,848.8,293.29,-0.392,20.0,0.606,0.5435166198286003,0.26778
30725,halty,5,3,5282.0,1320.5,1143.0,771.0,327.774,0.132,20.0,0.588,0.5434201321509359,0.28578000000000003
