,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
39629,bloosh,6,0,5715.0,1143.0,1005.0,813.613,328.267,-0.148,31.0,0.912,0.98476952440536,0.006139999999999923
24032,oppult,6,0,3059.0,611.8,525.0,720.033,208.062,0.139,30.0,0.909,0.8847403445850779,0.009139999999999926
32521,glirts,6,0,6002.0,1200.4,857.0,785.034,267.273,0.045,29.0,0.906,0.9144849459725692,0.012139999999999929
34488,plymie,6,0,5088.0,1017.6,755.0,758.5,238.936,-0.226,30.0,0.938,0.35721420865180914,0.01985999999999999
36050,plirty,6,0,6039.0,1207.8,884.0,733.935,156.786,0.104,31.0,0.939,0.9682032638206245,0.02085999999999999
26182,polply,6,0,4777.0,955.4,1279.0,802.323,216.661,-0.092,31.0,0.939,0.9287756954100812,0.02085999999999999
33595,phrawl,6,0,4223.0,844.6,682.0,718.226,178.757,0.286,31.0,0.939,0.13812143181637898,0.02085999999999999
38902,Viviok,6,0,5154.0,1030.8,719.0,738.161,228.027,0.086,31.0,0.939,0.3792457617880012,0.02085999999999999
37018,chipod,6,0,4739.0,947.8,1238.0,850.71,216.595,-0.214,31.0,0.939,0.8555261684757879,0.02085999999999999
25955,Philok,6,0,4768.0,953.6,1031.0,805.656,406.811,0.1,32.0,0.941,0.5867825060212786,0.02285999999999999
3415,blophy,6,0,4201.0,840.2,903.0,731.812,333.6,0.293,32.0,0.941,0.3075904025823216,0.02285999999999999
30316,roifar,6,0,6389.0,1277.8,783.0,710.576,212.984,0.317,33.0,0.943,0.99078422784894,0.024859999999999993
236,affost,6,0,5635.0,1127.0,872.0,730.733,253.482,0.238,30.0,0.882,0.7669576140120118,0.03613999999999995
15495,smeasy,6,0,5761.0,1152.2,705.0,836.967,223.497,-0.19,30.0,0.882,0.6761223182344709,0.03613999999999995
32531,crulls,6,0,4527.0,905.4,935.0,742.966,186.733,-0.034,29.0,0.879,0.3456950863551037,0.03913999999999995
24129,oppset,6,0,4948.0,989.6,1022.0,945.828,246.894,-0.495,29.0,0.879,0.6569007484915381,0.03913999999999995
723,Aggous,6,0,4527.0,905.4,464.0,637.179,133.723,0.277,28.0,0.871,0.43970040787373926,0.04713999999999996
31756,blaggy,6,0,4357.0,871.4,997.0,790.3,248.744,-0.142,30.0,0.968,0.3642597912081892,0.049860000000000015
1994,aslamb,6,0,5276.0,1055.2,582.0,708.516,250.527,0.236,31.0,0.969,0.6217292108050431,0.050860000000000016
34473,clurdy,6,0,3292.0,658.4,809.0,742.219,247.392,0.113,32.0,0.969,0.5955432030030786,0.050860000000000016
24113,oggice,6,0,5247.0,1049.4,637.0,668.323,197.194,0.319,31.0,0.969,0.5335251306815452,0.050860000000000016
24050,otturs,6,0,5139.0,1027.8,594.0,668.161,141.218,0.326,31.0,0.969,0.5426802734472254,0.050860000000000016
34146,thodgy,6,0,3325.0,665.0,789.0,770.281,286.713,0.143,32.0,0.97,0.553192319262104,0.05186000000000002
33674,fluash,6,0,4238.0,847.6,898.0,723.469,256.152,0.198,32.0,0.97,0.28384479594310663,0.05186000000000002
1903,appows,6,0,3252.0,650.4,546.0,750.788,220.133,0.09,33.0,0.971,0.7678005705275288,0.05286000000000002
34335,phrewn,6,0,5818.0,1163.6,924.0,742.303,315.01,0.212,33.0,0.971,0.9215550070577114,0.05286000000000002
34472,glupor,6,0,5251.0,1050.2,951.0,697.059,189.778,0.244,34.0,0.971,0.698843308724942,0.05286000000000002
34426,clucco,6,0,4301.0,860.2,717.0,663.758,230.476,0.347,33.0,0.971,0.0547396570781806,0.05286000000000002
39572,snisky,6,0,4763.0,952.6,506.0,801.667,275.51,-0.262,33.0,0.971,0.4904888565541262,0.05286000000000002
12245,eunupe,6,0,4344.0,868.8,669.0,753.152,282.886,0.119,33.0,0.971,0.10045504299476996,0.05286000000000002
34467,blupid,6,0,3833.0,766.6,795.0,743.706,230.277,0.211,34.0,0.971,0.32887257547703014,0.05286000000000002
33686,thueak,6,0,4162.0,832.4,715.0,691.235,218.19,0.353,34.0,0.971,0.12107996597502303,0.05286000000000002
33602,schays,6,0,4196.0,839.2,558.0,736.515,249.088,0.122,33.0,0.971,0.3194155022791058,0.05286000000000002
33716,fluirt,6,0,3302.0,660.4,931.0,791.963,285.918,-0.081,27.0,0.844,0.757178854718705,0.07413999999999998
25939,phikol,6,0,3065.0,613.0,691.0,632.118,159.516,0.492,34.0,1.0,0.6558366210165172,0.08186000000000004
11292,ellnog,6,0,4705.0,941.0,470.0,691.031,180.913,0.244,32.0,1.0,0.5129905070567068,0.08186000000000004
37095,sluism,6,0,4732.0,946.4,944.0,812.062,367.869,-0.096,32.0,1.0,0.4517780959206347,0.08186000000000004
39989,worghs,6,0,3946.0,789.2,1150.0,718.971,255.774,0.292,34.0,1.0,0.7608069310741109,0.08186000000000004
26466,chight,6,0,4232.0,846.4,1147.0,650.941,156.156,0.292,34.0,1.0,0.6258273845268376,0.08186000000000004
33663,bluads,6,0,3664.0,732.8,737.0,739.735,371.977,0.198,34.0,1.0,0.3271990942226814,0.08186000000000004
