,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
13317,pifth,5,1,2807.0,701.75,686.0,604.464,106.239,0.448,28.0,0.933,0.24736170164863636,0.0024199999999999777
35212,Sobil,5,1,3189.0,797.25,764.0,890.759,445.813,-0.148,29.0,0.935,0.18290111892799996,0.0044199999999999795
8805,hebts,5,1,3041.0,760.25,555.0,749.258,230.828,0.141,31.0,0.939,0.22656962040273096,0.008419999999999872
6144,ploak,5,1,2997.0,749.25,699.0,675.625,196.23,0.455,32.0,0.939,0.14598903206955743,0.008419999999999872
16685,fippo,5,1,2907.0,726.75,720.0,744.969,179.119,0.197,32.0,0.941,0.23496973708654523,0.010419999999999874
28256,habbi,5,1,2927.0,731.75,741.0,775.281,188.519,0.001,32.0,0.941,0.253909109758191,0.010419999999999874
33659,pluad,5,1,2846.0,711.5,647.0,704.25,283.255,0.17,32.0,0.941,0.2119708121783549,0.010419999999999874
27975,bupil,5,1,3176.0,794.0,814.0,732.094,178.803,0.194,32.0,0.941,0.2500381744730715,0.010419999999999874
3491,bloff,5,1,3252.0,813.0,747.0,761.406,352.732,0.08,32.0,0.941,0.19737471321349503,0.010419999999999874
2889,behun,5,1,3137.0,784.25,549.0,666.515,184.579,0.314,33.0,0.943,0.1744923995527386,0.012419999999999876
5718,phoir,5,1,2905.0,726.25,635.0,645.719,149.307,0.319,32.0,0.914,0.1925027086777383,0.01658000000000004
17139,dumid,5,1,3207.0,801.75,701.0,714.0,190.598,0.155,31.0,0.912,0.0993399467448412,0.01858000000000004
16485,hep's,5,1,3453.0,863.25,682.0,739.194,198.506,0.15,31.0,0.912,0.2273202617756063,0.01858000000000004
21872,mep's,5,1,3445.0,861.25,678.0,692.581,259.23,0.323,31.0,0.912,0.21619317329198337,0.01858000000000004
11251,eevie,5,1,3370.0,842.5,578.0,708.258,230.359,-0.022,31.0,0.912,0.2740182539894887,0.01858000000000004
39672,hidth,5,1,3271.0,817.75,629.0,720.7,181.809,0.155,30.0,0.909,0.13405809397816942,0.021580000000000044
13081,faunu,5,1,3025.0,756.25,776.0,765.2,339.291,0.232,30.0,0.909,0.2442989173170055,0.021580000000000044
32665,slomy,5,1,3216.0,804.0,687.0,778.333,304.775,0.033,30.0,0.909,0.0839544942955942,0.021580000000000044
38784,vigom,5,1,3173.0,793.25,702.0,818.133,275.027,-0.021,30.0,0.906,0.07919910100727137,0.024580000000000046
6245,Clyke,5,1,3022.0,755.5,654.0,852.966,246.924,-0.244,29.0,0.906,0.0893466269688747,0.024580000000000046
13357,filbe,5,1,3155.0,788.75,755.0,796.258,321.16,0.069,31.0,0.968,0.14767733968052588,0.0374199999999999
19177,Jamep,5,1,3482.0,870.5,693.0,771.29,366.996,0.145,31.0,0.969,0.2623769308002729,0.0384199999999999
13700,floag,5,1,3146.0,786.5,800.0,832.355,393.119,0.036,31.0,0.969,0.2098198860104759,0.0384199999999999
22898,pucus,5,1,2965.0,741.25,646.0,797.968,290.864,-0.017,31.0,0.969,0.1377071187193844,0.0384199999999999
21061,Badam,5,1,3307.0,826.75,769.0,843.875,265.692,-0.14,32.0,0.97,0.2655778331079553,0.0394199999999999
20652,lobir,5,1,3253.0,813.25,624.0,710.719,251.737,0.372,32.0,0.97,0.13013825180388375,0.0394199999999999
14790,Gausm,5,1,3076.0,769.0,605.0,749.938,226.098,0.084,32.0,0.97,0.12886907437969197,0.0394199999999999
26236,pipod,5,1,2957.0,739.25,568.0,816.188,271.493,-0.131,32.0,0.97,0.2604479151762985,0.0394199999999999
30227,Robbu,5,1,3197.0,799.25,518.0,795.636,237.536,0.118,33.0,0.971,0.2543599414512397,0.0404199999999999
31717,sexud,5,1,3016.0,754.0,575.0,749.394,204.371,0.187,33.0,0.971,0.2123222380068639,0.0404199999999999
10527,fogma,5,1,2836.0,709.0,678.0,813.529,233.2,-0.067,34.0,0.971,0.21682991267694102,0.0404199999999999
14499,lumos,5,1,3020.0,755.0,620.0,846.061,419.877,-0.16,33.0,0.971,0.14190207967246432,0.0404199999999999
40122,yasht,5,1,3197.0,799.25,716.0,743.97,235.644,0.072,33.0,0.971,0.11559695316012097,0.0404199999999999
1307,amgel,5,1,,,605.0,726.333,225.132,0.273,33.0,0.971,0.08748101435744442,0.0404199999999999
