,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
33848,plarchy,7,0,7959.0,1326.5,1565.0,797.667,198.456,0.008,30.0,0.909,0.17488772640663527,0.000720000000000165
33929,claunch,7,0,7837.0,1306.167,1200.0,750.065,181.066,-0.145,31.0,0.912,0.3675090506568068,0.0037200000000001676
2096,appumes,7,0,8635.0,1439.167,1383.0,663.452,137.903,0.263,31.0,0.912,0.4691947207789409,0.0037200000000001676
34442,pruffed,7,0,7592.0,1265.333,2048.0,792.258,196.467,-0.133,31.0,0.912,0.3077628646413261,0.0037200000000001676
34380,sploked,7,0,8687.0,1447.833,1600.0,680.188,147.415,0.255,32.0,0.914,0.3491525825569335,0.005720000000000169
35998,grey've,7,0,7568.0,1261.333,1360.0,857.333,170.769,-0.296,30.0,0.879,0.19630214683920122,0.02927999999999986
26146,pocwash,7,0,,,948.0,803.345,318.225,0.023,29.0,0.879,0.4144531102822049,0.02927999999999986
34071,criffly,7,0,6593.0,1098.833,1271.0,814.1,337.655,-0.051,30.0,0.938,0.44096424569749015,0.02972000000000008
33478,phirits,7,0,8504.0,1417.333,1471.0,741.903,249.881,0.181,31.0,0.939,0.3795914281379552,0.03072000000000008
37083,tructar,7,0,8777.0,1462.833,1477.0,774.484,257.747,-0.022,31.0,0.939,0.449341712108949,0.03072000000000008
25658,peptibo,7,0,8635.0,1439.167,1551.0,816.812,298.504,-0.074,32.0,0.941,0.36542702699740526,0.03272000000000008
251,addrued,7,0,7205.0,1200.833,1309.0,683.062,204.675,0.25,32.0,0.941,0.252821776143654,0.03272000000000008
975,abbergy,7,0,8642.0,1440.333,1686.0,790.156,406.177,0.108,32.0,0.941,0.3666923181921052,0.03272000000000008
33829,plandby,7,0,8165.0,1360.833,1552.0,931.5,371.691,-0.305,32.0,0.941,0.23834564332941743,0.03272000000000008
37273,cliddle,7,0,8107.0,1351.167,1184.0,804.562,273.23,-0.045,32.0,0.941,0.450040749402841,0.03272000000000008
17429,ippicit,7,0,7323.0,1220.5,1145.0,741.562,249.532,0.095,32.0,0.941,0.3223682110093937,0.03272000000000008
34436,crudios,7,0,7047.0,1174.5,1112.0,744.562,366.435,0.118,32.0,0.941,0.4170146356855475,0.03272000000000008
1391,arruity,7,0,7522.0,1253.667,854.0,843.75,237.023,-0.231,28.0,0.875,0.49646384854238595,0.033279999999999865
26643,Tollack,7,0,8706.0,1451.0,1798.0,825.036,215.731,-0.06,28.0,0.875,0.45309156800456785,0.033279999999999865
33664,clualid,7,0,8255.0,1375.833,1456.0,698.818,165.097,0.191,33.0,0.943,0.32185782209511477,0.034720000000000084
1385,appoyed,7,0,7260.0,1210.0,1331.0,870.357,286.633,-0.272,28.0,0.871,0.22443399766035313,0.03727999999999987
657,acclict,7,0,8446.0,1407.667,1565.0,915.0,341.592,-0.649,29.0,0.853,0.3059253763121558,0.055279999999999885
14313,speezes,7,0,8395.0,1399.167,1544.0,769.552,212.925,-0.001,29.0,0.853,0.3051737375778308,0.055279999999999885
37312,blosome,7,0,7234.0,1205.667,1213.0,882.552,375.416,-0.364,29.0,0.853,0.3043140157012412,0.055279999999999885
30977,glapula,7,0,6778.0,1129.667,1266.0,732.871,218.486,0.093,31.0,0.969,0.3942739712941056,0.06072000000000011
31146,trourge,7,0,8377.0,1396.167,1877.0,735.387,260.926,0.134,31.0,0.969,0.41336313326889673,0.06072000000000011
33666,thualls,7,0,7146.0,1191.0,1015.0,726.969,206.267,0.199,32.0,0.97,0.450290136425061,0.06172000000000011
24500,offoman,7,0,7573.0,1262.167,974.0,789.125,288.677,-0.101,32.0,0.97,0.43606666772687747,0.06172000000000011
33599,schayed,7,0,8629.0,1438.167,1351.0,729.938,157.987,0.025,32.0,0.97,0.4873455722017693,0.06172000000000011
9587,gevalve,7,0,7230.0,1205.0,952.0,718.562,292.819,0.186,32.0,0.97,0.4666010914286383,0.06172000000000011
32795,thirked,7,0,8871.0,1478.5,1832.0,801.424,307.592,0.137,33.0,0.97,0.5184888212358578,0.06172000000000011
34489,grymied,7,0,8634.0,1439.0,1703.0,751.182,210.723,-0.028,33.0,0.971,0.3750403248323436,0.06272000000000011
31191,phreams,7,0,8301.0,1383.5,1172.0,737.636,194.32,0.187,33.0,0.971,0.5096521543153285,0.06272000000000011
32928,glorkel,7,0,7561.0,1260.167,1121.0,670.412,224.792,0.321,34.0,0.971,0.34204108850167686,0.06272000000000011
34253,schaits,7,0,7641.0,1273.5,1036.0,735.886,220.955,0.177,35.0,0.972,0.4160679789412266,0.06372000000000011
27507,scofuse,7,0,7458.0,1243.0,950.0,738.222,282.706,0.177,27.0,0.844,0.41994723623292673,0.06427999999999989
32773,plartly,7,0,8728.0,1454.667,1668.0,938.519,372.182,-0.48,27.0,0.818,0.37871496050185494,0.09027999999999992
31127,Chorpio,7,0,9062.0,1510.333,1546.0,756.333,216.006,0.012,33.0,1.0,0.4834079580782238,0.09172000000000013
14651,ganneys,7,0,7208.0,1201.333,1466.0,872.645,437.034,0.027,31.0,1.0,0.15504118385384394,0.09172000000000013
36393,todblar,7,0,8117.0,1352.833,1057.0,895.147,320.667,-0.347,34.0,1.0,0.5311743524131572,0.09172000000000013
36009,scicket,7,0,7349.0,1224.833,1153.0,732.303,286.134,0.2,33.0,1.0,0.310431325801654,0.09172000000000013
30786,sanjput,7,0,,,1167.0,733.091,240.977,0.228,33.0,1.0,0.2791845094598459,0.09172000000000013
26088,ponkoff,7,0,6609.0,1101.5,1680.0,691.152,247.713,0.425,33.0,1.0,0.25938903686135556,0.09172000000000013
8854,pecible,7,0,8941.0,1490.167,1669.0,923.654,381.633,-0.414,26.0,0.812,0.436644662548628,0.09627999999999981
2238,abbract,7,0,7469.0,1244.833,1021.0,973.667,291.009,-0.479,27.0,0.794,0.379052539811641,0.11427999999999983
32908,glippet,7,0,7233.0,1205.5,988.0,712.64,226.118,0.205,25.0,0.758,0.44355794525529146,0.15027999999999986
34429,fludded,7,0,8703.0,1450.5,1652.0,913.917,321.641,-0.248,24.0,0.75,0.3621052889980726,0.15827999999999987
34418,drubbed,7,0,6955.0,1159.167,1426.0,807.875,287.057,0.056,24.0,0.727,0.247822100560307,0.18127999999999989
36124,schills,7,0,6944.0,1157.333,963.0,705.391,207.955,0.024,23.0,0.719,0.5367612380143655,0.1892799999999999
3295,blash's,7,0,6985.0,1164.167,1397.0,869.478,239.314,-0.369,23.0,0.676,0.25766226311860835,0.23227999999999982
