,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
34488,plymie,6,0,5088.0,1017.6,755.0,758.5,238.936,-0.226,30.0,0.938,0.9865316406959671,0.01446000000000014
24032,oppult,6,0,3059.0,611.8,525.0,720.033,208.062,0.139,30.0,0.909,0.5022562075144593,0.014539999999999775
26182,polply,6,0,4777.0,955.4,1279.0,802.323,216.661,-0.092,31.0,0.939,1.5527274978811298,0.01546000000000014
37018,chipod,6,0,4739.0,947.8,1238.0,850.71,216.595,-0.214,31.0,0.939,1.4727249308669998,0.01546000000000014
33595,phrawl,6,0,4223.0,844.6,682.0,718.226,178.757,0.286,31.0,0.939,0.44992084449625747,0.01546000000000014
38902,Viviok,6,0,5154.0,1030.8,719.0,738.161,228.027,0.086,31.0,0.939,0.9731960045068269,0.01546000000000014
3415,blophy,6,0,4201.0,840.2,903.0,731.812,333.6,0.293,32.0,0.941,0.688740723640743,0.017460000000000142
25955,Philok,6,0,4768.0,953.6,1031.0,805.656,406.811,0.1,32.0,0.941,1.1953006362482093,0.017460000000000142
236,affost,6,0,5635.0,1127.0,872.0,730.733,253.482,0.238,30.0,0.882,1.4660118316160506,0.0415399999999998
15495,smeasy,6,0,5761.0,1152.2,705.0,836.967,223.497,-0.19,30.0,0.882,1.3009611459353865,0.0415399999999998
31756,blaggy,6,0,4357.0,871.4,997.0,790.3,248.744,-0.142,30.0,0.968,0.9116102635300117,0.044460000000000166
32531,crulls,6,0,4527.0,905.4,935.0,742.966,186.733,-0.034,29.0,0.879,0.9209075298051058,0.0445399999999998
24129,oppset,6,0,4948.0,989.6,1022.0,945.828,246.894,-0.495,29.0,0.879,1.2856092584358938,0.0445399999999998
24050,otturs,6,0,5139.0,1027.8,594.0,668.161,141.218,0.326,31.0,0.969,1.0995479367331598,0.04546000000000017
24113,oggice,6,0,5247.0,1049.4,637.0,668.323,197.194,0.319,31.0,0.969,1.1003240950017579,0.04546000000000017
1994,aslamb,6,0,5276.0,1055.2,582.0,708.516,250.527,0.236,31.0,0.969,1.1950583626577367,0.04546000000000017
