,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
33876,blartlingly,11,0,23129.0,2312.9,3486.0,945.481,303.613,-0.422,27.0,0.9,0.33009774770630984,0.0020199999999999108
1934,artillerasm,11,0,26460.0,2646.0,2256.0,,394.3,-0.599,29.0,0.906,0.3022715921363429,0.003980000000000095
732,attravation,11,0,26573.0,2657.3,3115.0,,438.994,-0.656,30.0,0.909,0.04496388359285124,0.006980000000000097
33728,prabilizing,11,0,21791.0,2179.1,3123.0,840.8,273.114,-0.281,30.0,0.909,0.3869963411631391,0.006980000000000097
27205,stesentable,11,0,28793.0,2879.3,2886.0,863.742,386.91,-0.21,31.0,0.912,0.28358998343743724,0.0099800000000001
2020,attassinate,11,0,28349.0,2834.9,2511.0,933.103,386.471,-0.518,29.0,0.879,0.36602247143087446,0.02301999999999993
25777,serpetauted,11,0,23645.0,2364.5,2750.0,,431.772,-0.871,28.0,0.875,0.36223829496604176,0.027019999999999933
977,appeviating,11,0,25181.0,2518.1,3005.0,962.815,342.768,-0.715,27.0,0.931,0.16726884709839504,0.028980000000000117
1634,annortioned,11,0,27056.0,2705.6,2906.0,920.857,291.642,-0.669,28.0,0.933,0.14611625260600686,0.03098000000000012
19056,iffitations,11,0,23703.0,2370.3,3184.0,919.414,378.623,-0.321,29.0,0.935,0.2236138838982556,0.03298000000000012
170,aggelerator,11,0,24957.0,2495.7,3084.0,,478.365,-0.787,29.0,0.935,0.15976391939782916,0.03298000000000012
734,addregation,11,0,23315.0,2331.5,3140.0,907.962,286.34,-0.367,26.0,0.867,0.2665497022215236,0.03501999999999994
2083,appociating,11,0,24981.0,2498.1,3012.0,966.654,321.309,-0.815,26.0,0.867,0.18022025963362345,0.03501999999999994
39618,drolesalers,11,0,26589.0,2658.9,3238.0,844.871,345.954,-0.288,31.0,0.939,0.01122116417340918,0.03698000000000001
13544,tragellated,11,0,25224.0,2522.4,3210.0,861.226,295.782,-0.135,31.0,0.939,0.1006102024271659,0.03698000000000001
34030,crereotypes,11,0,24157.0,2415.7,2589.0,918.548,427.742,-0.268,31.0,0.939,0.3733387740641977,0.03698000000000001
630,allectingly,11,0,28109.0,2810.9,3342.0,891.226,233.543,-0.555,31.0,0.939,0.15827545384153036,0.03698000000000001
1647,attreciated,11,0,27552.0,2755.2,2615.0,932.344,307.005,-0.553,32.0,0.941,0.27361463123346746,0.038980000000000015
36821,stansparent,11,0,27049.0,2704.9,2613.0,877.303,368.17,-0.347,33.0,0.941,0.23621504393371662,0.038980000000000015
1662,addrentices,11,0,26219.0,2621.9,3057.0,965.515,278.74,-0.567,33.0,0.943,0.07272965115387994,0.040980000000000016
35936,preoretical,11,0,26714.0,2671.4,3782.0,,422.097,-0.819,26.0,0.963,0.18893374639922003,0.060980000000000034
1395,attunicated,11,0,26122.0,2612.2,2025.0,994.346,330.604,-0.714,26.0,0.839,0.39926926122320444,0.06301999999999996
17440,ittuminated,11,0,26988.0,2698.8,2544.0,827.379,293.068,-0.086,29.0,0.967,0.252946885788473,0.06498000000000004
999,attocations,11,0,26599.0,2659.9,2918.0,,415.257,-0.679,30.0,0.968,0.10786313752383198,0.06598000000000004
24127,onniciating,11,0,30660.0,3066.0,3074.0,,473.689,-0.886,31.0,0.969,0.36655298392593655,0.06698000000000004
18834,intropucted,11,0,25369.0,2536.9,3164.0,,459.293,-0.551,31.0,0.969,0.10387894592077777,0.06698000000000004
36958,chibulation,11,0,22641.0,2264.1,3458.0,825.71,298.742,-0.23,31.0,0.969,0.35832152753620994,0.06698000000000004
37885,uninitiobed,11,0,26949.0,2694.9,3202.0,,418.846,-0.878,32.0,0.97,0.046473078237169375,0.06798000000000004
14935,germinatiup,11,0,27068.0,2706.8,4035.0,908.375,295.663,-0.356,32.0,0.97,0.29394556530361154,0.06798000000000004
25908,pettijestes,11,0,25548.0,2554.8,2987.0,923.625,300.771,-0.551,32.0,0.97,0.14509749888081816,0.06798000000000004
1618,arrlication,11,0,26741.0,2674.1,3620.0,834.562,357.845,-0.083,32.0,0.97,0.1408662420917681,0.06798000000000004
33394,theculation,11,0,24157.0,2415.7,3573.0,751.25,289.299,0.128,32.0,0.97,0.27930849074538644,0.06798000000000004
36679,sladitional,11,0,23936.0,2393.6,3046.0,899.062,329.895,-0.224,32.0,0.97,0.24868786374711932,0.06798000000000004
18577,infogrative,11,0,23932.0,2393.2,3521.0,885.875,276.209,-0.332,32.0,0.97,0.2802305198098784,0.06798000000000004
25678,puncolation,11,0,25512.0,2551.2,3533.0,909.969,208.679,-0.348,32.0,0.97,0.16452123161149332,0.06798000000000004
202,asslamation,11,0,24169.0,2416.9,3047.0,948.679,224.823,-0.673,28.0,0.824,0.23076773378902646,0.07801999999999998
36798,blanslation,11,0,27059.0,2705.9,3981.0,849.424,373.12,-0.171,33.0,1.0,0.2765625713498511,0.09798000000000007
34361,phringently,11,0,24499.0,2449.9,2639.0,772.294,315.99,-0.085,34.0,1.0,0.3320239090984743,0.09798000000000007
29913,reverefrial,11,0,25510.0,2551.0,4086.0,,470.613,-0.981,33.0,1.0,0.3357209062471578,0.09798000000000007
36735,plansaction,11,0,23365.0,2336.5,3377.0,922.941,509.745,-0.238,34.0,1.0,0.2785453736056489,0.09798000000000007
33393,cleculating,11,0,28780.0,2878.0,3318.0,876.235,264.62,-0.435,34.0,1.0,0.20156814817383617,0.09798000000000007
25764,ponkutation,11,0,24881.0,2488.1,4136.0,844.688,426.019,-0.068,32.0,1.0,0.398728068582307,0.09798000000000007
17513,ippigration,11,0,22616.0,2261.6,2982.0,849.969,421.311,-0.295,32.0,1.0,0.3682531641826959,0.09798000000000007
29184,reintarprot,11,0,24267.0,2426.7,2830.0,891.697,331.052,-0.324,33.0,1.0,0.2904809087796545,0.09798000000000007
15476,blavitation,11,0,24475.0,2447.5,3719.0,806.156,297.822,-0.068,32.0,1.0,0.30043240373282076,0.09798000000000007
34096,climulating,11,0,27395.0,2739.5,3151.0,955.0,349.568,-0.929,19.0,0.679,0.09595787678239322,0.22301999999999988
627,appectation,11,0,23432.0,2343.2,3513.0,,393.491,-1.345,21.0,0.656,0.3155474975016623,0.2460199999999999
2084,annociation,11,0,23475.0,2347.5,3258.0,,286.209,-1.198,17.0,0.63,0.23342334570562867,0.27201999999999993
957,arregations,11,0,27061.0,2706.1,3399.0,873.133,249.273,-0.402,15.0,0.469,0.09669523425245397,0.43301999999999996
660,applictions,11,0,22082.0,2208.2,3330.0,,223.339,-0.622,3.0,0.1,0.3609806802706099,0.80202
