,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
8448,curps,5,5,2585.0,646.25,820.0,861.5,380.589,-0.291,28.0,0.848,0.5343118115522498,0.008179999999999965
28070,dutty,5,5,2675.0,668.75,797.0,795.143,228.847,-0.085,28.0,0.848,0.5012563868735866,0.008179999999999965
33045,voils,5,5,2463.0,615.75,547.0,807.483,290.56,-0.193,29.0,0.829,0.1263830157570549,0.010820000000000052
37261,tweep,5,4,2140.0,535.0,529.0,837.6,300.711,0.069,30.0,0.853,0.5982198398514135,0.01317999999999997
27662,snops,5,5,2023.0,505.75,509.0,841.379,292.986,-0.196,29.0,0.853,0.5241337565308817,0.01317999999999997
30241,Pob's,5,4,2463.0,615.75,614.0,820.621,217.609,-0.067,29.0,0.853,0.44927857800214466,0.01317999999999997
22564,mox's,5,4,2088.0,522.0,535.0,775.345,237.077,0.22,29.0,0.853,0.6268447943200907,0.01317999999999997
23145,nunny,5,7,2649.0,662.25,585.0,,350.652,-0.947,27.0,0.818,0.49236923663547794,0.02182000000000006
4575,habby,5,4,2398.0,599.5,660.0,797.786,242.37,-0.153,28.0,0.871,0.5832247285834821,0.031179999999999986
16650,hirls,5,3,2593.0,648.25,585.0,818.893,299.796,-0.088,28.0,0.875,0.4969424030101304,0.03517999999999999
23832,dudge,5,5,2065.0,516.25,558.0,758.552,241.694,-0.015,29.0,0.879,0.44991983448034667,0.03917999999999999
4335,tulks,5,6,2120.0,530.0,536.0,714.767,174.716,0.079,30.0,0.882,0.6006197146366704,0.042179999999999995
32898,sciff,5,4,2769.0,692.25,524.0,787.074,254.912,-0.01,27.0,0.794,0.3490102347765875,0.04581999999999997
30392,vough,5,5,2733.0,683.25,838.0,851.0,325.038,-0.146,27.0,0.794,0.6206928815914596,0.04581999999999997
28351,vaids,5,3,2657.0,664.25,636.0,877.346,277.511,-0.395,26.0,0.788,0.5920446017506538,0.05181999999999998
13732,flobs,5,4,2525.0,631.25,728.0,760.24,308.396,0.096,25.0,0.781,0.6111964535853023,0.05881999999999998
32748,flump,5,5,2562.0,640.5,724.0,771.0,215.467,0.082,24.0,0.774,0.37569581686878284,0.06581999999999999
24929,gaddy,5,5,2021.0,505.25,527.0,729.208,182.023,-0.017,24.0,0.774,0.492630682987501,0.06581999999999999
34828,lunny,5,5,2959.0,739.75,612.0,744.207,144.919,-0.034,29.0,0.906,0.3782706768314503,0.06618000000000002
28218,huilt,5,3,2529.0,632.25,608.0,695.967,202.11,0.27,30.0,0.909,0.5879246017677244,0.06918000000000002
15812,gusky,5,5,2164.0,541.0,515.0,764.1,189.848,-0.05,30.0,0.909,0.4056551926149057,0.06918000000000002
3850,powls,5,5,2261.0,565.25,713.0,706.516,256.511,0.123,31.0,0.912,0.5849328807924995,0.07218000000000002
26977,snams,5,3,2736.0,684.0,589.0,712.516,177.902,0.1,31.0,0.912,0.5660195851423675,0.07218000000000002
22670,goomy,5,4,2604.0,651.0,707.0,821.077,208.198,-0.355,26.0,0.765,0.5124510569282918,0.07482
14468,mudge,5,5,2062.0,515.5,639.0,881.48,327.696,-0.146,25.0,0.758,0.6008299981748646,0.08182
14471,puels,5,4,2948.0,737.0,533.0,692.806,180.89,0.309,31.0,0.939,0.46892930045291936,0.09917999999999993
26091,pilks,5,5,2599.0,649.75,763.0,822.355,319.53,-0.202,31.0,0.939,0.41905412595077773,0.09917999999999993
15595,scips,5,4,2695.0,673.75,580.0,796.75,236.79,-0.077,32.0,0.941,0.3182958757497098,0.10117999999999994
20786,kooms,5,4,2379.0,594.75,598.0,685.156,233.576,0.268,32.0,0.941,0.48394516294956186,0.10117999999999994
19170,joils,5,6,2341.0,585.25,556.0,805.906,245.383,-0.271,32.0,0.941,0.4358444712075204,0.10117999999999994
19483,nunks,5,3,2653.0,663.25,597.0,784.9,272.894,-0.077,30.0,0.968,0.5174363224418672,0.12817999999999996
31960,spips,5,5,2482.0,620.5,701.0,775.226,238.599,0.052,31.0,0.969,0.3944696111028473,0.12917999999999996
22134,hilky,5,3,2717.0,679.25,602.0,770.125,172.007,-0.026,32.0,0.97,0.5753910588645297,0.13017999999999996
19558,feeps,5,5,2421.0,605.25,594.0,757.303,214.036,0.205,33.0,0.971,0.24463355425416528,0.13117999999999996
27964,vunks,5,3,2407.0,601.75,531.0,612.364,137.009,0.542,33.0,0.971,0.5910042261405659,0.13117999999999996
15742,guilm,5,3,2350.0,587.5,554.0,681.03,148.205,0.388,33.0,0.971,0.6252750116067275,0.13117999999999996
25424,Pim's,5,4,2759.0,689.75,474.0,785.917,270.33,0.075,24.0,0.706,0.43313124174919876,0.13382000000000005
4277,rudge,5,5,2370.0,592.5,578.0,974.957,550.474,-0.435,23.0,0.697,0.25414772414099407,0.14282000000000006
39648,whi's,5,5,2336.0,584.0,596.0,639.032,151.601,0.479,31.0,1.0,0.31308979593228936,0.16018
40141,yunks,5,4,2388.0,597.0,527.0,765.364,318.966,-0.007,33.0,1.0,0.4128653477363275,0.16018
14537,junny,5,6,2558.0,639.5,616.0,793.088,340.69,0.077,34.0,1.0,0.3805398284406958,0.16018
15791,munny,5,5,2734.0,683.5,701.0,914.765,291.035,-0.406,34.0,1.0,0.3700793904380343,0.16018
31435,feems,5,4,2649.0,662.25,554.0,792.258,313.281,0.033,31.0,1.0,0.2355285990602512,0.16018
19717,snife,5,4,2759.0,689.75,467.0,872.682,282.051,-0.255,22.0,0.667,0.4459752548794499,0.17281999999999997
8715,gawns,5,5,2861.0,715.25,568.0,803.0,286.401,-0.145,22.0,0.667,0.22284182922673912,0.17281999999999997
3470,slown,5,5,2750.0,687.5,775.0,864.905,277.247,-0.264,21.0,0.656,0.5180540681473813,0.18381999999999998
35179,swosh,5,3,2674.0,668.5,491.0,775.429,278.96,-0.064,21.0,0.618,0.5371121227903654,0.22182000000000002
16254,gazel,5,5,2956.0,739.0,635.0,813.647,391.022,-0.091,17.0,0.531,0.4181858510720921,0.30882
17080,towls,5,6,2552.0,638.0,563.0,975.438,425.794,-0.587,16.0,0.471,0.28786546682916103,0.36882000000000004
6211,glown,5,5,2756.0,689.0,696.0,926.846,312.931,-0.652,13.0,0.419,0.37767337205205664,0.42082
