,Word,Length,Ortho_N,BG_Sum,BG_Mean,BG_Freq_By_Pos,NWI_Mean_RT,NWI_SD,NWI_Zscore,Obs,NWI_Mean_Accuracy,diff,NWI_Mean_Accuracy_diff
23911,oapsman,7,1,7288.0,1214.667,847.0,850.033,329.076,-0.142,30.0,0.938,0.058236547597482397,0.00768000000000002
1339,afgular,7,1,6632.0,1105.333,828.0,735.871,247.614,0.188,31.0,0.939,0.150243931432322,0.008680000000000021
19444,fugular,7,1,7122.0,1187.0,958.0,841.645,393.537,0.051,31.0,0.939,0.1706811101563088,0.008680000000000021
26450,plebiad,7,1,7219.0,1203.167,827.0,742.312,326.547,0.133,32.0,0.941,0.014795157157642062,0.010680000000000023
24019,osvious,7,1,7281.0,1213.5,712.0,746.938,166.273,-0.195,32.0,0.941,0.17115549278362427,0.010680000000000023
1853,armgits,7,1,,,810.0,848.719,279.197,-0.215,32.0,0.941,0.020556202471339213,0.010680000000000023
35542,naxable,7,1,7185.0,1197.5,842.0,689.031,169.284,0.36,32.0,0.941,0.02344344034961856,0.010680000000000023
14179,roxhunt,7,1,7441.0,1240.167,750.0,822.273,254.952,-0.088,33.0,0.943,0.1698619706933936,0.012680000000000025
35316,tabla's,7,1,7157.0,1192.833,908.0,820.03,228.469,-0.076,33.0,0.943,0.1004536108144868,0.012680000000000025
9739,biehard,7,1,6740.0,1123.333,811.0,806.091,238.06,-0.081,33.0,0.943,0.1382393909791097,0.012680000000000025
3206,biolagy,7,1,7360.0,1226.667,795.0,851.258,290.451,-0.151,31.0,0.912,0.09284171894096488,0.018319999999999892
26233,pioasly,7,1,7175.0,1195.833,728.0,715.452,210.501,0.214,31.0,0.912,0.12222402539944505,0.018319999999999892
29200,lejects,7,1,7050.0,1175.0,856.0,735.5,173.318,0.215,30.0,0.909,0.06743880610375187,0.021319999999999895
810,aitbase,7,1,7417.0,1236.167,803.0,727.5,177.545,0.313,30.0,0.909,0.0990766829262158,0.021319999999999895
38340,ubanium,7,1,6838.0,1139.667,803.0,756.667,190.696,0.026,30.0,0.909,0.12056093349860578,0.021319999999999895
28259,rabbots,7,1,6966.0,1161.0,864.0,889.607,399.596,-0.449,28.0,0.966,0.10055637572047937,0.035680000000000045
38356,ulgency,7,1,7686.0,1281.0,806.0,901.5,382.512,-0.351,30.0,0.968,0.17052565811299075,0.03768000000000005
19706,sneecap,7,1,7290.0,1215.0,936.0,883.094,381.452,-0.28,32.0,0.97,0.16641222634655697,0.03968000000000005
4405,huoyant,7,1,7120.0,1186.667,896.0,693.938,188.108,0.359,32.0,0.97,0.09626934342466453,0.03968000000000005
29189,geissue,7,1,7114.0,1185.667,707.0,811.594,390.247,0.03,32.0,0.97,0.15961252673663867,0.03968000000000005
24531,oupcome,7,1,7522.0,1253.667,801.0,823.25,235.775,-0.065,32.0,0.97,0.13080013790178907,0.03968000000000005
11083,eafle's,7,1,7128.0,1188.0,889.0,727.906,210.877,0.155,32.0,0.97,0.08557253599232842,0.03968000000000005
37379,ulbrage,7,1,6778.0,1129.667,777.0,778.424,213.661,0.019,33.0,0.971,0.1687455903755134,0.04068000000000005
17557,irparts,7,1,7164.0,1194.0,860.0,774.882,258.514,0.05,34.0,0.971,0.04045861756524589,0.04068000000000005
19723,knishts,7,1,7019.0,1169.833,759.0,828.676,339.6,-0.221,34.0,0.971,0.1232494075188158,0.04068000000000005
38915,vocaluc,7,1,6807.0,1134.5,840.0,784.182,285.519,0.082,33.0,0.971,0.11591211588031908,0.04068000000000005
16594,liccups,7,1,6632.0,1105.333,822.0,750.879,250.072,-0.015,33.0,0.971,0.15508068495499006,0.04068000000000005
16683,hiplune,7,1,7101.0,1183.5,942.0,790.758,280.216,-0.015,33.0,0.971,0.15719511170848446,0.04068000000000005
15770,gumdrep,7,1,6624.0,1104.0,812.0,889.667,337.829,-0.163,33.0,0.971,0.16940505752932722,0.04068000000000005
1245,abalogy,7,1,6957.0,1159.5,789.0,767.152,261.408,-0.155,33.0,0.971,0.10427742794808117,0.04068000000000005
12011,epigrab,7,1,7177.0,1196.167,901.0,862.03,393.305,-0.122,33.0,0.971,0.0925530660413053,0.04068000000000005
13367,filmgom,7,1,,,803.0,760.424,298.094,0.078,33.0,0.971,0.029020521136008302,0.04068000000000005
1512,asxious,7,1,,,728.0,862.0,407.305,-0.2,33.0,0.971,0.11970964968603424,0.04068000000000005
27852,Ptolevy,7,1,6932.0,1155.333,811.0,792.742,189.919,-0.032,31.0,0.886,0.08465296224450079,0.044319999999999915
1240,agagram,7,1,6985.0,1164.167,826.0,809.621,289.782,-0.224,29.0,0.879,0.05172249124332955,0.05131999999999992
2189,arrophy,7,1,7238.0,1206.333,743.0,784.138,294.527,-0.253,29.0,0.879,0.1216692466179834,0.05131999999999992
19066,Irlamic,7,1,7735.0,1289.167,834.0,825.194,290.057,-0.208,31.0,1.0,0.16727300304657258,0.06968000000000008
24533,outcrom,7,1,7012.0,1168.667,922.0,812.471,178.247,-0.242,34.0,1.0,0.15785060748522434,0.06968000000000008
10515,doeskil,7,1,7307.0,1217.833,756.0,896.562,292.452,-0.324,32.0,1.0,0.1252074204958123,0.06968000000000008
24950,ragodas,7,1,6776.0,1129.333,789.0,732.382,169.968,0.009,34.0,1.0,0.1547940799660448,0.06968000000000008
18294,irhuman,7,1,6985.0,1164.167,757.0,719.618,213.737,0.234,34.0,1.0,0.1351564895093534,0.06968000000000008
4293,duffoon,7,1,7009.0,1168.167,753.0,692.636,257.126,0.158,33.0,1.0,0.13329493944019535,0.06968000000000008
319,atquire,7,1,,,739.0,806.206,244.239,-0.295,34.0,1.0,0.1064085774986971,0.06968000000000008
3269,bizarde,7,1,7574.0,1262.333,861.0,941.897,350.658,-0.534,29.0,0.853,0.15498607787019836,0.07731999999999994
38408,udilize,7,1,7512.0,1252.0,827.0,874.276,311.197,-0.351,29.0,0.853,0.09657000107824416,0.07731999999999994
17403,ignible,7,1,7585.0,1264.167,860.0,900.037,295.306,-0.498,27.0,0.844,0.1568475034950017,0.08631999999999995
35324,tablood,7,1,6993.0,1165.5,840.0,862.704,347.247,-0.245,27.0,0.818,0.0640002630436667,0.11231999999999998
30100,rigadly,7,1,7213.0,1202.167,921.0,859.88,264.386,-0.432,25.0,0.781,0.1267842890423847,0.1493199999999999
20270,letdomn,7,1,6652.0,1108.667,826.0,861.708,275.773,-0.421,24.0,0.75,0.1446614535799169,0.18031999999999992
32946,snowmon,7,1,7239.0,1206.5,807.0,979.176,317.52,-0.903,17.0,0.548,0.04456056533456238,0.3823199999999999
