,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
46,5.037,0,4813.0,5.0,2.0,740.727,0.145,0.65,6,ablaze,0.0
15454,3.989,0,3773.0,5.0,,806.81,0.21,0.64,6,googly,0.9738805033974104
13915,4.043,0,2928.0,5.0,,801.579,0.233,0.66,6,floozy,1.2892003778694026
22983,5.501,0,7185.0,6.0,2.0,798.524,0.083,0.64,6,motifs,1.3029376682870606
33033,4.263,0,3198.0,5.0,2.0,890.857,0.237,0.66,6,smutty,1.337358832865755
13442,6.745,0,4675.0,5.0,2.0,766.857,-0.003,0.66,6,feudal,1.4320314817548392
26920,2.197,0,4065.0,6.0,2.0,847.25,0.085,0.65,6,popgun,1.4738555882299245
2014,4.431,0,6110.0,4.0,1.0,820.316,0.082,0.66,6,assail,1.6437892309026936
15161,6.18,0,4794.0,4.0,2.0,876.952,0.295,0.64,6,ghouls,1.657448549900437
37347,6.858,0,9551.0,5.0,,763.591,0.083,0.65,6,Tulane,1.80139442155512
40281,5.17,0,8242.0,3.0,1.0,811.0,0.12,0.65,6,writhe,1.9046178764278205
38723,4.585,0,7300.0,4.0,1.0,854.667,0.214,0.66,6,vassal,1.9479390712660598
37684,3.219,0,6901.0,6.0,2.0,714.864,0.009,0.65,6,unclad,1.9610649579917214
17558,7.107,0,6071.0,6.0,1.0,898.714,0.2,0.64,6,idiocy,1.977322282808368
10403,6.303,0,8862.0,6.0,2.0,769.091,0.247,0.65,6,dispel,2.0294354687170983
40480,7.479,0,8042.0,5.0,1.0,763.0,0.091,0.64,6,Zurich,2.0706505427058897
20396,4.691,0,6598.0,6.0,1.0,794.318,0.013,0.65,6,legume,2.115717345072418
38494,5.485,0,4609.0,5.0,,904.25,0.409,0.65,6,uppity,2.1602883993373516
16019,6.194,0,5414.0,5.0,1.0,919.476,0.311,0.66,6,Guyana,2.247937452302002
37449,3.526,0,6101.0,5.0,2.0,916.524,0.354,0.66,6,tweedy,2.2517269724570017
