,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
986,8.129,1,13167.0,4.0,2.0,684.875,-0.45,0.97,6,allied,0.0
30573,7.777,1,11931.0,4.0,2.0,647.419,-0.435,0.97,6,rotten,0.22511708267101996
25164,6.831,1,11853.0,4.0,2.0,692.212,-0.434,0.97,6,paired,0.3056401374530055
13678,8.467,1,12765.0,4.0,2.0,671.618,-0.35,0.97,6,fisher,0.31319156475787885
2847,6.219,1,12515.0,4.0,2.0,660.625,-0.404,0.97,6,bathed,0.4218535141549482
13595,7.24,1,13248.0,5.0,2.0,656.806,-0.439,0.97,6,finely,0.43081165687943923
987,8.514,1,13171.0,4.0,2.0,655.909,-0.282,0.97,6,allies,0.4624585940349261
5465,8.204,1,10840.0,5.0,2.0,687.667,-0.433,0.97,6,censor,0.47766296117085716
26761,7.05,1,10700.0,4.0,2.0,637.781,-0.387,0.97,6,poised,0.5285330494629609
21326,8.623,1,9862.0,4.0,2.0,675.394,-0.32,0.97,6,maiden,0.6138606110971644
6469,7.587,1,15954.0,5.0,2.0,681.212,-0.487,0.97,6,coated,0.6156580184109366
33216,6.673,1,9353.0,4.0,2.0,645.419,-0.494,0.97,6,soften,0.6239247260790535
17069,7.554,1,10822.0,4.0,2.0,612.312,-0.577,0.97,6,honors,0.6363694693372525
11939,7.528,1,11833.0,5.0,2.0,613.242,-0.506,0.97,6,endure,0.653936308552806
13040,7.616,1,7062.0,4.0,2.0,644.424,-0.492,0.97,6,facial,0.6789483759470673
30720,8.407,1,11323.0,4.0,2.0,590.531,-0.625,0.97,6,runner,0.7000214297973356
24445,7.299,1,14667.0,5.0,2.0,693.848,-0.346,0.97,6,opener,0.7096500058121363
2102,8.813,1,9779.0,4.0,2.0,736.406,-0.313,0.97,6,assure,0.7204535221968438
33647,8.093,1,13036.0,5.0,2.0,687.941,-0.246,0.97,6,spinal,0.7211195567970488
38957,9.169,1,8985.0,4.0,2.0,663.794,-0.565,0.97,6,viewer,0.731303135437854
