,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
3283,2.565,0,5568.0,5.0,2.0,700.031,-0.243,1.0,7,bewitch,0.0
5908,2.996,0,5066.0,5.0,2.0,722.389,-0.104,1.0,7,choir's,0.8597344062628574
30492,3.258,0,6394.0,6.0,2.0,693.97,-0.306,1.0,7,Romeo's,0.8852327275330698
30415,2.833,0,3890.0,5.0,,664.794,-0.351,1.0,7,Robby's,0.8987668219587231
22204,4.615,0,5827.0,6.0,,727.971,-0.242,1.0,7,Miami's,1.0893954335248057
31463,4.174,0,6905.0,5.0,2.0,692.727,-0.323,1.0,7,seabird,1.205470730480978
12993,1.609,0,8193.0,5.0,2.0,699.324,-0.336,1.0,7,eyedrop,1.2261656780775048
26332,4.564,0,5895.0,6.0,2.0,729.029,-0.281,1.0,7,pigtail,1.2348834864688987
8146,5.394,0,4833.0,5.0,2.0,735.265,-0.245,1.0,7,cowgirl,1.2930271470979866
34330,4.663,0,7568.0,5.0,2.0,742.031,-0.257,1.0,7,stock's,1.2941846091627158
23995,4.595,0,6045.0,6.0,,665.455,-0.307,1.0,7,novel's,1.388429781035454
21334,4.595,0,5657.0,6.0,2.0,786.086,-0.168,1.0,7,mailbag,1.43736591954889
23288,3.401,0,9293.0,7.0,2.0,707.031,-0.233,1.0,7,mystify,1.4457033908702104
19980,4.754,0,7739.0,5.0,,701.824,-0.308,1.0,7,labor's,1.5119400150208466
5617,3.892,0,7347.0,5.0,2.0,741.912,-0.051,1.0,7,chapels,1.6833640748934178
3658,6.624,0,6290.0,5.0,2.0,702.265,-0.242,1.0,7,blowout,1.7187985990967722
6367,5.889,0,5478.0,6.0,2.0,689.485,-0.296,1.0,7,closeup,1.7438033415136054
24723,2.833,0,11743.0,5.0,2.0,667.029,-0.363,1.0,7,outdate,1.7524051556539835
5731,5.793,0,5938.0,5.0,2.0,662.235,-0.335,1.0,7,checkup,1.7554812234104231
24320,5.576,0,5784.0,5.0,2.0,762.5,-0.125,1.0,7,offside,1.7850586709736325
