,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
4200,9.062,1,23163.0,6.0,2.0,604.091,-0.543,0.97,8,breeding,0.0
27426,8.996,1,24458.0,6.0,2.0,624.788,-0.512,0.97,8,pressing,0.15443711556070477
23034,8.451,1,23104.0,6.0,2.0,666.394,-0.45,0.97,8,mounting,0.34405497103382354
34511,8.09,1,22371.0,6.0,2.0,580.281,-0.632,0.97,8,stressed,0.34445918329432645
36000,9.419,1,18999.0,6.0,2.0,625.5,-0.485,0.97,8,terrible,0.3612179954657385
8930,8.746,1,17697.0,6.0,2.0,649.031,-0.506,0.97,8,deadline,0.41325417505657003
36467,6.696,1,18614.0,6.0,2.0,601.333,-0.57,0.97,8,timeless,0.5116501285599233
9071,9.293,1,18493.0,7.0,2.0,612.344,-0.477,0.97,8,declared,0.5287271335382543
4278,9.486,1,25655.0,6.0,2.0,670.303,-0.397,0.97,8,bringing,0.5323571688818199
27542,8.926,1,20203.0,7.0,2.0,674.939,-0.485,0.97,8,princess,0.5333327630011274
33526,10.349,1,15878.0,6.0,2.0,616.909,-0.578,0.97,8,speaking,0.5420730125860985
9704,9.957,1,16084.0,6.0,2.0,633.939,-0.494,0.97,8,detailed,0.5438530973345584
34572,6.39,1,19889.0,6.0,2.0,580.719,-0.504,0.97,8,stroller,0.5465518669400438
4003,7.83,1,17493.0,6.0,2.0,594.636,-0.626,0.97,8,bouncing,0.5489493806287424
14903,6.671,1,19061.0,6.0,2.0,615.441,-0.472,0.97,8,gardener,0.5902159315869548
3572,7.619,1,22349.0,7.0,2.0,656.758,-0.464,0.97,8,blinking,0.5934042749128006
9053,10.508,1,16460.0,6.0,2.0,612.647,-0.466,0.97,8,decision,0.6046412599384513
33611,9.964,1,20761.0,7.0,2.0,612.839,-0.663,0.97,8,spending,0.6049337718761978
15028,9.722,1,25150.0,7.0,2.0,678.219,-0.443,0.97,8,generate,0.6317791349028721
5842,7.184,1,19214.0,5.0,2.0,628.424,-0.582,0.97,8,chilling,0.6563139199267751
