,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
5104,6.56,0,18221.0,11.0,3.0,773.273,-0.058,0.97,12,carbohydrate,0.0
31051,7.836,0,20295.0,12.0,3.0,782.0,-0.039,0.97,12,satisfactory,0.7325277550873383
15582,5.714,0,21757.0,10.0,3.0,781.061,-0.038,0.97,12,grandmothers,0.762960885175204
38223,4.727,0,18595.0,10.0,4.0,763.781,-0.061,0.97,12,unpleasantly,0.787149533218868
36962,6.997,0,26307.0,11.0,3.0,794.656,-0.042,0.97,12,transforming,0.8092183370722111
21032,5.743,0,17083.0,9.0,4.0,803.265,-0.063,0.97,12,loudspeakers,0.8255345165987703
16645,3.784,0,21917.0,9.0,3.0,735.781,-0.056,0.97,12,hemisphere's,0.8901338101943774
35104,6.319,0,24430.0,11.0,3.0,799.5,-0.027,0.97,12,supplemented,0.9368334027217349
34428,6.88,0,25882.0,7.0,3.0,731.581,-0.067,0.97,12,straightened,1.0392838496750512
24225,7.434,0,23596.0,10.0,3.0,722.438,-0.086,0.97,12,occupational,1.0594177385929142
17181,6.315,0,19140.0,10.0,4.0,777.091,-0.092,0.97,12,hospitalized,1.0931098962741057
1375,9.419,0,20795.0,9.0,3.0,746.414,-0.086,0.97,12,announcement,1.268134365381626
31234,7.274,0,14552.0,9.0,4.0,778.152,-0.087,0.97,12,scholarships,1.3230448032953792
5743,3.761,0,20260.0,8.0,3.0,786.394,-0.088,0.97,12,cheerfulness,1.3366608081223328
23915,8.354,0,25496.0,10.0,3.0,809.323,-0.091,0.97,12,northwestern,1.369541307944425
14651,6.639,0,28801.0,10.0,3.0,731.484,-0.096,0.97,12,frustrations,1.3816997877183008
10246,7.605,0,28339.0,11.0,2.0,783.176,-0.039,0.97,12,discriminate,1.3826305567835466
37249,6.194,0,20561.0,9.0,3.0,770.75,-0.118,0.97,12,troublemaker,1.3862209773627876
37987,5.481,0,13360.0,10.0,3.0,797.781,-0.004,0.97,12,unforgivable,1.4690855874510507
4711,4.304,0,20169.0,8.0,2.0,754.875,-0.032,0.97,12,butterscotch,1.5211546764154416
