,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
5447,8.486,0,23797.0,9.0,2.0,718.935,-0.22,0.89,9,celestial,0.0
24286,7.933,0,19443.0,7.0,2.0,701.345,-0.238,0.88,9,offending,0.5874582630566894
35899,9.383,0,16822.0,9.0,2.0,753.367,-0.163,0.88,9,temporary,0.7158301114110174
18867,5.68,0,24307.0,7.0,2.0,758.7,-0.201,0.88,9,interlude,0.7267592109160883
35058,6.731,0,18695.0,8.0,2.0,658.931,-0.194,0.88,9,superiors,0.7446150118681275
23972,7.817,0,14349.0,8.0,2.0,721.29,-0.261,0.89,9,notorious,0.7757460616640355
4530,7.383,0,21468.0,8.0,2.0,659.429,-0.302,0.88,9,bulletins,0.8039653213284813
30431,8.817,0,24669.0,7.0,1.0,721.207,-0.222,0.88,9,Rochester,0.8210251001374047
33563,6.771,0,12269.0,8.0,2.0,725.69,-0.218,0.88,9,spectacle,0.8272722646259585
10617,7.524,0,21094.0,6.0,2.0,699.143,-0.272,0.88,9,diversion,0.8342789045724563
13419,7.213,0,19572.0,8.0,2.0,737.966,-0.133,0.88,9,fertility,0.8699958215221877
27152,7.074,0,18228.0,9.0,2.0,742.69,-0.112,0.88,9,pragmatic,0.9333461952453045
37111,7.185,0,22413.0,8.0,2.0,620.733,-0.335,0.88,9,trembling,0.9907294848862714
36971,7.202,0,19922.0,9.0,2.0,753.484,-0.08,0.89,9,transient,0.9956657540840286
1570,6.939,0,20720.0,6.0,2.0,700.567,-0.139,0.88,9,appalling,1.0481651354650756
6728,7.843,0,23963.0,8.0,2.0,804.172,-0.049,0.88,9,combining,1.097376295368531
17474,7.633,0,8743.0,9.0,2.0,732.308,-0.143,0.9,9,hypocrisy,1.1113481122026057
5386,6.512,0,20547.0,6.0,2.0,711.815,-0.134,0.9,9,causation,1.11272629316718
14251,3.091,0,17743.0,8.0,2.0,742.107,-0.2,0.88,9,formalist,1.1351307130277009
33642,6.019,0,14772.0,7.0,2.0,742.138,-0.173,0.88,9,spillover,1.1482939768459814
