,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
5469,9.339,0,15216.0,8.0,3.0,681.645,-0.312,0.91,10,censorship,0.0
2098,9.289,0,17645.0,7.0,3.0,676.065,-0.345,0.91,10,assumption,0.4035896578414552
460,8.45,0,14967.0,9.0,2.0,652.414,-0.35,0.91,10,adjustment,0.7340417147941691
36244,5.938,0,11514.0,7.0,3.0,677.419,-0.28,0.91,10,Thompson's,0.8408497739336684
7826,5.22,0,19073.0,8.0,3.0,650.933,-0.278,0.91,10,copywriter,0.8481714257303883
15082,8.667,0,10620.0,9.0,3.0,751.129,-0.213,0.91,10,geographic,0.917212976943405
28174,6.603,0,15958.0,7.0,3.0,730.767,-0.193,0.91,10,purchasers,0.9189379428585093
26004,10.717,0,22334.0,7.0,3.0,713.839,-0.267,0.91,10,personally,0.9313186369883739
1617,9.102,0,16506.0,9.0,4.0,680.613,-0.43,0.91,10,applicants,0.9468713302156846
21927,8.595,0,14188.0,9.0,3.0,744.621,-0.117,0.91,10,mechanisms,0.9875935487348418
36259,8.925,0,11496.0,6.0,2.0,674.065,-0.278,0.91,10,thoroughly,0.9917423137750805
36094,7.446,0,20789.0,8.0,3.0,704.226,-0.183,0.91,10,theatrical,1.0142035770929205
9219,11.607,0,26329.0,8.0,3.0,671.129,-0.329,0.91,10,definition,1.0429165980615878
3378,6.865,0,17104.0,10.0,4.0,712.133,-0.328,0.91,10,binoculars,1.0679983871183876
10515,6.184,0,19975.0,8.0,3.0,766.903,-0.216,0.91,10,dissolving,1.082343211037432
357,10.397,0,21716.0,9.0,4.0,713.267,-0.295,0.91,10,activities,1.0993685007236091
17637,8.041,0,22052.0,8.0,2.0,705.645,-0.357,0.91,10,illustrate,1.1004371846343108
32177,5.118,0,17300.0,7.0,3.0,746.387,-0.203,0.91,10,shockingly,1.1570943865761314
7909,7.159,0,27161.0,9.0,3.0,682.032,-0.337,0.91,10,correlated,1.2238579010578419
14668,7.339,0,18956.0,8.0,3.0,719.759,-0.089,0.91,10,fulfilling,1.2283013648606294
