,Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,diff,I_Mean_Accuracy_diff
38623,vaccination,11,2,"2,333",7.755,0.750,1.591,0.260,1.362,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.250,6.214,3.600,6.202,4.240,0.528,0,1.118,9.170,3.083,4.560,4.620,5.200,12,7,61,23,"27,545","2,754.500","4,186","v%ak.sn=.""e.Sn=",8,4,{vaccine}>ate>>ion>,"{v%ak.sn=$}.>""e.S$>>n=>",3,NN,880.897,0.263,326.091,29,0.88,0.005475451524896823,0.0036000000000001586
27327,premeditate,11,#,3,1.099,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.900,5.503,4.850,5.025,1.970,0.358,0,#,14.110,#,#,#,#,#,#,4,3,"27,630","2,763.000","3,788","pr%i.m""E.4@.tet",10,4,<pre<{meditate},"<pr%i<.{m""E.4@.tet}",2,VB,976.536,0.775,445.440,28,0.88,0.008578207389005024,0.0036000000000001586
27629,procreation,11,5,715,6.572,0.410,1.342,0.200,1.255,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.150,6.599,3.750,6.767,2.710,0.319,0,1.119,11.530,#,5.140,6.040,6.670,8,6,26,17,"27,361","2,736.100","4,529","pr%o.kri.""e.Sn=",9,4,{pro--create}>ion>,"{pr%o-.-kri.""e.S$}>n=>",3,NN,"1,046.720",0.687,489.458,25,0.86,0.0012411023456432798,0.01639999999999986
27189,prearranged,11,1,173,5.153,0.310,1.230,0.190,1.230,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.750,5.956,4.550,4.628,2.270,0.318,0,#,10.500,#,#,#,#,#,#,#,#,"27,452","2,745.200","3,924","pr%i@`.r""endZd",9,2,<pre<{arrange}>ed>,"<pr%i<{@`.r""endZ}>d>",3,VB|JJ,790.148,0.290,240.898,27,0.9,0.002080671579460793,0.023600000000000176
25394,parishioner,11,#,49,3.892,0.160,0.954,0.070,0.845,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.250,5.962,3.400,6.969,4.040,0.260,0,#,11.590,3.833,#,#,#,#,#,#,#,"27,628","2,762.800","3,582","p@`.r""I.Sn=.@`",7,4,{parish}>ion>>er>,"{p@`.r""I.S$}>n=>.>@`>",3,NN,942.036,0.770,225.251,28,0.85,0.008505201368673065,0.026399999999999868
37071,treacheries,11,1,6,1.792,0.040,0.477,0.020,0.477,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.800,6.295,3.700,6.549,#,0.306,0,#,12.400,#,#,#,#,#,#,#,#,"27,553","2,755.300","3,112","tr""E.tS@`.riz",8,3,{treacher--y}>s>,"{tr""E.tS@`.r--i}>z>",3,NN,853.893,0.256,243.939,28,0.85,0.005767475606224654,0.026399999999999868
35642,tantalizing,11,4,222,5.403,0.290,1.204,0.150,1.146,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.850,5.733,3.950,4.693,#,0.220,0,#,#,#,#,#,#,2,2,8,7,"27,602","2,760.200","3,047","t""an.4@.l%aIz.IN",10,4,{tantalize}>ing>,"{t""an.4@.l%aIz}.>IN>",2,VB|NN|JJ,776.517,-0.000,246.304,29,0.85,0.007556123104357616,0.026399999999999868
29521,reminiscent,11,4,"1,378",7.228,0.430,1.362,0.260,1.362,0,1,1,0,0,#,4.443,4.443,#,#,#,#,#,#,#,3.550,6.538,3.400,5.767,1.680,0.588,"1,978",1.919,11.950,#,6.110,3.620,6.040,1,1,4,4,"27,440","2,744.000","3,631","r%E.m@.n""Is.n=t",9,4,{reminisce}>ent>,"{r%E.m@.n""Is}.>n=t>",2,NN,726.419,0.029,217.169,31,0.91,0.001642635457469047,0.033600000000000185
38268,unreasoning,11,1,74,4.304,0.080,0.699,0.040,0.602,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.700,5.233,3.650,5.505,1.790,0.187,0,#,12.440,#,#,#,#,#,#,1,1,"27,470","2,747.000","2,982","Vn.r""i.zn=.IN",8,4,<un<{reason}>ing>,"<Vn<.{r""i.zn=}.>IN>",3,JJ,898.033,0.270,483.524,30,0.91,0.0027377257624484116,0.033600000000000185
17191,hostilities,11,5,616,6.423,0.450,1.380,0.260,1.362,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.800,6.142,3.600,6.492,#,0.567,217,1.492,11.470,#,#,#,#,#,#,2,2,"27,257","2,725.700","3,758","hA.st""Il.@.4iz",10,4,{hostile}>ity>>s>,"{hA.st""Il$}.>@.4i>>z>",3,NN,887.276,0.298,352.288,29,0.91,0.005037415402905077,0.033600000000000185
