,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
8725,8.496,0,20438.0,7.0,1.0,804.152,-0.078,1.0,8,cylinder,0.0
8316,7.532,0,19170.0,6.0,1.0,804.0,-0.065,1.0,8,crescent,0.48307581750076845
4331,8.436,0,11070.0,6.0,1.0,784.971,-0.076,1.0,8,brochure,0.65742878766856
14305,8.033,0,16637.0,7.0,1.0,773.576,-0.112,1.0,8,fortress,0.7088692742493226
5174,7.354,0,20127.0,7.0,1.0,756.485,-0.118,1.0,8,Caroline,0.715222276182155
25587,8.286,0,14239.0,7.0,1.0,743.529,-0.108,1.0,8,Patricia,0.783156385283106
26993,8.223,0,9566.0,8.0,1.0,811.03,-0.094,1.0,8,Portugal,0.9180007312564014
18757,8.341,0,21679.0,8.0,2.0,770.514,-0.085,1.0,8,integral,1.3512376361847729
22904,8.897,0,17106.0,6.0,2.0,774.968,-0.074,1.0,8,moreover,1.4389850188874105
30545,7.251,0,11309.0,7.0,1.0,740.364,-0.14,1.0,8,rosemary,1.4573235915108138
26396,8.807,0,14968.0,6.0,1.0,741.719,-0.153,1.0,8,pinnacle,1.4740818893113772
20865,7.728,0,23693.0,7.0,2.0,748.029,-0.065,1.0,8,locating,1.4829963988269583
8819,5.366,0,7367.0,7.0,1.0,753.176,-0.111,1.0,8,dandruff,1.4890217016656075
39324,6.717,0,8013.0,7.0,1.0,763.667,-0.13,1.0,8,wardrobe,1.5258769249282453
21185,6.831,0,17350.0,6.0,2.0,743.353,-0.079,1.0,8,Lutheran,1.5771448331765168
5404,7.313,0,15880.0,7.0,2.0,800.152,-0.061,1.0,8,cavalier,1.581406599024981
5992,8.291,0,12643.0,6.0,1.0,754.559,-0.157,1.0,8,Chrysler,1.6100313780308178
20104,5.278,0,21406.0,7.0,2.0,769.294,-0.06,1.0,8,lanterns,1.6962812278821124
18595,8.236,0,18652.0,8.0,2.0,746.457,-0.107,1.0,8,insecure,1.698657913233399
25000,4.094,0,18707.0,7.0,2.0,777.114,-0.084,1.0,8,overstep,1.7113336919166764
