,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
9417,8.538,4,12119.0,6.0,2.0,620.469,-0.579,1.0,6,denial,0.0
21066,9.071,4,13591.0,5.0,2.0,611.242,-0.585,1.0,6,loving,0.3757363498848656
21620,8.231,4,11975.0,5.0,2.0,591.371,-0.652,1.0,6,marker,0.38723252500166483
27583,8.237,4,9807.0,6.0,2.0,586.257,-0.688,1.0,6,prizes,0.4690947107807973
8815,8.082,3,11536.0,6.0,2.0,622.971,-0.504,1.0,6,dances,0.48478860061563356
10309,8.135,4,12169.0,5.0,2.0,578.636,-0.732,1.0,6,dishes,0.5491744423189486
35706,8.666,4,15778.0,5.0,2.0,644.424,-0.557,1.0,6,tastes,0.5600903791833693
8123,9.892,4,12546.0,5.0,2.0,569.059,-0.651,1.0,6,covers,0.5674338729522972
33455,7.305,4,9508.0,5.0,2.0,635.758,-0.589,1.0,6,spaced,0.568364371380601
2579,8.009,5,12348.0,5.0,2.0,640.324,-0.541,1.0,6,baking,0.5949405811343959
33941,8.736,5,11926.0,6.0,2.0,661.212,-0.434,1.0,6,stages,0.6047153856149573
4063,6.739,5,11270.0,6.0,2.0,632.424,-0.547,1.0,6,braces,0.6051132682062483
20586,8.539,3,12291.0,6.0,2.0,649.235,-0.404,1.0,6,lifted,0.6123329813481744
17163,9.032,2,11937.0,6.0,2.0,604.121,-0.587,1.0,6,horses,0.6128858503344137
34251,8.189,3,11669.0,5.0,2.0,565.364,-0.6,1.0,6,sticky,0.6195980828347653
9419,9.272,4,13673.0,5.0,2.0,650.029,-0.46,1.0,6,denied,0.6336395457409637
9454,8.626,3,14376.0,5.0,2.0,615.286,-0.587,1.0,6,dental,0.6352649868238253
25292,10.266,4,11265.0,5.0,2.0,657.545,-0.5,1.0,6,papers,0.6354339633027507
35739,7.2,3,12930.0,6.0,2.0,574.219,-0.631,1.0,6,taxing,0.6377454843954984
14398,8.999,3,10663.0,5.0,2.0,607.848,-0.554,1.0,6,frames,0.6541503915695661
