,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
10399,7.364,0,12500.0,6.0,2.0,720.235,-0.346,1.0,8,dispatch,0.0
8360,7.328,0,13380.0,6.0,2.0,704.229,-0.374,1.0,8,crippled,0.17820289198710487
5577,8.343,0,12526.0,6.0,2.0,679.818,-0.346,1.0,8,chambers,0.19112232972813073
5967,7.258,0,12097.0,6.0,2.0,697.029,-0.306,1.0,8,Christ's,0.19412616366406757
14378,6.688,0,12726.0,6.0,2.0,683.147,-0.37,1.0,8,fracture,0.23052396795551977
7071,7.209,0,13193.0,6.0,2.0,737.636,-0.393,1.0,8,conceive,0.23609230324743619
31371,6.635,0,10969.0,6.0,2.0,709.29,-0.347,1.0,8,scratchy,0.23953991248719964
15528,7.044,0,11959.0,6.0,2.0,721.088,-0.278,1.0,8,gracious,0.283878492488625
25638,7.58,0,12968.0,7.0,2.0,692.647,-0.332,1.0,8,pavement,0.3120567255186637
10742,7.386,0,12358.0,7.0,2.0,671.114,-0.368,1.0,8,dolphins,0.3125878263868247
1345,6.011,0,11701.0,6.0,2.0,668.594,-0.346,1.0,8,animal's,0.31932682527257983
27054,6.463,0,13473.0,6.0,2.0,707.588,-0.309,1.0,8,postpone,0.324363127997566
16262,6.463,0,12652.0,7.0,2.0,717.529,-0.356,1.0,8,happiest,0.3337098081810346
31325,8.358,0,13758.0,6.0,2.0,663.273,-0.338,1.0,8,Scottish,0.3377453738388737
22537,6.932,0,12274.0,6.0,2.0,742.094,-0.265,1.0,8,mismatch,0.3405149720875974
24993,5.793,0,12871.0,6.0,2.0,672.758,-0.332,1.0,8,oversize,0.3492506679217942
23322,7.886,0,15323.0,6.0,2.0,682.324,-0.353,1.0,8,nameless,0.36952556979922485
2957,6.286,0,14602.0,6.0,2.0,690.765,-0.352,1.0,8,beauties,0.37273615320595743
26599,6.277,0,13617.0,6.0,2.0,695.588,-0.382,1.0,8,playmate,0.3749170706740427
35777,7.104,0,10526.0,6.0,2.0,687.629,-0.296,1.0,8,teamwork,0.3825855831292284
