,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
11657,5.826,0,11011.0,8.0,2.0,841.133,0.18,0.88,9,eloquence,0.0
16790,5.846,0,9892.0,8.0,2.0,835.156,0.197,0.89,9,hideously,0.2174372087539375
583,7.091,0,10986.0,8.0,2.0,850.2,0.21,0.88,9,advisable,0.39588865192252537
22006,5.595,0,11610.0,9.0,2.0,782.276,0.151,0.88,9,melodrama,0.4492219458749119
40067,4.595,0,8231.0,8.0,2.0,807.821,0.169,0.88,9,wolfhound,0.5641098707439405
7750,4.883,0,15291.0,8.0,2.0,823.655,0.173,0.88,9,convulsed,0.6099881429072433
27094,5.024,0,9553.0,6.0,2.0,838.323,0.204,0.89,9,potpourri,0.6673050811080423
27800,7.301,0,15310.0,8.0,2.0,832.63,0.176,0.87,9,propagate,0.687118847708579
35393,5.549,0,10020.0,8.0,3.0,878.607,0.172,0.88,9,swordsman,0.7260390061001317
24159,3.638,0,11291.0,9.0,2.0,806.586,0.139,0.88,9,obscurely,0.7934981546664264
35432,6.234,0,11409.0,8.0,3.0,835.966,0.219,0.88,9,symphonic,0.827527182626879
10891,2.708,0,10732.0,7.0,,800.966,0.158,0.88,9,downstage,0.8547182703768819
17155,3.761,0,10454.0,7.0,2.0,868.276,0.233,0.88,9,horsehair,0.8550421217432491
33460,4.673,0,12985.0,7.0,2.0,817.759,0.241,0.88,9,spacesuit,0.8669368564927726
3713,4.477,0,9459.0,7.0,2.0,814.429,0.113,0.88,9,boardroom,0.8993561809851924
8964,5.375,0,13295.0,6.0,2.0,877.194,0.238,0.89,9,deathblow,0.909460599551539
15701,3.829,0,14496.0,8.0,2.0,850.607,0.132,0.88,9,greenhorn,0.93567333510174
4710,4.522,0,14375.0,7.0,2.0,857.143,0.23,0.88,9,butternut,0.9495597650295441
14494,6.161,0,10684.0,7.0,2.0,760.0,0.06,0.88,9,freewheel,0.9716130532730253
34803,7.0,0,18400.0,8.0,2.0,849.774,0.197,0.89,9,substrate,0.9880784695684319
