,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
13436,3.526,0,17921.0,9.0,3.0,736.75,-0.024,0.97,9,festivity,0.0
9136,4.5,0,24619.0,8.0,3.0,731.484,-0.028,0.97,9,deducting,0.928153181583461
7216,4.043,0,17582.0,7.0,2.0,797.516,-0.028,0.97,9,confessor,0.9633979863518349
21693,4.304,0,18015.0,6.0,2.0,773.324,-0.023,0.97,9,marvelled,0.9819901489251432
28646,3.584,0,8544.0,7.0,2.0,746.067,-0.024,0.97,9,Raphael's,1.1077512882844311
18251,6.317,0,18165.0,8.0,3.0,766.091,-0.033,0.97,9,inductive,1.3158630017683202
24914,3.951,0,17502.0,7.0,3.0,735.625,-0.048,0.97,9,overhangs,1.327603906190961
13191,3.892,0,11692.0,9.0,3.0,792.806,-0.045,0.97,9,farmlands,1.3674373483085074
31530,4.127,0,9739.0,6.0,3.0,787.094,-0.033,0.97,9,seaworthy,1.3885878407190118
22832,6.824,0,17965.0,8.0,2.0,763.484,-0.025,0.97,9,monstrous,1.4581348891410684
21775,4.443,0,17164.0,6.0,2.0,822.606,-0.035,0.97,9,matchless,1.5252870987839169
33281,3.401,0,15191.0,8.0,3.0,818.576,-0.052,0.97,9,solitudes,1.5299381956695888
18571,7.293,0,22428.0,8.0,3.0,742.455,-0.021,0.97,9,inquiring,1.5583813708739152
3684,4.419,0,23169.0,7.0,2.0,751.219,-0.013,0.97,9,blundered,1.5610891856358142
20399,6.068,0,16519.0,6.0,2.0,776.75,-0.028,0.97,9,leisurely,1.6797690532701977
3254,5.841,0,18391.0,7.0,2.0,774.375,-0.034,0.97,9,betraying,1.6890800036148983
30385,5.308,0,7906.0,7.0,2.0,758.061,-0.021,0.97,9,roadblock,1.76843224297144
39018,5.943,0,22068.0,9.0,2.0,770.727,-0.012,0.97,9,violinist,1.776029033500976
39637,4.127,0,13322.0,8.0,3.0,800.156,-0.053,0.97,9,westwards,1.7841864709050304
14955,3.97,0,15691.0,6.0,2.0,794.5,-0.044,0.97,9,gatehouse,1.7952242869039703
