,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
13821,8.242,11,2718.0,3.0,1.0,635.059,-0.606,1.0,4,flaw,0.0
10732,8.646,11,3503.0,3.0,1.0,616.152,-0.599,1.0,4,doll,0.3791305966656543
39987,8.362,8,2657.0,3.0,1.0,665.618,-0.586,1.0,4,wipe,0.39077204458326364
3779,8.252,7,2546.0,3.0,1.0,625.8,-0.581,1.0,4,boil,0.48386414713100484
13952,9.955,9,2628.0,3.0,1.0,610.853,-0.626,1.0,4,flow,0.4937919272280583
34868,9.533,12,2246.0,3.0,1.0,593.971,-0.601,1.0,4,suck,0.4941122311485218
4660,9.296,10,3281.0,3.0,1.0,599.471,-0.619,1.0,4,bush,0.5033600237817711
14104,10.095,11,2421.0,3.0,1.0,601.424,-0.688,1.0,4,foot,0.5221223893254969
10866,7.906,13,3030.0,3.0,1.0,631.657,-0.486,1.0,4,dove,0.5404043067870575
30416,7.403,9,3360.0,3.0,1.0,626.0,-0.627,1.0,4,robe,0.5686491588064944
17081,9.36,12,2349.0,3.0,1.0,567.438,-0.672,1.0,4,hook,0.5775037672968022
17093,7.154,7,2871.0,3.0,1.0,613.471,-0.611,1.0,4,hoop,0.5941163295501294
30832,8.469,14,2731.0,3.0,1.0,659.03,-0.43,1.0,4,sage,0.6327205423374095
30842,8.175,14,3087.0,3.0,1.0,598.647,-0.704,1.0,4,sail,0.6353781973077467
33414,7.758,11,3811.0,3.0,1.0,649.152,-0.504,1.0,4,sour,0.651081403423312
10814,7.55,14,3002.0,3.0,1.0,629.5,-0.487,1.0,4,dope,0.6659406880082654
19511,6.853,10,1735.0,3.0,1.0,625.788,-0.586,1.0,4,jock,0.6686178430592934
30501,8.635,7,3269.0,3.0,1.0,641.147,-0.644,1.0,4,roof,0.6861921022054958
8629,7.12,8,2294.0,3.0,1.0,627.514,-0.534,1.0,4,curl,0.6953118849372942
28150,8.804,11,2538.0,4.0,1.0,605.406,-0.717,1.0,4,punk,0.6971862441397418
