,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
13982,8.824,0,2336.0,5.0,1.0,596.382,-0.556,0.97,5,fluid,0.0
39854,7.543,0,2588.0,4.0,1.0,615.594,-0.559,0.97,5,widow,0.49059267584500943
28296,8.293,0,2208.0,4.0,1.0,669.484,-0.427,0.97,5,quake,0.6690979155636352
8897,11.844,0,2530.0,5.0,1.0,667.485,-0.47,0.97,5,David,0.6988798254438582
40315,7.496,0,2302.0,4.0,1.0,659.188,-0.426,0.97,5,yahoo,0.7037010800391704
26484,8.614,0,1659.0,5.0,1.0,559.394,-0.751,0.97,5,pizza,0.7257178675723182
19468,7.591,0,2674.0,4.0,1.0,673.906,-0.63,0.97,5,jewel,0.7472133103321053
19904,8.871,0,2697.0,3.0,1.0,589.758,-0.7,0.97,5,knife,0.8294181841955357
14630,7.192,0,3058.0,4.0,1.0,629.562,-0.496,0.97,5,froze,0.8573197134795504
35481,7.558,0,1356.0,5.0,1.0,650.733,-0.437,0.97,5,syrup,0.8677553717163863
11822,9.866,0,2954.0,5.0,1.0,553.061,-0.811,0.97,5,empty,0.9130775926144294
17326,6.471,0,3138.0,6.0,1.0,626.5,-0.499,0.97,5,humid,0.9627457099544201
5786,8.283,0,3755.0,4.0,1.0,644.312,-0.565,0.97,5,Chevy,0.9652373007983164
1792,9.945,0,4051.0,5.0,1.0,642.625,-0.583,0.97,5,argue,0.9871992062547055
8485,5.829,0,2520.0,4.0,1.0,659.353,-0.383,0.97,5,crumb,1.0342845151672722
8603,5.602,0,2729.0,6.0,1.0,663.188,-0.441,0.97,5,cupid,1.0517772020898237
3923,6.869,0,2227.0,3.0,1.0,637.742,-0.335,0.97,5,booze,1.1342305088533235
6290,8.543,0,4233.0,4.0,1.0,622.909,-0.583,0.97,5,cliff,1.1368267113930388
14635,9.281,0,3655.0,4.0,1.0,583.545,-0.727,0.97,5,fruit,1.144911433545282
19317,9.285,0,4532.0,5.0,1.0,676.273,-0.467,0.97,5,ivory,1.2860498286905713
