,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
14448,6.703,6,3911.0,3.0,1.0,777.633,-0.063,0.88,4,fray,0.0
30266,7.531,7,3537.0,4.0,1.0,785.552,-0.056,0.88,4,rift,0.838555652144928
20844,6.14,7,2686.0,3.0,1.0,749.867,-0.098,0.88,4,lobe,1.1464183958970513
10001,6.196,14,4926.0,3.0,1.0,772.897,-0.07,0.88,4,dill,1.783727260425361
3857,6.207,8,2049.0,3.0,1.0,763.517,-0.125,0.88,4,boob,1.8702589147966786
15875,6.669,1,1759.0,4.0,1.0,771.75,-0.052,0.88,4,Guam,1.901171345452303
19625,7.138,3,1125.0,4.0,1.0,842.897,-0.048,0.88,4,judo,1.9286765467014013
31684,7.691,0,4399.0,4.0,1.0,760.69,-0.084,0.88,4,semi,1.9551194469622937
30630,6.387,3,2255.0,5.0,1.0,812.966,-0.043,0.88,4,Roxy,1.9948547910137855
9984,5.198,11,2865.0,3.0,1.0,784.633,-0.009,0.88,4,dike,2.177889683173566
16782,6.066,11,4320.0,3.0,1.0,713.931,-0.141,0.88,4,hick,2.3334568896833114
19822,6.339,4,3327.0,4.0,1.0,794.0,0.038,0.88,4,kilo,2.469290551190756
28825,7.268,6,7230.0,3.0,1.0,776.667,0.035,0.87,4,reap,2.4767528568173995
8805,6.417,7,1676.0,4.0,2.0,789.667,-0.039,0.88,4,dams,2.503463348346276
29580,8.033,4,9157.0,4.0,1.0,791.0,-0.045,0.88,4,Reno,2.5046729697924857
15530,8.762,7,4909.0,4.0,1.0,753.345,-0.155,0.88,4,grad,2.5309020652815764
28243,5.583,10,3435.0,3.0,1.0,703.893,-0.164,0.88,4,puss,2.628279085871286
28153,6.215,9,5270.0,4.0,1.0,725.414,-0.15,0.88,4,punt,2.6799388039143226
40397,5.781,2,1492.0,3.0,1.0,751.581,-0.142,0.89,4,yolk,2.7018244977856014
11403,5.357,2,4758.0,3.0,2.0,790.586,0.007,0.88,4,edgy,3.1933077628373905
