,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
15038,9.42,1,18630.0,7.0,2.0,731.029,-0.254,1.0,7,generic,0.0
29703,7.969,1,19347.0,7.0,2.0,673.529,-0.282,1.0,7,reprint,0.3809639948150893
9603,8.837,1,16433.0,6.0,2.0,734.576,-0.228,1.0,7,descent,0.42946067392772136
3566,7.667,1,14441.0,7.0,2.0,722.03,-0.248,1.0,7,blindly,0.446765481848058
7859,8.915,1,15606.0,6.0,2.0,719.794,-0.291,1.0,7,corners,0.5192259864262517
14607,5.147,1,19025.0,7.0,2.0,718.382,-0.214,1.0,7,fronted,0.6489265464171838
30104,9.91,1,16585.0,5.0,2.0,748.03,-0.312,1.0,7,reverse,0.6981613304630483
17065,7.74,1,18380.0,4.0,2.0,665.091,-0.267,1.0,7,honored,0.7614335998093678
13434,5.673,1,16176.0,6.0,2.0,718.484,-0.225,1.0,7,festive,0.8031744454781315
8977,8.015,1,16682.0,6.0,2.0,692.706,-0.347,1.0,7,debates,0.8136633524272293
13061,8.151,1,7271.0,7.0,2.0,724.5,-0.273,1.0,7,factual,0.8278555943514543
33980,7.953,1,15672.0,5.0,2.0,717.788,-0.2,1.0,7,stalker,0.8300430935181042
28386,8.057,1,8926.0,6.0,2.0,732.758,-0.246,1.0,7,quicken,0.8421315011763272
25450,10.591,1,14027.0,5.0,2.0,747.545,-0.299,1.0,7,partial,0.8561082248646381
28803,7.688,1,15454.0,7.0,2.0,666.857,-0.363,1.0,7,realism,0.8695562889482882
2707,7.437,1,10075.0,7.0,2.0,727.257,-0.307,1.0,7,baptism,0.8826957473872274
30012,5.687,1,20513.0,6.0,2.0,790.618,-0.206,1.0,7,retires,0.9099017552807345
17659,8.751,1,14757.0,6.0,2.0,692.758,-0.366,1.0,7,imaging,0.9133066424664403
9256,9.805,1,13684.0,6.0,2.0,683.273,-0.362,1.0,7,degrees,0.9380450652078085
12535,8.495,1,8527.0,6.0,2.0,688.909,-0.223,1.0,7,evolved,0.9625049462915204
