,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
16377,6.911,4,6864.0,5.0,2.0,660.935,-0.489,0.97,5,hasty,0.0
30975,7.328,5,6396.0,5.0,2.0,653.971,-0.482,0.97,5,sands,0.40327147164263655
31159,7.671,4,8019.0,5.0,2.0,647.412,-0.411,0.97,5,scans,0.45786696083174394
31182,8.658,4,6279.0,5.0,2.0,647.121,-0.553,0.97,5,scary,0.4894890098926028
22637,7.042,3,6723.0,4.0,2.0,683.455,-0.469,0.97,5,moans,0.5642812420629694
33484,6.879,4,7266.0,5.0,2.0,674.182,-0.239,0.97,5,spans,0.5934429241002747
14313,8.132,4,5049.0,5.0,2.0,635.848,-0.43,0.97,5,forty,0.599437283671136
34183,8.105,4,9168.0,5.0,2.0,683.576,-0.454,0.97,5,stems,0.6140918780151783
16827,6.172,4,6559.0,4.0,2.0,598.059,-0.619,0.97,5,hiked,0.7117481177126563
31181,7.16,6,7114.0,5.0,2.0,629.059,-0.535,0.97,5,scars,0.7144273667457339
40333,8.64,4,4122.0,5.0,2.0,654.906,-0.519,0.97,5,yards,0.7199665439538954
20411,6.771,5,9409.0,5.0,2.0,677.97,-0.462,0.97,5,lends,0.7218432440909457
17194,9.007,4,6610.0,5.0,2.0,594.636,-0.631,0.97,5,hosts,0.7303520871125044
13066,7.765,5,8565.0,5.0,2.0,621.265,-0.519,0.97,5,faded,0.7425508353691485
33627,6.742,3,4118.0,5.0,2.0,660.606,-0.455,0.97,5,spicy,0.7443314978868408
19427,6.912,3,4967.0,4.0,2.0,681.935,-0.493,0.97,5,jello,0.7663480102119992
39246,7.91,4,4766.0,4.0,2.0,650.062,-0.538,0.97,5,waits,0.766594806161163
20297,7.334,5,6410.0,4.0,2.0,627.094,-0.563,0.97,5,leaps,0.7794596591601622
8636,7.276,4,3838.0,4.0,2.0,633.5,-0.514,0.97,5,curly,0.7861471948126278
20287,7.702,5,5802.0,4.0,2.0,647.061,-0.516,0.97,5,leaks,0.795149921461886
