,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
17387,8.488,0,14949.0,7.0,1.0,674.735,-0.489,1.0,9,hurricane,0.0
32784,7.932,0,14602.0,5.0,1.0,664.1,-0.49,1.0,9,slaughter,0.3921847900459557
12531,9.702,0,15448.0,7.0,1.0,708.879,-0.385,1.0,9,evolution,0.4392371495910783
19757,6.876,0,13131.0,7.0,,638.0,-0.533,1.0,9,Kennedy's,0.45574571422038324
31789,9.767,0,15924.0,8.0,1.0,662.969,-0.425,1.0,9,September,0.5067742305918045
20608,9.475,0,16773.0,6.0,1.0,671.515,-0.377,1.0,9,lightning,0.6144633570290958
10009,8.782,0,18988.0,7.0,1.0,715.387,-0.356,1.0,9,dimension,0.6364956537117069
35807,9.75,0,9762.0,6.0,1.0,656.091,-0.477,1.0,9,technique,0.6906007647636581
34194,8.208,0,16585.0,7.0,1.0,721.059,-0.238,1.0,9,Stephanie,0.723322510432974
33364,6.928,0,12756.0,7.0,1.0,684.529,-0.264,1.0,9,sophomore,0.804164974398967
20653,6.263,0,18609.0,7.0,1.0,659.727,-0.353,1.0,9,limousine,0.8067301069267552
2162,5.313,0,15932.0,6.0,,702.441,-0.395,1.0,9,athlete's,0.8155057895889355
36981,8.956,0,21162.0,8.0,1.0,678.588,-0.385,1.0,9,translate,0.8315352422483995
34125,5.749,0,16304.0,8.0,1.0,717.735,-0.348,1.0,9,steadfast,0.907614821605448
13168,9.289,0,20892.0,9.0,1.0,661.471,-0.423,1.0,9,fantastic,0.9319344644268712
12365,9.509,0,18919.0,8.0,1.0,753.576,-0.314,1.0,9,establish,1.0026696568693907
18958,9.926,0,23031.0,7.0,1.0,675.182,-0.326,1.0,9,interview,1.0433493647003653
8395,6.256,0,13321.0,8.0,1.0,742.853,-0.266,1.0,9,crocodile,1.0707259126263937
19448,8.464,0,16668.0,9.0,1.0,738.273,-0.199,1.0,9,Jerusalem,1.089495559849575
15580,5.67,0,11940.0,8.0,,694.676,-0.3,1.0,9,grandma's,1.0913481635122784
