,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
18434,6.555,1,23025.0,8.0,2.0,902.966,0.34,0.85,9,ingenious,0.0
7150,5.724,1,25307.0,8.0,2.0,956.333,0.31,0.84,9,condenser,0.38469302601684063
34085,5.922,1,23652.0,7.0,,856.607,0.301,0.85,9,stateside,0.41447867034956287
11242,6.045,1,23060.0,8.0,2.0,840.036,0.23,0.85,9,dwindling,0.47158453751947027
34301,5.878,1,20894.0,9.0,2.0,930.552,0.428,0.85,9,stipulate,0.6094150455537949
38968,6.524,1,16520.0,9.0,2.0,885.519,0.397,0.84,9,vigilante,0.6104600231190329
31749,4.344,1,17455.0,8.0,2.0,897.889,0.357,0.84,9,sensitize,0.6463861070866128
18095,7.942,1,23232.0,9.0,2.0,844.897,0.181,0.85,9,increment,0.8761212978312702
25940,5.46,1,25025.0,8.0,3.0,848.0,0.284,0.85,9,permeated,0.978730332687906
16987,3.829,1,26056.0,7.0,2.0,837.036,0.429,0.85,9,holstered,1.006438129363223
39693,5.293,1,21018.0,7.0,2.0,867.692,0.144,0.84,9,wherefore,1.0302414114835865
6592,6.142,1,20038.0,8.0,3.0,919.963,0.449,0.84,9,coincides,1.0426968802297063
18638,4.615,1,21108.0,8.0,2.0,812.241,0.128,0.85,9,insolence,1.1013446718862192
22342,7.928,1,16648.0,7.0,2.0,790.724,0.175,0.85,9,millstone,1.219545184479418
29207,4.143,1,19960.0,9.0,3.0,878.8,0.302,0.86,9,refracted,1.2757086489712472
29453,6.151,1,22338.0,7.0,2.0,786.704,-0.015,0.84,9,relieving,1.39800658573285
28426,6.538,0,23602.0,7.0,2.0,896.607,0.239,0.85,9,quivering,1.454868159697771
4913,4.19,1,20263.0,8.0,2.0,991.607,0.64,0.85,9,cameramen,1.4586265928382307
27420,6.052,0,25610.0,8.0,2.0,889.704,0.431,0.84,9,presiding,1.4812940669781804
13193,7.652,0,14999.0,8.0,2.0,871.667,0.341,0.86,9,farmstead,1.564252084609599
