,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
20420,8.104,1,12751.0,5.0,2.0,651.606,-0.454,0.97,7,lengthy,0.0
27178,8.073,1,12690.0,5.0,2.0,689.152,-0.465,0.97,7,prayers,0.09040518284024385
1893,8.344,1,13680.0,5.0,2.0,696.0,-0.44,0.97,7,arrives,0.20136763005253536
28389,8.379,1,11272.0,5.0,2.0,692.879,-0.433,0.97,7,quicker,0.2594147390738432
31878,8.24,1,12569.0,5.0,2.0,676.333,-0.352,0.97,7,seventh,0.29317669897698667
32108,7.96,1,11924.0,6.0,2.0,632.647,-0.457,0.97,7,shifted,0.3182736369787431
18162,7.545,1,12744.0,6.0,2.0,675.061,-0.466,0.97,7,India's,0.3318480057543327
10965,6.777,1,11847.0,5.0,2.0,638.636,-0.501,0.97,7,drawers,0.35782382879177316
23185,8.917,1,11185.0,5.0,2.0,666.697,-0.509,0.97,7,muscles,0.36716112502813014
16389,7.258,1,11612.0,5.0,2.0,685.273,-0.398,0.97,7,hateful,0.3684509020524278
20822,9.237,1,15631.0,5.0,2.0,655.0,-0.455,0.97,7,loading,0.3730613365309729
17869,7.868,1,13725.0,6.0,2.0,692.909,-0.452,0.97,7,impress,0.3732459670172783
5721,7.784,1,12570.0,4.0,2.0,712.719,-0.44,0.97,7,checker,0.37819413100478794
25815,7.683,1,16147.0,5.0,2.0,677.969,-0.438,0.97,7,pension,0.3938985474126083
36899,7.082,1,12014.0,5.0,2.0,657.879,-0.36,0.97,7,traitor,0.40011476183099837
27158,7.339,1,14648.0,5.0,2.0,699.219,-0.494,0.97,7,praised,0.40414102031420934
40189,7.815,1,12286.0,5.0,2.0,613.091,-0.58,0.97,7,worries,0.4081555176337227
35161,7.895,1,8579.0,5.0,2.0,638.647,-0.474,0.97,7,surgeon,0.4168203485479933
40136,8.12,1,16411.0,5.0,2.0,660.062,-0.386,0.97,7,wording,0.45143807515331785
32016,6.817,1,13498.0,5.0,2.0,612.909,-0.541,0.97,7,sharper,0.4679703201062424
