,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
20751,4.718,0,18968.0,7.0,2.0,804.606,-0.029,0.97,8,listless,0.0
33171,5.398,0,21849.0,6.0,2.0,793.455,-0.027,0.97,8,sobering,0.5193480513020013
33476,4.7,0,11641.0,7.0,2.0,746.4,-0.032,0.97,8,Spaniard,0.5624374133151442
27750,4.277,0,15052.0,7.0,3.0,796.824,-0.026,0.97,8,prolongs,0.9093268925324101
31077,5.694,0,9892.0,7.0,2.0,753.344,-0.023,0.97,8,sausages,0.9490241494393636
16823,5.505,0,8994.0,6.0,2.0,762.576,-0.027,0.97,8,hijacked,0.9543456617432288
27323,5.257,0,15648.0,8.0,2.0,786.344,-0.014,0.97,8,preludes,0.9547842696557427
9359,6.504,0,14204.0,6.0,2.0,817.303,-0.024,0.97,8,demeanor,0.9549136288001339
21523,5.638,0,22993.0,5.0,2.0,776.355,-0.021,0.97,8,mannered,0.9946077345282587
30335,5.799,0,18245.0,6.0,2.0,781.621,-0.046,0.97,8,rippling,1.0052609282338631
27881,7.098,0,18350.0,7.0,1.0,809.727,-0.029,0.97,8,prostate,1.0430400511711937
934,6.337,0,20884.0,7.0,2.0,815.121,-0.01,0.97,8,alienate,1.0904952122197338
24596,6.142,0,9316.0,8.0,2.0,760.97,-0.033,0.97,8,orgasmic,1.141018601192744
516,6.841,0,13105.0,7.0,2.0,787.061,-0.04,0.97,8,adorable,1.1474553128751184
4016,4.852,0,5748.0,5.0,2.0,769.844,-0.026,0.97,8,bouquets,1.1542362923616662
31135,5.081,0,9887.0,7.0,2.0,763.484,-0.046,0.97,8,scallops,1.1734515895396784
30370,3.784,0,17415.0,7.0,2.0,770.121,-0.055,0.97,8,riverbed,1.1893241208195602
11100,6.719,0,14258.0,6.0,2.0,759.182,-0.039,0.97,8,drumming,1.2049684113137664
4177,5.58,0,20829.0,7.0,2.0,777.844,-0.056,0.97,8,breasted,1.214039383025196
3241,6.286,0,15933.0,6.0,2.0,758.424,-0.013,0.97,8,bestowed,1.2258471409969351
