,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
20895,6.461,1,2531.0,5.0,2.0,717.906,-0.239,0.97,5,lofty,0.0
39091,7.568,1,3263.0,5.0,2.0,702.879,-0.234,0.97,5,vivid,0.5022878413373569
22980,5.974,1,3265.0,4.0,2.0,715.818,-0.232,0.97,5,moths,0.5974026303082745
2561,6.17,1,1935.0,4.0,2.0,714.625,-0.299,0.97,5,baggy,0.7350426898996338
2449,6.983,1,1691.0,4.0,2.0,703.576,-0.273,0.97,5,awoke,0.7742519211301019
26957,5.846,1,4192.0,5.0,2.0,703.25,-0.27,0.97,5,porky,0.9010154282574925
26480,7.135,1,2266.0,5.0,1.0,683.4,-0.285,0.97,5,pixie,0.9484852443061931
39573,4.466,1,2113.0,4.0,2.0,737.219,-0.172,0.97,5,weepy,0.979908484393601
3964,5.74,1,3407.0,4.0,2.0,677.419,-0.327,0.97,5,bossy,1.080706043334232
26931,4.564,1,2856.0,4.0,2.0,664.667,-0.373,0.97,5,pop's,1.2544220297401887
21859,5.303,1,2802.0,6.0,2.0,640.656,-0.398,0.97,5,Max's,1.2563382216134602
38053,7.042,1,3989.0,6.0,2.0,666.424,-0.367,0.97,5,unify,1.4709714911094998
8578,7.619,1,3069.0,5.0,2.0,658.438,-0.523,0.97,5,cults,1.657934180719911
19921,8.841,1,2495.0,3.0,1.0,684.4,-0.318,0.97,5,knock,1.658039238087324
38461,7.969,0,2525.0,5.0,2.0,733.515,-0.135,0.97,5,unzip,1.6898115899353006
30198,7.396,1,2210.0,3.0,1.0,724.167,-0.11,0.97,5,rhyme,1.7174106629375645
38925,7.051,1,4104.0,4.0,2.0,638.312,-0.409,0.97,5,Vicky,1.7319590925226598
19670,4.762,2,2562.0,5.0,2.0,657.094,-0.335,0.97,5,junks,1.7588781641760762
26739,8.204,1,2429.0,5.0,2.0,615.061,-0.553,0.97,5,poems,1.7616210445958984
38757,5.252,1,4068.0,4.0,2.0,651.219,-0.402,0.97,5,veils,1.766380929469191
