,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
21363,6.741,0,16968.0,8.0,2.0,694.906,-0.298,0.97,8,majestic,0.0
15590,6.578,0,14906.0,8.0,2.0,697.576,-0.278,0.97,8,grandson,0.21643153441364926
18971,7.241,0,18911.0,8.0,2.0,720.971,-0.313,0.97,8,intimacy,0.27634746858673903
15888,6.836,0,17098.0,6.0,2.0,708.281,-0.299,0.97,8,guarding,0.2943126695827628
24072,6.778,0,13862.0,8.0,2.0,643.774,-0.282,0.97,8,nutrient,0.3156311976819536
31812,6.33,0,20948.0,8.0,2.0,667.387,-0.305,0.97,8,serenity,0.3585326493219544
5307,6.949,0,16268.0,7.0,2.0,649.273,-0.337,0.97,8,catalyst,0.3931924419605596
23750,7.647,0,13059.0,8.0,2.0,685.129,-0.309,0.97,8,nitrogen,0.4156151050325284
22141,7.538,0,14693.0,7.0,2.0,683.735,-0.307,0.97,8,metallic,0.42345032326809656
20858,6.627,0,12612.0,8.0,2.0,682.242,-0.342,0.97,8,locality,0.4390086549466603
10016,7.166,0,16602.0,7.0,2.0,683.853,-0.365,0.97,8,diminish,0.44957805717944216
33718,5.964,0,17248.0,6.0,2.0,707.941,-0.282,0.97,8,spoiling,0.4539877154969678
5190,5.525,0,16933.0,8.0,2.0,697.226,-0.215,0.97,8,carpeted,0.4633551660466875
17776,8.876,0,16662.0,8.0,2.0,650.774,-0.318,0.97,8,imperial,0.46510296683269103
23043,7.622,0,16798.0,6.0,2.0,674.656,-0.283,0.97,8,mourning,0.46996881714537897
24602,8.004,0,18656.0,7.0,2.0,720.059,-0.291,0.97,8,oriental,0.47140646503279593
1273,7.587,0,16889.0,8.0,2.0,721.188,-0.207,0.97,8,ancestry,0.47230658960376626
10053,7.061,0,11727.0,8.0,2.0,714.938,-0.325,0.97,8,diplomat,0.4754670551785198
39767,5.645,0,15963.0,6.0,2.0,687.029,-0.302,0.97,8,whistled,0.4964741814737951
33663,6.786,0,16390.0,8.0,2.0,683.226,-0.432,0.97,8,spirited,0.5057072356084091
