,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
22864,5.215,0,11545.0,6.0,2.0,776.367,-0.167,0.88,7,moonlit,0.0
29400,5.996,0,11505.0,6.0,2.0,771.633,-0.155,0.88,7,relapse,0.23072249336253545
22165,5.485,0,11955.0,6.0,2.0,707.296,-0.175,0.87,7,meteors,0.2352136253663972
39922,4.663,0,10738.0,7.0,2.0,744.345,-0.154,0.88,7,windbag,0.46099435448640447
19416,4.727,0,10985.0,5.0,,700.4,-0.191,0.88,7,jeepers,0.5494093769046865
11145,5.505,0,16058.0,6.0,2.0,783.0,-0.184,0.88,7,dueling,0.5562373843812245
22932,4.533,0,9367.0,6.0,2.0,735.966,-0.203,0.88,7,morsels,0.5857287945603116
36706,4.394,0,7568.0,6.0,2.0,660.821,-0.175,0.88,7,topside,0.6983263594695382
21217,6.151,0,6680.0,6.0,2.0,763.903,-0.185,0.89,7,Macbeth,0.7353901966116999
31675,6.209,0,9468.0,5.0,2.0,707.25,-0.148,0.88,7,sellout,0.7392324017664178
16028,4.977,0,6782.0,7.0,2.0,787.214,-0.141,0.88,7,gymnast,0.7935606136284332
39553,5.903,0,8341.0,6.0,2.0,748.862,-0.229,0.88,7,wedlock,0.813899959438448
8451,5.472,0,7399.0,6.0,2.0,733.207,-0.226,0.88,7,crowbar,0.8151706115197694
13702,6.447,0,16098.0,6.0,2.0,706.067,-0.183,0.88,7,fittest,0.816354079520933
33337,5.565,0,10389.0,6.0,2.0,724.226,-0.07,0.89,7,sonnets,0.8231229960355035
17426,4.89,0,10305.0,7.0,2.0,842.0,-0.097,0.88,7,hydrant,0.8375581542841515
36326,5.024,0,15086.0,5.0,2.0,753.69,-0.116,0.88,7,thrones,0.8427503428057193
34079,5.989,0,17296.0,6.0,2.0,724.067,-0.14,0.88,7,stately,0.8746064960228637
37343,5.147,0,6440.0,6.0,2.0,701.655,-0.222,0.88,7,tugboat,0.8788332013798836
15922,7.449,0,14350.0,5.0,2.0,783.259,-0.162,0.87,7,guiding,0.8878886158732135
