,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
23090,7.377,2,1069.0,4.0,2.0,725.667,-0.467,1.0,5,muddy,0.0
28082,6.148,2,1038.0,4.0,2.0,682.455,-0.409,1.0,5,puffy,0.3790548617178391
8558,6.896,2,1221.0,4.0,2.0,678.257,-0.381,1.0,5,cuffs,0.45647623891871303
28081,5.875,3,960.0,4.0,2.0,676.912,-0.465,1.0,5,puffs,0.8767525637926482
19920,6.992,3,1487.0,4.0,2.0,666.091,-0.43,1.0,5,knobs,1.1041095454994025
32925,6.581,2,1601.0,5.0,2.0,646.8,-0.558,1.0,5,slugs,1.1586131085884324
16021,8.037,1,1531.0,3.0,2.0,663.857,-0.485,1.0,5,guy's,1.3949602111111656
23296,8.195,1,1543.0,4.0,2.0,614.909,-0.582,1.0,5,myths,1.452380437788642
4511,7.662,2,1842.0,5.0,2.0,607.529,-0.622,1.0,5,bulbs,1.505666447139876
11087,10.315,2,1650.0,5.0,2.0,598.941,-0.579,1.0,5,drugs,1.6055963195936729
16428,7.168,0,1624.0,4.0,2.0,621.606,-0.451,1.0,5,hawks,1.724592346897209
19525,7.525,0,1482.0,3.0,2.0,678.394,-0.464,1.0,5,Joe's,1.7273937888024935
37463,5.642,1,1671.0,5.0,2.0,623.455,-0.442,1.0,5,twigs,1.7422599117389663
33002,6.151,1,1812.0,5.0,2.0,696.727,-0.42,1.0,5,smoky,1.75120662622221
2421,8.162,2,2119.0,4.0,2.0,576.853,-0.694,1.0,5,awake,1.7787373344753101
8760,8.738,3,1941.0,4.0,2.0,600.735,-0.543,1.0,5,daddy,1.8344868557370368
11521,7.322,2,2628.0,5.0,2.0,664.5,-0.496,1.0,5,eject,1.862019480896064
19931,7.483,2,2815.0,4.0,2.0,662.706,-0.392,1.0,5,knots,1.894686888216296
36355,7.401,1,2203.0,4.0,2.0,690.909,-0.322,1.0,5,thugs,1.9215335334781725
19494,6.928,1,1982.0,4.0,2.0,604.853,-0.629,1.0,5,Jim's,1.927315599116978
