,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
23983,5.886,0,19410.0,9.0,2.0,735.519,-0.098,0.9,11,nourishment,0.0
37072,5.956,0,24223.0,8.0,2.0,761.258,-0.098,0.89,11,treacherous,0.41704739585009243
4531,5.866,0,12585.0,9.0,2.0,751.0,-0.087,0.91,11,bulletproof,0.4982777572052781
7126,6.303,0,21379.0,9.0,3.0,771.258,-0.104,0.91,11,concordance,0.7923216690601818
31963,4.796,0,17776.0,7.0,2.0,763.323,-0.062,0.91,11,shallowness,0.9040716384871086
2054,6.778,0,21221.0,9.0,3.0,770.172,-0.114,0.91,11,assessments,0.9644013879771547
5963,4.111,0,26104.0,8.0,,782.29,-0.114,0.91,11,Christine's,0.9937882973151209
27831,7.673,0,22817.0,9.0,3.0,773.633,-0.073,0.91,11,proportions,1.2942715423757059
35131,6.317,0,19457.0,8.0,3.0,765.786,-0.156,0.9,11,supposition,1.3134915506911633
22482,5.707,0,12743.0,8.0,2.0,789.276,-0.02,0.91,11,mischievous,1.3570521039050163
26543,6.25,0,29102.0,9.0,3.0,745.71,-0.071,0.91,11,plantations,1.3585930501950343
12578,5.595,0,21264.0,10.0,3.0,708.8,-0.043,0.89,11,excavations,1.3587786258467565
28395,6.075,0,15752.0,9.0,2.0,744.156,0.02,0.91,11,quicksilver,1.4353248682486817
9379,7.116,0,13743.0,10.0,3.0,735.0,-0.067,0.91,11,demographic,1.4366824393124895
23450,4.673,0,20731.0,8.0,3.0,785.8,-0.047,0.91,11,nearsighted,1.4795652668819497
21550,8.522,0,15225.0,10.0,3.0,842.533,-0.103,0.91,11,manufacture,1.4813238291071225
39478,6.542,0,17257.0,8.0,3.0,722.935,-0.16,0.91,11,wavelengths,1.4876734493371615
266,8.154,0,22477.0,9.0,3.0,763.733,-0.057,0.91,11,accusations,1.5066165485108485
18400,6.727,0,25717.0,10.0,4.0,745.067,-0.089,0.91,11,influencing,1.693380905191784
14744,5.58,0,19981.0,8.0,3.0,788.806,-0.007,0.91,11,furnishings,1.6949844150095974
