,Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,diff,I_Mean_Accuracy_diff
14176,foreclosing,11,1,10,2.303,0.140,0.903,0.070,0.845,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.800,6.482,3.500,6.824,#,0.219,0,#,13.500,#,#,#,#,#,#,#,#,"24,593","2,459.300","2,689","fOr.kl""oz.IN",9,3,<fore<{close}>ing>,"<fOr<.{kl""oz}.>IN>",3,VB|NN,827.000,0.102,296.749,28,0.85,0.005560779917374171,0.0042000000000000925
13316,featureless,11,2,111,4.71,0.040,0.477,0.020,0.477,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.000,5.702,3.650,6.130,2.700,0.348,0,1.491,11.330,#,#,#,#,2,2,4,4,"24,412","2,441.200","2,661","f""i.tS@`.l@s",7,3,{feature}>less>,"{f""i.tS@`}.>l@s>",2,JJ,885.111,0.237,335.210,27,0.87,0.0018399639432488063,0.015799999999999925
29702,reprimanded,11,2,244,5.497,0.410,1.342,0.240,1.322,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.150,6.199,4.700,6.771,#,0.390,0,1.698,9.500,#,#,#,#,2,2,2,2,"24,331","2,433.100","3,391","r""E.pr@.m%an4.@d",11,4,{reprimand}>ed>,"{r""E.pr@.m%an4}.>@d>",2,VB,934.148,0.565,311.908,27,0.87,0.005151899041096658,0.015799999999999925
31809,serendipity,11,#,188,5.236,0.570,1.477,0.200,1.255,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.650,5.364,5.150,6.008,1.620,0.252,0,#,12.610,#,6.950,3.230,5.220,7,4,35,17,"24,416","2,441.600","2,761","s%E.r@n.d""I.p@.4i",11,5,{serendipit--y},"{s%E.r@n.d""I.p@.4--i}",2,NN,805.100,0.255,270.113,30,0.88,0.0016764115927378014,0.025799999999999934
9068,declarative,11,9,293,5.68,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.650,5.800,4.000,5.788,1.880,0.427,0,#,#,#,#,#,#,2,2,3,3,"24,308","2,430.800","3,945","dI.kl""ar.@.4Iv",10,4,{declare}>ative>,"{dI.kl""ar$}.>@.4Iv>",2,JJ,910.733,0.124,509.950,30,0.88,0.0060923250565349365,0.025799999999999934
24076,nutritional,11,3,"2,706",7.903,0.390,1.322,0.230,1.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.850,6.702,4.050,6.571,2.310,0.558,6,1.099,9.720,#,6.830,3.400,5.680,1,1,3,3,"24,334","2,433.400","2,977","nu.tr""I.Sn=.@l",9,4,{nutri--tion}>al>,"{nu.tr""I-.-Sn=}.>@l>",3,JJ,848.567,0.405,320.995,30,0.88,0.005029234778213404,0.025799999999999934
1238,anaesthetic,11,#,179,5.187,0.430,1.362,0.120,1.041,0,0,9,0,0,#,#,6.129,#,#,#,#,#,#,#,3.750,5.225,3.650,5.707,#,0.401,0,1.374,#,#,#,#,#,#,#,#,#,"24,519","2,451.900","2,200","%a.n@s.T""E.4Ik",9,4,{an--aes--thet--ic},"{%a.n--@s-.-T""E.4--Ik}",4,JJ,950.375,0.817,337.192,24,0.89,0.0025350614329205778,0.03579999999999994
25469,particulate,11,3,284,5.649,0.100,0.778,0.060,0.778,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.950,6.135,4.250,6.132,3.190,0.499,0,#,14.200,#,#,#,#,1,1,6,5,"24,422","2,442.200","3,759","pAr.t""I.kj@.l@t",11,4,{particul--ate},"{pAr.t""I.kj@.l--@t}",2,JJ|NN,871.308,0.398,281.207,26,0.81,0.0014310830669712938,0.04420000000000002
9251,degradation,11,2,"1,827",7.51,0.760,1.602,0.450,1.591,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.200,6.042,2.700,5.977,2.230,0.566,310,1.562,13.000,#,2.850,4.260,3.390,3,3,14,12,"24,550","2,455.000","3,911","d%E.gr@d.""e.Sn=",9,4,{degrade}>ation>,"{d%E.gr@d$}.>""e.Sn=>",2,NN,882.038,0.171,345.557,26,0.9,0.0038025921493808662,0.04579999999999995
9614,desegregate,11,1,13,2.565,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.750,5.683,4.800,4.276,#,0.310,0,#,11.950,#,#,#,#,#,#,#,#,"24,469","2,446.900","2,860","d%i.s""E.gr@.get",10,4,<de<{se--greg--ate},"<d%i<.{s""E-.-gr@.g--et}",4,VB,"1,151.654",1.152,408.654,26,0.9,0.000490657051533015,0.04579999999999995
37145,tribulation,11,1,218,5.384,0.040,0.477,0.020,0.477,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.500,6.697,3.500,6.010,2.150,0.304,0,#,14.950,#,#,#,#,6,2,12,4,"24,600","2,460.000","3,687","tr%I.bj@.l""e.Sn=",10,4,{tribulate}>ion>,"{tr%I.bj@.l""e.S$}>n=>",2,NN,900.607,0.321,455.266,28,0.9,0.005846996530768429,0.04579999999999995
9618,desensitize,11,#,49,3.892,0.080,0.699,0.050,0.699,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.100,5.778,4.800,4.044,1.890,0.177,0,#,13.690,#,#,#,#,#,#,1,1,"24,545","2,454.500","3,804","d%i.s""En.s@.taIz",10,4,<de<{sens--itize},"<d%i<.{s""En.s--@.taIz}",3,VB,"1,089.792",1.122,451.018,24,0.8,0.0035981517112421103,0.054200000000000026
18414,informative,11,2,"5,521",8.616,0.690,1.556,0.410,1.544,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.550,6.662,3.500,6.618,1.540,0.481,0,1.799,10.160,#,5.940,3.890,6.470,8,8,53,40,"24,585","2,458.500","3,793","In.f""Orm.@.4Iv",10,4,{inform}>ative>,"{In.f""Orm}.>@.4Iv>",2,JJ,758.387,0.072,218.452,31,0.91,0.00523367521635216,0.05579999999999996
38590,utilitarian,11,3,349,5.855,0.200,1.041,0.080,0.903,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.000,6.297,5.200,6.785,2.310,0.430,0,1.443,15.500,#,#,#,#,3,3,13,11,"24,393","2,439.300","1,845","ju.t%I.l@.t""E.ri@n",12,5,{util--itarian},"{ju.t%I.l--@.t""E.ri@n}",2,JJ,837.759,0.386,297.104,29,0.91,0.00261683760817608,0.05579999999999996
17787,impermanent,11,#,71,4.263,#,#,#,#,0,1,1,0,0,#,3.714,3.714,#,#,#,#,#,#,#,3.700,6.363,3.750,6.026,1.670,0.203,0,#,#,#,#,#,#,3,2,9,8,"24,459","2,445.900","3,467","Im.p""3`.m@.n@nt",10,4,<in<{perman--ent},"<Im<.{p""3`.m@.n--@nt}",3,JJ|NN,"1,017.500",0.910,441.721,22,0.79,8.17761752555025e-05,0.06420000000000003
