,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
28672,5.771,1,10306.0,6.0,1.0,712.733,-0.331,0.83,6,rascal,0.0
6263,5.595,1,10726.0,5.0,1.0,694.679,-0.273,0.82,6,clench,0.4499469972782973
5462,7.639,1,11218.0,6.0,1.0,695.963,-0.272,0.82,6,cement,0.6253971079118559
34958,6.946,1,7626.0,5.0,1.0,651.963,-0.305,0.82,6,sultan,0.8058606886191042
20208,7.841,1,10117.0,5.0,1.0,709.357,-0.246,0.82,6,laurel,0.8164000628296992
6986,8.016,1,6889.0,6.0,1.0,744.333,-0.361,0.82,6,comply,0.8672324974263801
25417,6.526,1,8569.0,5.0,1.0,665.448,-0.45,0.83,6,parlor,0.8907622132554052
15240,4.369,1,7118.0,5.0,1.0,704.724,-0.188,0.83,6,glamor,1.1608298775782198
32859,5.533,1,10452.0,6.0,2.0,665.379,-0.351,0.83,6,slinky,1.1810819417768141
29812,8.061,1,14176.0,5.0,1.0,690.185,-0.229,0.84,6,reside,1.2897897017098692
31298,5.242,1,8053.0,5.0,1.0,791.926,-0.087,0.84,6,scorch,1.334983764273975
2971,4.19,1,7747.0,5.0,1.0,777.103,-0.102,0.83,6,beckon,1.4689225880661498
15953,5.62,1,7643.0,5.0,2.0,676.407,-0.309,0.82,6,gulped,1.5794596881938958
28888,5.808,0,6221.0,6.0,1.0,661.037,-0.272,0.82,6,rebuke,1.6640587691095776
12704,4.533,1,5593.0,6.0,1.0,809.536,-0.031,0.82,6,exhort,1.7232574994758685
4136,5.727,0,8109.0,5.0,1.0,735.036,-0.231,0.82,6,brazen,1.7309703624275332
12300,5.717,1,15095.0,5.0,1.0,802.444,0.004,0.82,6,errand,1.7876138026542465
4685,5.088,2,9387.0,4.0,1.0,735.759,-0.256,0.83,6,bustle,1.7979901994837042
22050,5.746,1,11654.0,5.0,1.0,842.963,0.122,0.82,6,Mendel,1.8609781930841036
17460,6.238,0,6480.0,4.0,1.0,680.778,-0.341,0.82,6,hyphen,1.8714152097784926
