,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
28939,8.383,0,16264.0,9.0,2.0,690.062,-0.379,1.0,9,recipient,0.0
35222,8.373,0,16141.0,9.0,2.0,689.941,-0.375,1.0,9,suspected,0.019457124924252656
4829,8.652,0,17235.0,9.0,2.0,637.879,-0.397,1.0,9,calculate,0.2147763830165284
27218,9.214,0,16242.0,8.0,2.0,659.706,-0.381,1.0,9,precisely,0.2608221581980783
31658,8.39,0,17173.0,8.0,2.0,705.545,-0.413,1.0,9,selective,0.27973476296041966
5584,8.419,0,14276.0,8.0,2.0,722.529,-0.389,1.0,9,champions,0.31099092224773045
17192,7.566,0,17440.0,9.0,2.0,683.088,-0.309,1.0,9,hostility,0.3640713001426631
3274,6.918,0,18995.0,9.0,2.0,702.375,-0.388,1.0,9,beverages,0.38418196560552226
2247,8.627,0,15664.0,8.0,2.0,687.121,-0.301,1.0,9,attribute,0.3866181992278257
22025,7.578,0,15182.0,8.0,2.0,706.235,-0.414,1.0,9,memorable,0.38918453733811675
27784,7.827,0,15453.0,7.0,2.0,670.781,-0.393,1.0,9,pronounce,0.4031620887537136
9192,8.692,0,13763.0,8.0,2.0,664.088,-0.354,1.0,9,defensive,0.40515939767557685
3563,6.413,0,14835.0,9.0,2.0,685.606,-0.409,1.0,9,blindfold,0.40823888287966664
17897,8.807,0,17388.0,8.0,2.0,648.588,-0.425,1.0,9,improving,0.4119353621554148
8434,8.033,0,14741.0,7.0,2.0,648.364,-0.38,1.0,9,crossover,0.42064405726466353
26494,9.277,0,15478.0,8.0,2.0,649.212,-0.416,1.0,9,placement,0.4226239525240232
7958,6.702,0,14109.0,9.0,2.0,692.559,-0.346,1.0,9,cosmetics,0.42346279121851393
20947,6.945,0,16446.0,8.0,2.0,660.406,-0.414,1.0,9,longitude,0.4288873501901057
7249,8.699,0,15073.0,9.0,2.0,702.485,-0.262,1.0,9,conflicts,0.43681749403973225
20806,7.257,0,16533.0,7.0,2.0,713.029,-0.364,1.0,9,livestock,0.4457967169829557
