,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
31096,5.303,0,4763.0,5.0,2.0,734.6,-0.276,0.91,6,savory,0.0
15483,6.378,0,4679.0,4.0,2.0,728.655,-0.302,0.91,6,Gotham,0.5222288172731449
8855,5.852,0,5450.0,6.0,2.0,732.133,-0.239,0.91,6,darkly,0.5846358834506892
21331,4.727,0,4533.0,4.0,2.0,661.29,-0.326,0.91,6,maid's,0.6371472630365579
13091,5.493,0,3352.0,4.0,,720.71,-0.24,0.91,6,fair's,0.6808959538541676
4056,6.435,0,5101.0,4.0,2.0,722.419,-0.327,0.91,6,boyish,0.685044816649177
36625,5.024,0,3916.0,5.0,2.0,667.323,-0.382,0.91,6,tomboy,0.7046854019169058
14592,4.22,0,3949.0,5.0,2.0,796.172,-0.186,0.91,6,frizzy,0.7838128538043029
21637,7.603,0,5343.0,6.0,2.0,719.133,-0.29,0.91,6,markup,0.8269634508322475
38425,4.942,0,5728.0,5.0,2.0,828.966,-0.153,0.91,6,unveil,0.8431673705518896
11232,6.579,0,3860.0,6.0,2.0,651.645,-0.241,0.91,6,dwarfs,0.8693985541307563
36304,6.425,0,5110.0,5.0,1.0,725.438,-0.307,0.91,6,thrift,0.9085272490133514
34940,4.585,0,7593.0,4.0,2.0,737.438,-0.271,0.91,6,suitor,0.9514066213502459
4043,5.517,0,5707.0,7.0,2.0,683.286,-0.367,0.9,6,boxcar,1.047810987792591
17283,8.389,0,6450.0,5.0,2.0,722.276,-0.318,0.91,6,Hudson,1.1044145028746988
14789,7.198,0,4368.0,5.0,1.0,719.719,-0.234,0.91,6,gadget,1.1118403638438619
38035,8.28,0,5989.0,6.0,2.0,711.935,-0.297,0.91,6,unholy,1.1253010196732296
5702,5.366,0,8217.0,4.0,2.0,690.355,-0.313,0.91,6,chatty,1.1308148763670611
23323,8.699,0,7391.0,5.0,2.0,749.548,-0.276,0.91,6,namely,1.2123729354324608
31528,4.913,0,5159.0,4.0,,809.267,-0.04,0.91,6,seaway,1.3102587721665544
