,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
31230,8.006,0,9870.0,5.0,2.0,759.097,-0.145,0.91,7,scholar,0.0
28072,5.756,0,9176.0,5.0,2.0,754.156,-0.14,0.91,7,puddles,0.3920738136856563
11931,6.962,0,11821.0,5.0,2.0,760.533,-0.113,0.91,7,endowed,0.5491253995273155
2806,5.624,0,10434.0,6.0,2.0,727.9,-0.141,0.91,7,baseman,0.6230872765481864
27818,8.653,0,7893.0,6.0,2.0,798.806,-0.13,0.91,7,prophet,0.6361187301736868
5815,6.394,0,6320.0,5.0,2.0,748.933,-0.155,0.91,7,chiefly,0.642882316612414
24298,7.263,0,7000.0,6.0,2.0,740.0,-0.151,0.91,7,offhand,0.6497873057593881
29306,5.298,0,9947.0,6.0,2.0,768.69,-0.162,0.91,7,regroup,0.6750412202298599
10161,6.962,0,13780.0,5.0,2.0,768.438,-0.114,0.91,7,discern,0.7511699826881166
20629,3.807,0,8482.0,5.0,,727.323,-0.137,0.91,7,Lilly's,0.7616963814080726
8212,4.949,0,10856.0,5.0,,792.724,-0.109,0.91,7,crane's,0.7725635762640204
24140,7.604,0,10801.0,6.0,2.0,798.621,-0.083,0.91,7,obliged,0.8212169020471487
15817,7.405,0,7281.0,6.0,2.0,778.645,-0.104,0.91,7,grossly,0.8439028684509655
27078,6.777,0,11765.0,6.0,2.0,698.964,-0.182,0.9,7,potency,0.8890646232080276
26551,5.74,0,8248.0,5.0,2.0,792.3,-0.086,0.91,7,plaques,0.8951883886137485
11639,8.054,0,10184.0,5.0,1.0,717.448,-0.193,0.91,7,Elliott,0.9211920096691201
2388,7.058,0,11263.0,6.0,2.0,755.828,-0.212,0.91,7,avenues,0.9227016850465403
6281,6.503,0,13374.0,6.0,2.0,758.966,-0.114,0.91,7,cliches,0.9551872630502456
32626,6.749,0,8064.0,6.0,2.0,715.129,-0.198,0.91,7,sizable,0.9608614224182931
25250,5.043,0,9660.0,5.0,2.0,745.7,-0.064,0.91,7,panel's,0.9637708969864018
