,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
31313,4.585,0,8357.0,8.0,2.0,729.188,-0.292,0.94,8,scornful,0.0
21008,4.691,0,8173.0,7.0,2.0,708.355,-0.227,0.94,8,lordship,0.4205287691664997
32482,4.511,0,6943.0,7.0,2.0,692.438,-0.257,0.94,8,silkworm,0.4801722777723795
21677,5.565,0,9191.0,6.0,,730.969,-0.266,0.94,8,Martha's,0.6546388113762499
2505,6.047,0,9599.0,7.0,2.0,668.452,-0.29,0.94,8,backhand,0.6825170940883104
22954,5.595,0,6881.0,6.0,2.0,692.844,-0.292,0.94,8,Moscow's,0.6966643092715545
20295,5.389,0,9140.0,7.0,2.0,715.516,-0.2,0.94,8,leapfrog,0.7267372259329562
1860,5.308,0,6952.0,7.0,,719.406,-0.212,0.94,8,Arnold's,0.737213063652553
36242,4.984,0,7898.0,7.0,2.0,756.552,-0.161,0.94,8,Thomas's,0.7515379093158667
26897,5.733,0,10112.0,7.0,2.0,648.594,-0.271,0.94,8,ponytail,0.7675129080490031
14114,5.979,0,7879.0,6.0,2.0,724.29,-0.245,0.94,8,foothill,0.778261513804508
38941,5.176,0,9524.0,6.0,,700.125,-0.357,0.94,8,Victor's,0.7801822364971486
36318,3.401,0,9449.0,5.0,2.0,717.219,-0.293,0.94,8,throat's,0.7836261712786203
826,5.93,0,7270.0,6.0,2.0,701.188,-0.317,0.94,8,airforce,0.7970463013644136
17722,4.71,0,6113.0,7.0,2.0,735.875,-0.181,0.94,8,immunize,0.8087686765296729
37998,4.419,0,9064.0,7.0,3.0,718.516,-0.314,0.94,8,unfrozen,0.83525211187332
24041,5.74,0,9675.0,6.0,2.0,761.062,-0.239,0.94,8,numbness,0.8841332472265606
21319,6.045,0,8673.0,8.0,1.0,720.667,-0.297,0.94,8,magnolia,0.8846733907321729
31934,6.04,0,9734.0,5.0,2.0,698.452,-0.292,0.94,8,shadowed,0.8991460481037581
34768,6.297,0,11091.0,8.0,2.0,710.345,-0.345,0.94,8,subsided,0.907189335571018
