,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
31379,5.948,0,9904.0,5.0,1.0,788.633,0.225,0.88,7,screech,0.0
37385,6.942,0,12141.0,5.0,1.0,834.517,0.199,0.88,7,turbine,0.5661810816693035
26229,7.206,0,8019.0,5.0,1.0,813.0,0.177,0.88,7,Phyllis,0.645078342970201
33020,5.182,0,11629.0,5.0,1.0,787.833,0.144,0.88,7,smother,0.6623546623439212
947,5.74,0,12424.0,7.0,1.0,856.516,0.188,0.89,7,alimony,0.9504707356648687
2189,6.073,0,9564.0,6.0,1.0,912.038,0.347,0.87,7,atrophy,0.9629546812946063
22622,3.638,0,10217.0,7.0,1.0,840.429,0.199,0.88,7,mitosis,1.000546329794314
12355,6.468,0,10913.0,6.0,1.0,840.138,0.093,0.88,7,esquire,1.0386276013883917
5692,6.271,0,13523.0,4.0,1.0,856.3,0.131,0.88,7,chateau,1.1213947232897636
15191,7.272,0,6452.0,5.0,1.0,939.207,0.315,0.88,7,gimmick,1.1602646484485752
23677,7.134,0,11052.0,7.0,1.0,881.556,0.146,0.87,7,Nicolas,1.19393005222024
27156,7.354,0,10309.0,5.0,1.0,792.897,0.015,0.88,7,prairie,1.2118451641045305
21663,6.778,0,11618.0,5.0,1.0,770.933,0.024,0.88,7,marshal,1.22440502107098
5110,6.219,0,10026.0,6.0,1.0,748.133,0.006,0.88,7,carcass,1.2782133060530343
24066,6.868,0,9263.0,4.0,1.0,790.759,0.03,0.88,7,nurture,1.2848568251478414
28645,7.522,0,7474.0,6.0,1.0,785.2,0.083,0.88,7,Raphael,1.3425693586074259
27329,8.966,0,15684.0,6.0,1.0,850.464,0.228,0.88,7,premier,1.3825516792042394
32091,3.638,0,11680.0,5.0,1.0,754.138,0.028,0.88,7,sherbet,1.4830436275378935
21599,7.787,0,10590.0,7.0,1.0,810.143,0.062,0.88,7,Marilyn,1.5268264846817494
24802,0.0,0,6710.0,5.0,,746.586,0.182,0.88,7,outsail,1.565909560399744
