,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
32119,7.381,7,9276.0,3.0,1.0,795.88,-0.201,0.76,4,shin,0.0
20342,6.88,7,10448.0,3.0,1.0,706.2,-0.221,0.76,4,leer,0.40590539946592896
6096,8.724,7,7558.0,3.0,1.0,652.923,-0.329,0.76,4,cite,1.1804225787731129
30718,6.333,9,6439.0,3.0,1.0,760.769,-0.093,0.76,4,rung,1.3122527817085254
2952,6.922,6,3143.0,2.0,1.0,740.808,-0.166,0.76,4,beau,1.4418694052579673
20915,8.016,5,4578.0,4.0,1.0,701.2,-0.236,0.76,4,Lois,1.5036138688830123
16585,6.963,12,7104.0,3.0,1.0,659.2,-0.269,0.76,4,heed,1.5133284157989788
39594,7.115,7,2547.0,4.0,1.0,689.923,-0.264,0.76,4,weld,1.5396891161397823
1805,5.805,5,6685.0,4.0,1.0,754.88,-0.097,0.76,4,arid,1.678077691148228
6608,8.28,16,7187.0,3.0,1.0,763.917,-0.171,0.75,4,cole,1.8343341410452405
36068,13.462,6,5951.0,3.0,1.0,745.963,-0.298,0.77,4,than,1.8811069160303286
11278,8.7,3,5063.0,2.0,1.0,748.792,-0.141,0.77,4,earl,1.9067647945216821
19856,6.56,12,7607.0,4.0,1.0,767.087,-0.096,0.77,4,kink,1.9076691966018187
39795,7.814,1,1846.0,3.0,1.0,734.792,-0.271,0.75,4,whoa,2.153098788084658
40369,5.357,3,1999.0,4.0,1.0,733.36,-0.172,0.76,4,yelp,2.1853660060007143
33485,6.178,9,4892.0,4.0,1.0,769.958,-0.022,0.75,4,spar,2.186326571590096
30358,7.324,1,5068.0,4.0,1.0,780.2,-0.092,0.76,4,ritz,2.210913330849509
17286,5.485,6,5182.0,4.0,2.0,717.36,-0.196,0.76,4,hues,2.2966653851410337
15186,7.466,15,3627.0,3.0,1.0,801.962,-0.082,0.76,4,gill,2.359950031153888
20037,7.294,6,4644.0,4.0,1.0,787.16,0.076,0.76,4,Lama,2.3694410770352152
