,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
32750,6.542,3,10263.0,4.0,2.0,703.844,-0.398,0.91,5,slain,0.0
5867,5.694,3,11354.0,4.0,2.0,671.533,-0.375,0.91,5,chins,0.33945887063817803
29363,6.178,3,13603.0,4.0,2.0,697.8,-0.401,0.91,5,reins,0.3971787605048123
283,6.038,3,9219.0,3.0,2.0,683.774,-0.332,0.91,5,aches,0.6226193681375887
19541,7.6,3,9245.0,4.0,2.0,639.133,-0.531,0.91,5,joins,0.6861633958920746
32051,6.685,2,7944.0,4.0,2.0,732.097,-0.334,0.91,5,sheds,0.7815769202825706
11011,5.826,4,10685.0,4.0,2.0,715.107,-0.276,0.9,5,drier,0.8165142238343422
32629,8.545,3,7283.0,4.0,2.0,724.333,-0.321,0.91,5,sized,0.818584658849796
31897,7.212,4,8986.0,3.0,2.0,658.828,-0.406,0.91,5,sewer,0.8939942175987494
35966,7.854,2,12552.0,4.0,2.0,664.742,-0.365,0.91,5,tenth,0.8950376894395661
34244,4.331,2,8381.0,4.0,2.0,668.968,-0.404,0.91,5,stews,0.9191060839107956
21932,8.106,3,9824.0,4.0,1.0,760.938,-0.361,0.91,5,medal,0.9554083410695151
13258,7.169,4,5983.0,4.0,2.0,641.367,-0.384,0.91,5,fatty,0.96993487896039
23113,5.986,4,9296.0,5.0,2.0,672.065,-0.33,0.91,5,mules,0.9779346696208473
39989,5.897,5,8819.0,4.0,2.0,670.5,-0.408,0.91,5,wiper,0.9781594623204422
33240,9.171,3,7064.0,4.0,2.0,629.1,-0.327,0.91,5,solar,0.9976443524638123
4037,7.003,3,1950.0,4.0,2.0,617.097,-0.402,0.91,5,bowls,1.0137263434025505
23421,8.765,3,5341.0,4.0,2.0,657.562,-0.455,0.91,5,naval,1.0279523235102723
28600,6.809,3,5239.0,5.0,2.0,694.8,-0.285,0.91,5,ramps,1.0763273571041878
32579,6.033,3,10332.0,5.0,1.0,698.226,-0.302,0.91,5,sinus,1.0827872563149594
