,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
34409,3.912,0,9512.0,6.0,2.0,759.276,-0.069,0.85,7,stoutly,0.0
4666,4.419,0,8523.0,6.0,2.0,752.179,-0.065,0.85,7,Bushman,0.3000319300855282
38370,4.625,0,9400.0,6.0,2.0,740.286,-0.053,0.85,7,unstuck,0.44756979865704943
3773,4.248,0,9846.0,5.0,2.0,693.167,-0.077,0.86,7,boggled,0.5007250027874253
16296,4.927,0,6871.0,7.0,2.0,773.75,-0.068,0.85,7,hardtop,0.7370285064002147
846,2.89,0,8129.0,5.0,2.0,780.552,-0.087,0.85,7,airsick,0.8583790993569707
4370,4.111,0,4919.0,5.0,2.0,756.966,-0.081,0.85,7,brook's,0.8748296537944151
4104,0.693,0,10332.0,6.0,2.0,777.214,-0.065,0.85,7,branchy,0.9896173249526886
25245,3.526,0,16491.0,5.0,2.0,760.321,-0.081,0.85,7,paneled,1.171794031566946
3747,5.081,0,5398.0,6.0,2.0,737.654,-0.04,0.84,7,bobtail,1.185767712524042
34943,4.82,0,6243.0,6.0,2.0,755.481,-0.024,0.84,7,sulfide,1.2353243389127142
32383,4.82,0,11215.0,6.0,2.0,841.667,-0.121,0.84,7,sidecar,1.274204474106976
31016,4.644,0,15376.0,6.0,1.0,764.931,-0.074,0.85,7,sardine,1.3821796922241698
16877,3.466,0,16040.0,6.0,2.0,819.75,-0.03,0.85,7,hipster,1.4370596519563328
2941,4.997,0,9654.0,6.0,2.0,706.393,-0.147,0.85,7,beastly,1.4761442358224472
13010,4.718,0,12985.0,4.0,2.0,766.0,-0.116,0.85,7,eyesore,1.5846599256061729
23521,5.796,0,10235.0,6.0,2.0,782.692,0.004,0.84,7,negroes,1.6429291487760116
40225,4.595,0,14483.0,5.0,1.0,791.778,-0.052,0.84,7,wrangle,1.6609529112746324
23792,7.741,0,14774.0,6.0,2.0,772.679,-0.077,0.85,7,nominal,1.6636670331801149
18520,3.584,0,11063.0,6.0,2.0,817.069,0.026,0.85,7,inkwell,1.680139015752653
