,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
37401,6.962,0,5422.0,5.0,1.0,681.036,-0.303,0.85,7,turmoil,0.0
8391,6.098,0,8208.0,5.0,1.0,725.75,-0.141,0.85,7,crochet,1.2364673798766443
5754,6.165,0,7435.0,4.0,1.0,751.393,-0.138,0.85,7,cheetah,1.3317591011316225
5163,7.342,0,8663.0,6.0,1.0,718.793,-0.124,0.85,7,carnage,1.4965402261155616
28093,5.46,0,7134.0,5.0,2.0,705.571,-0.309,0.85,7,pullout,1.586225989734851
26830,6.045,0,7050.0,5.0,1.0,819.393,-0.005,0.85,7,Pollock,1.6153737808369792
23153,7.565,0,10266.0,6.0,1.0,735.966,-0.195,0.85,7,mundane,1.615877285427069
37411,5.024,0,4916.0,6.0,2.0,701.31,-0.31,0.85,7,turnips,1.6234084168939502
16337,7.054,0,10985.0,6.0,1.0,709.036,-0.191,0.85,7,harpoon,1.6487125033090215
11812,7.433,0,4508.0,6.0,2.0,708.423,-0.203,0.84,7,employs,1.8160886394885278
38026,6.909,0,9110.0,5.0,2.0,691.448,-0.256,0.85,7,unheard,1.85669805930837
37534,7.904,0,7877.0,6.0,2.0,713.379,-0.269,0.85,7,tyranny,1.9463653051961536
10261,6.724,0,13011.0,6.0,1.0,728.828,-0.227,0.85,7,disdain,1.953983773839702
28320,9.696,0,8849.0,7.0,1.0,690.333,-0.141,0.84,7,quantum,1.9829181982887722
31141,4.317,0,12328.0,6.0,1.0,673.259,-0.261,0.84,7,scamper,2.0148526418457253
666,5.979,0,5022.0,6.0,2.0,704.643,-0.121,0.85,7,affords,2.0472568151279433
15155,5.872,0,6461.0,5.0,2.0,750.286,-0.12,0.85,7,ghettos,2.05082624286661
2898,6.205,0,2189.0,6.0,1.0,888.036,-0.042,0.85,7,bazooka,2.0674527175372726
39890,7.237,0,5510.0,7.0,1.0,825.071,0.129,0.85,7,Wilhelm,2.0881909373805962
33995,4.635,0,14672.0,5.0,1.0,713.0,-0.304,0.85,7,stammer,2.0904310389469622
