,Log_Freq_HAL,Ortho_N,BG_Sum,NPhon,NMorph,I_Mean_RT,I_Zscore,I_Mean_Accuracy,Length,Word,diff
37426,8.408,1,6932.0,4.0,1.0,672.0,-0.568,0.97,6,turtle,0.0
23741,8.294,1,6743.0,4.0,1.0,660.636,-0.447,0.97,6,nipple,0.2703862256912187
36306,7.851,1,7496.0,4.0,1.0,660.333,-0.492,0.97,6,thrill,0.29852958641247834
8480,8.925,1,6686.0,4.0,1.0,585.818,-0.645,0.97,6,cruise,0.3605412991734643
23669,7.593,1,7384.0,4.0,1.0,645.25,-0.468,0.97,6,nickel,0.3776782171939921
39512,9.387,1,7057.0,4.0,1.0,587.152,-0.639,0.97,6,wealth,0.3854972247694694
31220,9.676,1,6895.0,4.0,1.0,652.375,-0.448,0.97,6,scheme,0.39622851841068263
10783,7.874,1,6614.0,5.0,1.0,647.844,-0.599,0.97,6,donkey,0.44974302646010245
36316,8.992,1,8317.0,4.0,1.0,602.242,-0.624,0.97,6,throat,0.4714720795400399
27108,6.756,1,7636.0,4.0,1.0,662.848,-0.472,0.97,6,pounce,0.4803502299798542
10840,10.654,1,7236.0,4.0,1.0,597.515,-0.603,0.97,6,double,0.48330139291551144
30332,6.72,1,8099.0,4.0,1.0,666.469,-0.499,0.97,6,ripple,0.4985829839833814
2621,8.211,1,7832.0,5.0,1.0,610.455,-0.572,0.97,6,ballot,0.5018119994324911
5642,10.721,1,7144.0,4.0,1.0,621.125,-0.682,0.97,6,charge,0.5817034595091395
21035,7.893,1,8370.0,4.0,1.0,683.697,-0.369,0.97,6,Louise,0.6358302183058457
10964,7.816,1,10378.0,4.0,1.0,655.031,-0.533,0.97,6,drawer,0.6542783932199935
1583,10.747,1,7822.0,4.0,1.0,599.531,-0.672,0.97,6,appear,0.6971618296569604
1579,9.369,1,7921.0,4.0,1.0,568.394,-0.736,0.97,6,appeal,0.7063841624632646
30932,10.086,1,6752.0,5.0,1.0,618.484,-0.66,0.97,6,sample,0.7167761038526282
6426,7.905,1,3858.0,4.0,1.0,628.839,-0.462,0.97,6,clutch,0.7537867853918524
